division,title,abstract,subjects,publication,date,keywords
FT1,"Metode Polynomial Untuk Memisahakan Anomaly Residual dan Regional Pada Data Gayaberat Daerah Pasaman Barat, Sumatera Barat","Dalam proses pengolahan data gayaberat data yang telah dilakukan proses koreksi akan menghasilkan nilai bouguer anomali. Dimana nilai anomali bouguer ini dihasilkan dari superposisi anomali regional (respons gravitasi dalam) dan anomali residual (respons gravitasi dangkal). Penelitian ini merupakan aplikasi dalam ilmu komputasi dengan fokus penelitian ini adalah pemisahan anomali regional-residual dalam penelitian metode gravitasi.Ini akan dibuat program komputer menggunakan MATLAB versi 7.5. Program ini adalah program yang bertujuan untuk memisahkan anomali regional dari anomali. residual yang merupakan pengembangan dari metode pemisahan anomali yang sudah ada sebelumnya. Program ini menggunakan pendekatan polinomial di dalamnya, yang akan dikembangkan menjadi program berbasis komputasi sehingga dapat memudahkan proses pemisahan anomali regional-residual.
Hasil dari penelitian ini adalah pemisahan anomali regional-residual menghasilkan pola anomali regional yang polanya berubah secara signifikan dengan meningkatnya orde, semakin rendah orde nya maka anomali akan semakin dipengaruhi oleh efek regional dan semakin tinggi orde nya maka efek dari anomaly nya akan terdistorsi, dalam penelitian ini pemisahan orde kedua adalah urutan terbaik karena anomaly residual yang dihasilkan tidak terlalu dipengaruhi oleh regional dan tidak terlalu terpengaruh oleh noise.","QC, QE",Jurnal Geocelebes,,
FT1,"IDENTIFIKASI DAN ESTIMASI SUMBER DAYA BATUBARA MENGGUNAKAN METODE POLIGON BERDASARKAN INTEPRETASI DATA LOGGING PADA LAPANGAN ”ADA”, SUMATERA SELATAN","Seiring semakin menipisnya cadangan minyak bumi, tentu mendorong pemerintah untuk melakukan pencarian sumber energi baru. Ekplorasi batubara merupakan pilihan yang tepat karena potensinya yang begitu besar di Indonesia khususnya di Provinsi Sumatera Selatan diketahui memiliki kandungan 37,80% dari total sumber daya di Indonesia. Metode well loggging adalah salah satu metode geofisika yang digunakan guna menemukan dan mengestimasi sumber daya barubara. Keunggulan dari metode well logging adalah mampu menggambarkan keadaan bawah permukaan secara lateral. Tujuan penelitian ini adalah menampilkan gambaran mengenai lapisan batuan bawah permukaan, menentukan arah sebaran dengan mengkorelasikan seam batubara antar sumur bor berdasarkan data logging, dan mengestimasi sumber daya batubara pada daerah penelitian. Luas daerah penelitian penulis sebesar 442.056 m2 memiliki 10 sumur bor. Data log yang digunakan dalam penelitian ini adalah log gamma ray dan log density, dimana lapisan batubara ditandai dengan respon log gamma ray dan respon log density yang rendah. Pada lapangan ”ADA” ditemukan empat lapisan seam batubara, yaitu seam A1 dengan tebal 8,28 m, seam A2 dengan tebal 13,62 m, seam B dengan tebal 18,50, dan seam C dengan tebal 8,84. Arah sebaran batubara dari Selatan ke Utara dengan sudut kemiringan 5-30º dan arah kemenerusan dari Timur ke Barat. Penulis melakukan estimasi sumber daya batubara menggunakan metode poligon (area of influence) karena metode perhitungan ini dapat dilakukan dengan waktu yang singkat dan hasilnya tepat. Total batubara dengan metode poligon sebesar 18.322.653 m3 dalam tonase sebesar 21.987.184–27.483.980 ton sedangkan perhitungan dengan software rock works 15 sebesar 18.786.254 m3 dalam tonase sebesar 22.543.505–28.179.381 ton.","QC, QE",Jurnal Geofisika Eksplorasi,2018-10,
FT1,"IDENTIFIKASI DAN ESTIMASI SUMBER DAYA BATUBARA MENGGUNAKAN METODE POLIGON BERDASARKAN INTEPRETASI DATA LOGGING PADA LAPANGAN ”ADA”, SUMATERA SELATAN","Seiring semakin menipisnya cadangan minyak bumi, tentu mendorong pemerintah untuk melakukan pencarian sumber energi baru. Ekplorasi batubara merupakan pilihan yang tepat karena potensinya yang begitu besar di Indonesia khususnya di Provinsi Sumatera Selatan diketahui memiliki kandungan 37,80% dari total sumber daya di Indonesia. Metode well loggging adalah salah satu metode geofisika yang digunakan guna menemukan dan mengestimasi sumber daya barubara. Keunggulan dari metode well logging adalah mampu menggambarkan keadaan bawah permukaan secara lateral. Tujuan penelitian ini adalah menampilkan gambaran mengenai lapisan batuan bawah permukaan, menentukan arah sebaran dengan mengkorelasikan seam batubara antar sumur bor berdasarkan data logging, dan mengestimasi sumber daya batubara pada daerah penelitian. Luas daerah penelitian penulis sebesar 442.056 m2 memiliki 10 sumur bor. Data log yang digunakan dalam penelitian ini adalah log gamma ray dan log density, dimana lapisan batubara ditandai dengan respon log gamma ray dan respon log density yang rendah. Pada lapangan ”ADA” ditemukan empat lapisan seam batubara, yaitu seam A1 dengan tebal 8,28 m, seam A2 dengan tebal 13,62 m, seam B dengan tebal 18,50, dan seam C dengan tebal 8,84. Arah sebaran batubara dari Selatan ke Utara dengan sudut kemiringan 5-30º dan arah kemenerusan dari Timur ke Barat. Penulis melakukan estimasi sumber daya batubara menggunakan metode poligon (area of influence) karena metode perhitungan ini dapat dilakukan dengan waktu yang singkat dan hasilnya tepat. Total batubara dengan metode poligon sebesar 18.322.653 m3 dalam tonase sebesar 21.987.184–27.483.980 ton sedangkan perhitungan dengan software rock works 15 sebesar 18.786.254 m3 dalam tonase sebesar 22.543.505–28.179.381 ton.",QE,Jurnal Geofisika Eksplorasi,2018-10,
FT1,"Identifikasi dan Estimasi Sumber Daya Batubara Menggunakan Metode Poligon Berdasarkan Intepretasi Data Logging Pada Lapangan ”ADA”, Sumatera Selatan","As petroleum reserves depleted, certainly encourage the government to search for new energy sources. Eksploration of coal is the right choice because  its potential is so great in Indonesian especially in South Sumatera Province is known have content 37,80% from total resources in Indonesian. Well loggging method is one of geophysics method used to find and estimate coal resources. Advantages of well logging method is able to describe subsurface laterally. The purpose of this study is displaying an overview of subsurface rock layers, determine the direction of distribution by correlating coal seam between wells based on data logging, and to estimate coal resources in the research area. The total area of the author's research is 442.056 m2 has 10 wells. Log data used in this study is gamma ray log dan density log, where coal seams are characterized by gamma ray log response and low log density responses. On the field ”ADA” found four coal seam, that is seam A1 with thickness 8,28 m, seam A2 with thickness 13,62 m, seam B with thickness 18,50, and seam C with thickness 8,84. Direction of coal distribution from South to North with slope angle 5-30º and direction of sincerity from East to West. The author calculates the estimated coal resource using polygon method because this calculates method can be done with a short time and the results are right. Total coal by polygon method of 18.322.653 m3 in tons of 21.987.184–27.483.980 ton while calculations with software rock works 15 amount 18.786.254 m3 in tons of 22.543.505–28.179.381 ton.","QC, QE",Jurnal Geofisika Eksplorasi,2017-09,
FT1,"PEMODELAN ZONA PROSPEK RESERVOAR BERDASARKAN DATA SEISMIK DAN ANALISIS PETROFISIKA UNTUK MENENTUKAN CADANGAN HIDROKARBON AREA OUTSTEP LAPANGAN GEO, CEKUNGAN SUMATERA SELATAN","Geo field already known accumulate the hydrocarbon that identified by gas on carbonate reservoir of Baturaja formation. According to recovery factor data, gas production in South Sumatera basin already increase into 80% of production. By modeling the reservoir prospect zone and analyzing the petrophysical data, the new able reservoir prospect can be identified, also, the hydrocarbon reserve can be calculated in Geo field. Based on a Direct Hydrocarbon Index analysis, the flat spot and gas chimney are visible on seismic section data in outstep area of Geo field.This indication are developed by doing acoustic impedance inversion as a function of seismic data processing. The main output of this inversion is porous zone map as a result of two map interpretation which is acoustic impedance map and density map as an attribute function on this inversion. Based on that map, with cutoff acoustic impedance value 10000 m/s*gr/cc and density cutoff 2,34 gr/cc, identified there is a prospect area in outstep zone indicated by low acoustic impedance with 6492,2m/s*gr/cc – 7772,4m/s*gr/cc value, also, density value range in 1,98gr/cc – 2,34gr/cc. Isopach map, Porosity map and water saturation map are generated by spreading the value on lateral function using guide the density map and petrophysical analysis result. By the value of reservoir property based on the map, hydrocarbon reserve can be calculated. Bgi input value is 0.0089 SCF/cutf, volume bulk value 19898,1977 acre.ft, porosity value 0,156543565% and water saturation average value 0,382105%, gas reserve volume on outstep area predicted about 9,42023537 BSCF.","QC, QE",Jurnal Geofisika Eksplorasi,2017-09,
FT1,"PEMODELAN ZONA PROSPEK RESERVOAR BERDASARKAN DATA SEISMIK DAN ANALISIS PETROFISIKA UNTUK MENENTUKAN CADANGAN HIDROKARBON AREA OUTSTEP LAPANGAN GEO, CEKUNGAN SUMATERA SELATAN","Geo field already known accumulate the hydrocarbon that identified by gas on carbonate reservoir of Baturaja formation. According to recovery factor data, gas production in South Sumatera basin already increase into 80% of production. By modeling the reservoir prospect zone and analyzing the petrophysical data, the new able reservoir prospect can be identified, also, the hydrocarbon reserve can be calculated in Geo field. Based on a Direct Hydrocarbon Index analysis, the flat spot and gas chimney are visible on seismic section data in outstep area of Geo field.This indication are developed by doing acoustic impedance inversion as a function of seismic data processing. The main output of this inversion is porous zone map as a result of two map interpretation which is acoustic impedance map and density map as an attribute function on this inversion. Based on that map, with cutoff acoustic impedance value 10000 m/s*gr/cc and density cutoff 2,34 gr/cc, identified there is a prospect area in outstep zone indicated by low acoustic impedance with 6492,2m/s*gr/cc – 7772,4m/s*gr/cc value, also, density value range in 1,98gr/cc – 2,34gr/cc. Isopach map, Porosity map and water saturation map are generated by spreading the value on lateral function using guide the density map and petrophysical analysis result. By the value of reservoir property based on the map, hydrocarbon reserve can be calculated. Bgi input value is 0.0089 SCF/cutf, volume bulk value 19898,1977 acre.ft, porosity value 0,156543565% and water saturation average value 0,382105%, gas reserve volume on outstep area predicted about 9,42023537 BSCF",QE,Jurnal Geofisika Eksplorasi,2017-08,
FT11,"Analisis Potensi Batu Kapur Menggunakan Penginderaan Jauh Di Kecamatan Muaradua, Oku Selatan","Kecamatan Muaradua, Kabupaten OKU Selatan termasuk dalam Formasi Baturaja yang salah satu batuan pembentuknya yaitu batu kapur. Wilayah ini dijadikan sebagai salah satu rencana lokasi tambang batu kapur oleh PT. Semen Baturaja (Persero) Tbk guna memenuhi kebutuhan bahan baku untuk proses produksi semen. Dalam penentuan rencana lokasi tambang, perlu dilakukan kajian awal untuk menentukan daerah yang memiliki potensi batu kapur. Penelitian ini memanfaatkan data citra Landsat 8 yang diolah dengan menggunakan algoritma NDVI dan LST untuk mendapatkan indeks vegetasi dan suhu permukaan tanah, serta dilakukan interpretasi dan klasifikasi citra untuk mendapatkan tutupan lahan pada wilayah penelitian. Seluruh parameter dilakukan overlay, kemudian skoring dan pembobotan melalui dua tahapan. Uji akurasi untuk hasil klasifikasi citra menggunakan matriks konfusi. Hasil dari penelitian ini menunjukkan bahwa potensi batu kapur di Kecamatan Muaradua didominasi oleh kelas potensi sedang, namun terdapat pula daerah- daerah yang memiliki kelas potensi tinggi dan sangat tinggi. Daerah- daerah ini berada sebagian besar terletak di Desa Gunung Tiga, serta tersebar di sekitar Desa Pendagan, Datar, dan Gunung Terang. Dari hasil penelitian ini, daerah-daerah yang memiliki kelas potensi tinggi dan sangat tinggi dapat dijadikan sebagai lokasi untuk melakukan kajian awal penentuan rencana lokasi tambang baru bagi perusahaan.","G1, QC, QE, TR",Jurnal Geofisika Eksplorasi,2022-03-31,
FT1,TIME-LAPSE MICROGRAVITY UNTUK MONITORING DEFISIT MASSA RESERVOIR PANASBUMI KAMOJANG,"Geothermal field is a dynamic system. The exploitation of geothermal vapour causes change of some physical parameters, such as reservoir mass. Time-lapse microgravity method is one of the methods applied to monitor the mass defisit in Komajang geothermal field. The microgravity measurements have been done three times during 2006-2007 and the elevation change were measured with geodetic GPS. Based on the anomaly map time-lapse microgravity analysis, the mass defisit area (dry out) is shown by negative  time-lapse microgravity (-) and the addition of water mass-reservoir injection (recharge) is represented by positive time-lapse microgravity (+). The negative time-lapse microgravity anomaly is represented by negative density (-) and vice versa. The big negative anomaly in the period of July 07 - June 06 was in the west of the field, in the area of rim structure and predicted due to the well production in KMJ-22, KMJ-28, KMJ-37, KMJ-41, KMJ-42, KMJ-27 and KMJ-65. The cutlet of 3D inversion map in the depth of 1000m showed the change the negative density mass up to -0.02 - -0.04 g/cm3. This result proved that the number of injection through injection well of KMJ-35 and KMJ-46 was not effective. The positive time-lapse microgravity anomaly represents the accumulation of injection water from injection well and/or the meteoric water accumulation which run through the faults. The presence of fluid flow in the reservoir is made clear by the result of analysis of tracer injection and micro earth quake. 

Keywords: time-lapse microgravity, monitoring, mass defisit",QE,Jurnal Sains MIPA,2010-01-02,"time-lapse microgravity, monitoring, mass defisit"
FT1,"ANALISIS ZONA MINERALISASI EMAS DENGAN METODE DERIVATIVE DAN PEMODELAN 3D ANOMALI GAYABERAT, STUDI KASUS: PONGKOR, JAWA BARAT","Zonasi mineralisasi emas dapat dilakukan berdasarkan pemodelan kontras densitas bawah permukaan dari anomali gayaberat. Dimana zona mineralisasi emas berupa jalur mineralisasi dari endapan epitermal yang ditandai dengan adanya endapan mineral kuarsa yang membentuk sistem berurat (vein) di bawah permukaan. Pada penelitian ini, analisis terhadap data gayaberat menggunakan metode Second Vertical Derivative (SVD) dan pemodelan 2D dan 3D yang digunakan untuk mengidentifikasi sesar sebagai zona prospek mineral emas. Data gayaberat residual dapat menunjukkan pola anomali gayaberat antara -3,2 – 2,8 mGal. Analisis Derivative terhadap data gayaberat residual dapat
mengidentifikasi dengan baik pola-pola sesar dimana sesar ditunjukan oleh kontur SVD sama dengan nol. Pola-pola
sesar dari SVD identik dengan pola sesar dari pemetaan geologi. Model 2D dan 3D menunjukkan model densitas
sebesar 2,00 gr/cc – 2,67 gr/cc dan pola struktur sesar hingga kedalaman 1500 m. Pola perlapisan terdiri dari batuan sedimen (clay dan sandstone) dengan densitas 2,20 gr/cc – 2,30 gr/cc berumur Pliosen Tersier atau Miosen Akhir, batuan tuff dengan densitas 2,40 gr/cc – 2,60 g/cc berumur Miosen Awal dan batuan dasar (basement) berupa batuan andesit dengan densitas 2,67 gr/cc. Zona mineralisasi emas berasosiasi dengan batuan Tuff pada kedalaman yang relatif dangkal (< 500 m). Hasil-hasil ini memperkuat dugaan bahwa prospek mineralisasi emas di Pongkor, Jawa Barat ini bertipe endapan epitermal sulfidasi rendah, dimana sesar merupakan struktur pengontrol mineralisasi tersebut.",QE,,2019-10-23,
FT1,"Shear wave velocity estimation based on the particle swarm optimization method of HVSR curve inversion in Bakauheni district, Indonesia","The Nakamura method, known as horizontal to vertical spectral ratio (HVSR), has been used to analyze site effect assessment. Over the past decade, various HVSR curve inversion methods for near-surface geophysical surveys have been developed. Particle swarm optimization (PSO) inversion method has been applied to solve the HVSR inversion curve to estimate the shear wave velocity (Vs) value towards the depth. In this study, the HVSR curve inversion experiment has been applied with two synthetic data: noise-free data and the other is contaminated by 10% random noise. This research aims to find out how the PSO algorithm performs to find the best solution. The result indicated that the PSO algorithm is relatively stable fast in converging and producing the solution closely with the actual model. Finally, we obtained a fit model on actual data inversion that shows the Vs value towards depth from PSO inversion and is able to describe the fault model and sediment layer in Way Baka fault.",QE,Turkish Journal of Earth Sciences,2022-09-09,
