division,title,abstract,subjects,publication,date,keywords
FMIPA2,Abrupt Decline in a Protected Population of Siamangs ( Symphalangus syndactylus ) in Southern Sumatra,"Between 2011 and 2016, approximately 50% of siamangs in the Way Canguk Research Area disappeared, including members of 7 of 12 habituated groups. Demographic
data from 1998 to 2015 confirm that the population decline in the habituated groups reflects a larger trend in the local population. There was no evidence of hunting of primates in the area, and ecological data do not suggest substantial changes in food availability
or predation pressure during this period. From 2011 to 2014, we monitored the habituated groups only intermittently, and most deaths or disappearances were not observed. However, in 2014–2016, we monitored some groups more intensively, and observed 2 individuals with symptoms including whitened skin on the face, hands, and
abdomen, hair loss, swelling of the face, frequent scratching, and lethargy. One affected individual disappeared days after this observation, while the other survived. The spatiotemporal pattern of disappearances in the habituated groups was consistent with that expected if the deaths resulted from disease transmission among neighbouring groups. Thus, the available evidence, while preliminary, suggests that a local disease epizootic
may have been a factor driving the population decline. We recommend that researchers establish monitoring protocols to better understand primate disease epidemiology and
to guide conservation management.","Q1, QH, QH301, QL",Folia Primatologica,2017-08-22,
FMIPA2,"T512C AND T-123/IN1C SNP PLA2G10 GENOTYPE IN ANGINA PECTORIS PATIENTS AT NATIONAL CARDIOVASCULAR CENTER HARAPAN KITA JAKARTA, INDONESIA","Angina Pectoris is one of the early symptoms which is a marker of severe cardiovascular problems such as coronary heart disease. The PLA2G10 gene is believed to play a role whether in the atherosclerotic progression that causes plaque deposits which clog the coronary arteries of the heart or otherwise, antiatherogenic. PLA2G10 polymorphism at SNP ID T512C (rs36072688) and T-123/in1C (rs4003232) play the role in altered the expression level of PLA2G10 as sPLA2-GX coding gene which cause the rapid plaque progression in some groups of animal model and decrease it in some other.The objection of this research is to determine the genotype of PLA2G10 gene in angina pectoris patients of National Cardiovascular Center Harapan Kita in order to define if the disease occurs because of the mutation. The research samples are 133 deposit biological materials (peripheral blood mononuclear cell) from National Cardiovascular Center Harapan Kita’s collection, from angina pectoris patients with plaque and non plaque in the coroner. The polymorphism was determined by TaqMan® SNP Genotyping Assay. The result shows that all the samples from angina pectoris patients in National Cardiovascular Harapan Kita have genotype homozigot wildtype (TT) at SNP ID T512C (rs36072688) and heterozygot (TC) at T-123/In1C (rs4003232) PLA2G10 gene and there’s no polymorphism found in two groups of sample.

Key words: pla2g10, snp id, t512c, t-123/in1c, angina pectoris, polymorphism",QH,,2020-05-21,
FMIPA2,Pelatihan Calon Pemandu Wisata Birdwatching Untuk Identifikasi Dan Pengamatan Burung Dengan Metode Index Point Of Abundance Di Taman Kehati Lampung Barat,"Adapun tujuan pelatihan ini adalah untuk meningkatkan pengetahuan dan keterampilan calon pemandu wisata birdwatching dalam identifikasi dan pengamatan burung dengan metode Index Point of Abundance (IPA) di Taman Kehati.  Taman Kehati merupakan salah satu kawasan pelestarian alam  yang ada di Lampung Barat dan sedang dikembangkan untuk objek wisata dan upaya pelestarian alam.  Keanekaragaman jenis burung dan jenis tumbuhan pendukungnya yang ada di kawasan Taman Kehati sudah cukup baik dan sesuai sebagai tempat wisata, namun staf lapangan di Taman Kehati belum mempunyai ketrampilan sebagai calon pemandu wisata khususnya wisata birdwatching. Tujuan kegiatan ini adalah meningkatkan pengetahuan dan ketrampilan para staf lapangan dengan pelatihan identifikasi dan pengamatan jenis burung menggunakan metode Index Point Abundance (IPA) sehingga memenuhi standar sebagai calon pemandu wisata  birdwatching di Taman Kehati Lampung Barat.  Kegiatan ini diawali dengan pemberian materi tentang wisata birdwatching, dan dilanjutkan dengan praktik penggunaan metode IPA, cara pengamatan burung dengan teropong, dan identifikasi burung.  Para peserta dievaluasi melalui pre-test dan pos-test terkait materi birdwatching, identifikasi jenis burung, dan metode IPA.  Hasil evaluasi menunjukkan pretest peserta rata-rata 5,3, sedangkan post test rata-rata adalah 8,9. Kesimpulan dari kegiatan ini adalah pengetahuan dan wawasan staf lapangan di Taman Kehati Lampung Barat meningkat, khususnya tentang metode pengamatan dan identifikasi burung untuk wisata birdwatching, selain itu staf lapangan Taman Kehati juga terampil mengaplikasikan metode Index Point of Abundance dan menggunakan teropong untuk pengamatan burung.",QH,Jurnal Pengabdian Kepada masyarakat BUGUH,2022,
FMIPA1,Electrochemical Performance of Galvanic Cell with Silver Coated Cathode in One Compartment System Using Seawater as Electrolyte,"his research was carried out to evaluate the electrochemical performance of a galvanic cell using seawater as an electrolyte. The cell was designed to have a volume of 200 mL and equipped with Zn as an anode and Ag-coated Cu as a cathode (Cu(Ag)-Zn system) in order to suppress the corrosion of Cu. As a comparison, the same experiment with the use of uncoated Cu as a cathode (Cu-Zn system) was also conducted. To conduct the experiment, a system was assembled by connecting 20 cells in series and placed in a closed container filled with seawater. The experiment was run for 72 hours, divided into three 24-hour cycles, by replacing the seawater every 24 hours. The performance of the system was evaluated in terms of open circuit voltage, close circuit voltage, current, light intensity, internal resistance, and power. The experimental results show that the corrosion rate of Cu coated with silver was smaller than that of uncoated Cu. Compared to the performance of the Cu-Zn system, it was also found that the Cu(Ag)-Zn system produced higher power and light intensity, which is in accordance with its smaller internal resistance. The overall experimental results indicate better performance of Cu(Ag)-Zn system and this better performance is attributed to the significantly lower corrosion rate of Cu(Ag) cathode which signifies the role of Ag layer to protect the Cu from attack by seawater. As a result, the Cu(Ag)-Zn system maintained the cathode corrosion rate with a ratio of 0.19. The percentage decrease of the OCV of the Cu(Ag)-Zn system was 6.14%, the CCV on the third day was 0.99%, the current was 36.68%, and the power was 37.83%.
Keywords
Seawater, Silver-coated Cathode, Renewable Energy",QH,Science and Technology Indonesia,2023-01-01,
FMIPA2,Potensi Kesenian Bali Sebagai Aset Pengembangan Ekonomi Kreatif Wisata Desa Penyangga Taman Nasional Way Kambas Di Kabupaten Lampung Timur,Kerusakan hutan primer di Taman Nasional Way Kambas (TNWK) menyebabkan beberapa satwa penghuninya bergerak ke luar area taman nasional dan merusak lahan pertanian warga. Kerusakan lahan pertanian menimbulkan kerugian dan keresahan masyarakat desa penyangga TNWK. Salah satu program kegiatan tim Jurusan Biologi Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Lampung (FMIPA Unila) yang tergabung dalam Konsorsium AleRT-Unila di bawah program kegiatan Tropical Forest Conservation Action-Sumatera (TFCA-Sumatera) adalah memberikan pendampingan kepada masyarakat untuk mengembangkan sektor ekonomi kreatif sebagai sumber pendapatan warga. Pendampingan bertujuan untuk mengoptimalkan potensi kesenian Bali di dusun Gunung Agung desa Braja Harjosari kecamatan Braja Selebah sebagai modal dasar wisata desa. Pilar wisata desa di dusun Gunung Agung ditopang oleh kegiatan pementasan dan pembelajaran kesenian Bali kepada wisatawan dengan didukung adanya homestay dan paket wisata desa yang lain.,"Q1, QH, QH301",,2015-11-04,
FMIPA2,"Comparative Cytogenetic Study on Male and Female Captive Sumatran Elephant in Elephant Training Center, Way Kambas National Park","Sumatran elephant (Elephas maximus sumatranus) was one of five big mammals in Way Kambas National Park (WKNP). Cytogenetic study was a part of conservation effort for sumatran elephant, especially in conservation genetic field. Captive sumatran elephant’s blood in Elephant Training Center (ETC) WKNP was collected to karyotype analysis. Captive sumatran elephant’s chromosome was analyzed by squashing technique with pretreating cells in a hypotonic solution. The study of karyotypes were made by giemsa staining applied to captive elephant’s blood cell. The diploid number of captive sumatran elephant was 56 both in male and female. The karyotype analysis performed different fundamental number (FN) in male and female, but same fundamental autosomal number (FNa). Chromosome of female sumatran elephant showed the FN = 8, and FNa = 6, but in male sumatran elephant FN = 7, and FNa = . The karyotypes of X chromosome was large submetacentric and Y chromosome was small acrocentric. The karyotype presented here will compilled with DNA fingerprinting analysis of all captive sumatran elephant in ETC WKNP as references in future breeding policy.
 
Keywords: captive sumatran elephant, karyotype analysis","Q1, QH, QH301, QH426, QL",,2017-10-23,"captive sumatran elephant, karyotype analysis"
,Exploring environmental DNA for Barcoding Analysis of Sumatran Rhino in Way Kambas National Park,"The Sumatran rhino (Dicerorhinus sumatrensis) is one of five species of rhino in the world. The existence of the Sumatran rhino is also considered very vulnerable to habitat degradation, internal cross-breeding, disease and hunting. The Sumatran rhino population will experience extinction if there are no mature management measures for the long term. It is assumed that the dynamics of the natural ecosystem in the Sumatran rhino's natural habitat will have a negative effect on the existence of its population. Sumatran rhino puddle water is one of the remaining sources of environmental genetic material. Extraction of eDNA in the puddle water of individual Sumatran rhinos in Sumatra Rhino Sanctuary, Way Kambas National Park aims to determine the results of testing the quality of genetic material from Sumatran rhino puddle water in the Sumatran Rhino Reserve, Way Kambas National Park using simple and molecular methods. DNA extraction using a simple method detects 0/12 samples, whereas using molecular methods can detect 11/12 samples. These results should be followed by detection using specific primers to ensure that the eDNA extracted is Sumatran rhino eDNA","Q1, QH, QH301, QH426",,2021,
FMIPA2,"The Essential Contribution of Captive Sumatran Elephant in Elephant  Training Center, Way Kambas National Park for Wildlife Genetics  Conservation","Way Kambas National Park (WKNP) is home of five protected big mammals including sumatran elephants.  It shares its border with 22 of 37 villages surrounding the national park.  Understanding their existence in the wild is a priority, and wildlife genetics is a crucially needed. Besides poaching and habitat fragmentation, wildlife-human conflict is one big issue.  Elephant Training Center (ETC) in WKNP is built for semi in-situ conservation effort on captive sumatran elephants that mainly have conflict histories with local people.  Participative observation and bio-molecular analysis were conducted to learn the importance of captive Sumatran elephant for conservation effort.  Through captive sumatran elephants, database and applicable methods are expected to be developed supporting the conservation of their population in the wild.  Participative observation and molecular identification was carried on captive sumatran elephants in ETC, WKNP under multiple year Terapan grant of Ministry of Research and Technology Higher Education, Indonesia. Gene sequence and cytological analyses showed that the captive sumatran elephants are closely related and tend to be domesticated.  Translocation among ETC to avoid inbreeding, and maintaining the captive sumatran elephant as natural as possible are highly recommended. Developing genetic database can be a reference for both captive and wild sumatran elephants.","Q1, QH, QH426",BIOVALENTIA : BIOLOGICAL RESEARCH JOURNAL,2020-05,
FMIPA2,Upaya Pencegahan Penyakit Demam Berdarah Melalui Metode PSN 3M Plus Pada Ibu-Ibu PKK Kelurahan Kampung Baru Kecamatan Labuhan Ratu Bandarlampung,"Demam berdarah merupakan penyakit yang disebabkan oleh virus Dengue dan ditularkan/dibawa oleh nyamuk Aedes aegypti dan Aedes albopictus. Penyakit DBD ini erat sekali hubungannya dengan masalah kebersihan lingkungan. Saat ini masih banyak Ibu-ibu PKK yang belum mengetahui tempat-tempat yang berpotensi sebagai tempat perindukan nyamuk demam berdarah (DBD) yang ditimbulkan dari sampah serta bahan yang tidak terpakai lainnya. Metode penanggulangan yang banyak diterapkan saat ini adalah tindakan pencegahan antara lain program pengendalian vektor. Program ini merupakan salah satu metode yang tepat untuk memutus rantai penularan DBD, yaitu dengan mengurangi kontak manusia-vektor-pathogen dengan cara menghilangkan tempat-tempat yang berpotensi sebagai perindukan nyamuk. Beberapa kegiatan pengendalian vektor DBD telah dilakukan baik oleh pemerintah maupun masyarakat tetapi belum menunjukkan hasil yang nyata, hal ini dapat dilihat dari meningkatnya jumlah kasus DBD dari tahun ketahun terutama pada saat musim hujan. Untuk mengurangi tingkat penularan DBD di Kelurahan Kampung Baru, Kecamatan Labuhan Ratu, Bandar Lampung diperlukan pelatihan bagi Ibu-ibu PKK untuk mengelola lingkungan agar tidak menjadi sumber perindukan nyamuk. Secara umum materi pelatihan mendapatkan tanggapan yang positif dari peserta mengingat penyakit ini sudah dikenal secara umum, namun metode pengendalian belum banyak dikenal. Hasil evaluasi juga menunjukkan terjadi peningkatan pengetahuan sebesar 53,39 % berdasarkan evaluasi hasil pre-test dan post-test. Kesimpulan dalam pelatihan adalah meningkatnya pengetahuan Ibu-ibu PKK Kelurahan Kampung Baru, Kecamatan Labuhan Ratu, Bandar Lampung tentang pengendalian Vektor penyakit DBD menggunakan PSN 3M Plus.",QH,Jurnal Pengabdian Kepada masyarakat BUGUH,2022,
FMIPA1,"Mengembangkan Potensi Public Speaking Anggota Osis Smp Negri 1 Terusan Nunyai, Lampung Tengah","Public speaking adalah rumpun dalam ilmu komunikasi yang mencakup kemampuan sesorang dalam berbicara didepan publik, kelompok, maupun perseorangan dengan strategi dan teknik yang tepat. Public speaking merupakan sebuah rumpun keluarga ilmu komunikasi (Retorika) yang mencakup berdiskusi, berdebat, pidato, memimpin rapat, moderator, MC, dan presenter serta kemampuan seseorang untuk dapat berbicara di depan publik, kelompok maupun perseorangan yang perlu menggunakan strategi dan teknik berbicara yang tepat. Penulisan artikel ini menggunakan pendekatan kualitatif dengan dengan model deskriptif-eksplanatif. Hasilnya, siswa-siswi anggota osis di SMP N 1 Terusan Nunyai dapat menerima dengan baik materi sosialisasi serta pelatihan Public Speaking yang diberikan. Selain itu, siswa-siswi anggota osis juga sudah berani maju kedepan kelas dan berbicara di depan teman-teman mereka. Tentunya hal ini sangat baik untuk mereka karena dapat melatih mental mereka sebelum mereka nantinya akan berbicara di depan masyrakat umum.",QH,Jurnal Pengabdian Kepada masyarakat BUGUH,2022,
