division,title,abstract,subjects,publication,date,keywords
FMIPA2,Peer Review Isolasi dan Aplikasi Fungi Entomopatogen dari Larva Nyamuk Aedes aegypti L.,"DHF (Dengue Hemorrhagic Fever) is a serious problem in Indonesia. DHF disease control has been applied so far,
one of which is the use of larvacide temephos (abate). However larvacide is a chemical insecticide that has a
negative impact on human health and causes resistance. Therefore in this research, biological control is carried out
by utilizing entomopathogenic fungi as a larvacide. The purpose of this study was to determine the effectiveness of
entomopathogenic fungi isolated from Ae aegypti larvae. Against the death of Ae. Aegypti mosquito larvae with the
moist chamber method. This study used a completely randomized design (CRD) with a factorial pattern and
performed two repetitions. Factor A is a type of fungi with 3 levels, namely A1: Aspergillus sp1, A2: Aspergillus sp2,
and A3: Syncephalastrum sp. Factor B is a dilution with 7 levels, namely B0: Control, B1: 100 (without dilution), B2:
10-1
, B3: 10-2
, B4: 10-3
, B5: 10-4
, B6: 10-5 with every treatment was applied in 2 repetitions. Observations were made
24 hours after treatment for 3 days. Data were analyzed using analysis of variances (anova) and continued with the
Least Significant Difference Test (LSD) at 5%. The results indicate that fungi isolates are the most effective in
killing Ae. Aegypti mosquito larvae is Aspergillus sp1 and Aspergillus sp2 on the treatment of spores without
dilution.

Key words: DHF; larvacide; Aedes aegypti; Entomopathogenic Fungi.",QH301,,2019,
FMIPA2,"KEANEKARAGAMAN KUPU-KUPU NYMPHALIDAE DI PULAU PUHAWANG BESAR, TELUK LAMPUNG","Tujuan dari penelitian ini adalah untuk mempelajari keanekaragaman dan kemelimpahan spesies kupu-kupu Nymphalidae di Pulau Puhawang Besar, Lampung. Penelitian ini dilaksanakan di Pulau Puhawang Besar pada bulan Agustus-September 2013. Metode yang digunakan adalah metode Pollard dengan menelusuri rute jalan setapak yang ada sepanjang 8,6 km. Hasil penelitian menunjukkan bahwa jumlah individu kupu-kupu Nymphaidae yang ditemukan di Pulau Puhawang Besar sebanyak 59 individu, terdiri dari 11 spesies dan termasuk dalam 6 Subfamili, yaitu Biblidinae, Danainae, Heliconiinae, Limenitidinae, Nymphalinae, dan Satyrinae. Indeks keanekaragaman kupu-kupu Nymphalidae di Pulau Puhawang Besar termasuk dalam kategori sedang (1,90). Kemelimpahan kupu-kupu relative tertinggi ditunjukkan oleh Ypthima baldus sebesar 37,29%, diikuti Danaus melanipus sebesar 20,34%, dan Orsotriaena medus sebesar 11,86% sedangkan kupu-kupu yang memiliki kemelimpahan relatif terendah yaitu Cupha erymanthis dan Euthalia monina (1.69%).",QH301,Jurnal Ilmiah Biologi Eksperimen dan Keanekaragaman Hayati,2014-05,
FMIPA5,"PREVENTION MODELS TOWARDS HUMAN - TIGER CONFLICT (HTC) IN BUKIT BARISAN SELATAN NATIONAL PARK (BBSNP), LAMPUNG","The population of Sumatran tigers (Panthera tigis sumatrae Pocock, 1929) is having fairly high pressure because of the forest habitat reduction.  Human-tiger conflict (HTC) and its management in Sumatra have become a challenge in the means of tiger conservation because they generate material loss and deaths, that eventually reduce community tolerance towards its conservation attempt.  Attack and predation towards cattle by tigers have made local community in some suburb villages of Taman Nasional Bukit Barisan Selatan (TNBBS / Bukit Barisan Selatan National Park) to develop some nonlethal
control conventional approaches in order to protect their
cattle and to prevent higher conflict to occur. Seven research location villages around TNBBS give important information in HTC prevention used by community in Bukit Barisan Selatan landscape.  Questionnaire survey and
structured interview have been done on 154 respondents.  Some general local prevention models are anti-tiger attack cage or Tiger Enclosure Proof (TPE), fireplace around the cage, lighting or lamp in the cage, high platform cage, and night patrol and guard.  From the questionnaire done, TPE model is evaluated effective in preventing tigers to enter the cage by local community.  From 48 respondents stating that they have built TPE, there are 4 TPE respondents (8.3 %, n=48) having disruption and predation after TPE is built.  The analysis result of Generalized Linear Model (GLM) shows that TPE model is the best modeling that reducing the number of conflicts with delta value of Akaike’s
Information Criterion’(AIC = 28,638), which is the smallest criterion value.  Modeling interpretation
defines that more TPEs built by a village of conflict area will decrease the number of occurring
conflict frequencies.","Q1, QH301",,2016-10-18,
FKIP15,Pelatihan dan Pendampingan Pengelolaan Sampah Domestik Menuju Kampung Sehat di RW 15 Kelurahan Madyopuro Kota Malang,"Kelurahan Madyopuro merupakan salah satu kelurahan di Kecamatan Kedungkandang Kota Malang letaknya sangat strategis dengan sumber potensi yang dimiliki yaitu: Central Business (Pusat Perdagangan), sebagai kota mahasiswa, produksi dari hasil kreatifitas home industri berupa kue basah dan makanan ringan lainnya dan usia produktif mendominasi populasi, ketersediaan tenaga kerja yang besar. Salah satu wilayah yang berdekatan dengan pusat kegiatan masyarakat adalah wilayah Rukun Warga (RW) 15. Berdasarkan observasi dan analisis situasi dapat disampaikan bahwa rata-rata per KK di RW 15 di Kelurahan Madyopuro ini setiap hari menghasilkan tidak kurang dari 1kg sampah organik dan lebih dari 1kg sampah anorganik. Dengan demikian, dari RW 15 ini per hari tidak kurang dari 125kg sampah organik dan 185kg sampah anorganik per hari. Dengan demikian perlu ada usaha untuk mengelola sampah ini agar lebih berguna terutama untuk menjadikan kampong sehat. Hasil kegiatan menunjukkan bahwa kehadiran yang tinggi dari peserta selama kegiatan berlangsung dan tingkat pemahaman yang tinggi pula selama proses pelatihan dan pendampingan mengacu pada survey yang dilakukan setelah kegiatan berlangsung. Saran untuk lanjutan kegiatan pelatihan PENGELOLAAN SAMPAH DOMESTIK MENUJU KAMPUNG SEHAT Di RW 15 KELURAHAN MADYOPURO KOTA MALANG sebagai upaya untuk menuju kampung sehat adalah penambahan jumlah komposter di setiap RT (minimal setiap RT ada 10 – 15 komposter sehingga mampu mengolah kompos secara menyeluruh produk rumah tangga (per RT rata-rata memiliki jumlah KK 20 hingga 30 KK), pendampingan composting hingga produktif bahkan sampai strategi pengemasan dan pemasaran dan inisiasi Bank Sampah sebagai dampak dari pemilahan limbah domestic yang sudah diolah dengan composting ini",QH301,Jurnal KARINOV,2019-05-30,
FKIP15,Quercetin: the bioactive compound from Allium cepa L. as anti-inflammation based on in silico screening,"Inflammation is a tissue injury that occurs due to physical trauma or microbiological substances that involve the activities of many cell types. Inflammation can be prevented using the natural medicines from Allium cepa L. Quercetin is one of the bioactive compounds found
in Allium cepa L and has been reported to have anti-inflammatory activity. The natural medicines have been used to minimize nonsteroidal anti-inflammatory drugs. This study aims to investigate the modeling structures and the protein receptor from quecertin in inflammation mechanism and their optimization of the effectiveness in the human body. The bioinformatics tools used in this study are the database of quercetin compounds, Pubchem and Swis Target Prediction protein prediction databases, PyRx 0.8 molecular docking software, ligand docking, and binding site analysis with PyMOL and LigPlus software. The results from in silico show that quercetin compounds can interact with Muscleblind-like protein 1 target protein with a Binding Affinity minus value which is not much different from the dexamethasone compound. Dexamethason is a standart because it is a corticosteroid drug that can be used as an antiinflammatory to reduce inflammation, allergic reactions, arthritis and other inflammatory diseases.",QH301,"Biology, Medicine, & Natural Product Chemistry",2018,
FMIPA2,Check Similarities Cytotoxic activity of methanol extraction of Avicennia marina and taurin in the HeLa cancer cells,"The aim of study was to determine any anticancer potential from Avicennia marina leaf
extract compare to taurine on cytotoxic and anti-proliferation activities against HeLa cervical
cancer cell line by using the MTT method (3- (4, 5-dimethylthiazol-2-yl)) - 2, 5-
diphenyltetrazolium bromide). The results indicated that methanol extraction of A. marina leaf as
well as taurine did have cytotoxic and anti-proliferation effects on HeLa cell line with IC50 values
of 321 ppm and 603 ppm 1000 ppm. While the doubling time value for anti-proliferation of A.
marina leaf methanol extraction and taurine showed higher values than the control group (72.19
hours).

Keywords : Avicenia marina, taurine, cytotoxic,cytotoxic and anti-proliferative, HeLa cells",QH301,,2020,
FMIPA2,Peer Review Cytotoxic activity of methanol extraction of Avicennia marina and taurin in the HeLa cancer cells,"The aim of study was to determine any anticancer potential from Avicennia marina leaf
extract compare to taurine on cytotoxic and anti-proliferation activities against HeLa cervical
cancer cell line by using the MTT method (3- (4, 5-dimethylthiazol-2-yl)) - 2, 5-
diphenyltetrazolium bromide). The results indicated that methanol extraction of A. marina leaf as
well as taurine did have cytotoxic and anti-proliferation effects on HeLa cell line with IC50 values
of 321 ppm and 603 ppm 1000 ppm. While the doubling time value for anti-proliferation of A.
marina leaf methanol extraction and taurine showed higher values than the control group (72.19
hours).

Keywords : Avicenia marina, taurine, cytotoxic,cytotoxic and anti-proliferative, HeLa cells",QH301,,2020,
FMIPA2,Blood Sampling Technique on Captive Elephant in Way Kambas National Park,"Study on blood sampling method on captive elephant, Elephas maximus sumatranus was done during the month June-August 2016 in Way Kambas Natinal Park  included  Elephant Training Center (ETC), Elephant Response Unit (ERU) I,  ERU II, and ERU III. The  technique of blood sampling on different sex, age, and  individual behaviour  was directly observed. There are three steps in blood sampling procedures i. e. preparation, handling, and blood sampling.  Handling includes habituation, preparing the elephant on ‘rung’ area assisted by Mahout and trained elephant. The 18 G Hypodermic needles or wings needles were used for blood sampling. Except for preparation, there were differences for the following two steps based on their sex and age. Male and juvenile individuals were treated specifically due to behavior background.","Q1, QH301, QH426",,2016-10-18,
FMIPA2,"Peer Review Survei Serologis Toxoplasmosis Pada Ternak Sapi Di Kabupaten Pringsewu Menggunakan Metode Toxoplasma Modified 
Agglutination Test (To-Mat)","The cattle population in Lampung Province has a relatively high number when compared to several
other provinces. Pringsewu is one of the districts in Lampung Province having the supplier potential of
beef in Lampung. The higher the population and production, could cause a potential infection of
toxoplasmosis to livestock and human. So far the prevalence of toxoplasmosis in Pringsewu District. This
study was conducted to determine the level of toxoplasmosis infection in cattle in Pringsewu district. This
study used the To-MAT (Toxoplasma Modified Agglutination Test) method to test Toxoplasma gondii
infection in blood of cows samples. The result of the study found that at a chronic level there were 23/24
cows positively infected with T.gondii. Whereas in acute level there are 8/24 cows positively infected with
T. gondii. In general, the prevalence of toxoplasmosis is 95.8%.

Keywords : Toxoplasmosis, Cow, To-MAT (Toxoplasma Modified Agglutination Test) method, Infection",QH301,,2019,
,PERTUMBUHAN DAN KANDUNGAN GlZl Nannochloropsis sp. YANG DIISOLASI DARI LAMPUNG MANGROVE CENTER DENGAN PEMBERIAN DOSIS UREA BERBEDA PADA KULTUR SKALA LABORATORIUM,"Penelitian ini bertujuan untuk mengetahui pertumbuhan dan kandungan gizi Nannochloropsis sp. yang diisolasi dari Lampung Mangrove Center dengan pemberian dosis urea berbeda pada kultur skala laboratorium dan untuk menentukan dosis urea paling efektif dalam media pupuk pertanian terhadap pertumbuhan dan kandungan gizi Nannochloropsis sp. Penelitian dilaksanakan pada bulan Juli-Oktober 2016 di Lampung Mangrove Center dan Laboratorium Fitoplankton, Divisi Pakan Hidup, Balai Besar Perikanan Budidaya Laut (BBPBL) Lampung. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL)empat perlakuan (A-D)dan lima ulangan. Perlakuan A (Urea 30 ppm; ZA20 ppm; TSP 10 ppm); B(Urea 40 ppm; ZA20 ppm; TSP 10 ppm); C (Urea 50 ppm; ZA20 ppm; TSP 10 ppm); dan D (Conwy sebagai kontrol). Parameter yang diamati yaitu pertumbuhan (kepadatan populasi, laju pertumbuhan
spesifik dan waktu generasi) dan kandungan gizi (kadar protein, lemak dan karbohidrat) Nannochloropsis sp. Data pertumbuhan dianalisis menggunakan analisis varian satu arah dan diuji lanjut Beda Nyata Terkecil (BNT) pada selang kepercayaan 95%. Data kandungan gizi dianalisis secara deskriptif. Hasil penelitian menunjukkan bahwa pemberian dosis urea berbeda pada kultur skala laborato-rium memiliki perbedaan yang nyata terhadap pertumbuhan (kepadatan populasi maksimum, laju pertumbuhan spesifik
dan waktu generasi) Nannochloropsis sp. Pemberian dosis urea 50 ppm paling efektif untuk meningkatkan pertumbuhan Nannochloropsis sp. dan pemberian dosis urea 40 ppm paling efektif untuk meningkatkan kandungan gizi Nanno-chloropsrs sp. mencapai 67,538%.

Kata kunci: Nannochloropsis sp., urea, pertumbuhan, kandungan gizi","Q1, QH301",Jurnal Ilmiah Biologi Eksperimen dan Keanekaragaman Hayati,2017-03-01,
