division,title,abstract,subjects,publication,date,keywords
FMIPA2,Analisis kualitas limbah cair pada kolam anaerob IV di Instalasi Pengolahan Air Limbah (IPAL) PT. Perkebunan Nusantara VII (Persero) Unit Usaha Bekri,"Among the industries in Lampung, PT. Perkebunan Nusantara VII (Persero) Bekri Business Unit is one of the Palm Oil Processing Plant (POPP) industry who spend a lot of waste water in the form of residual organic liquid materials. The rest of the liquid material can cause problems such as
pollution so it needed special treatment before the waste water is discharged into the environment. This study was conducted to determine the quality of liquid waste in an anaerobic pool IV on Wastewater Treatment Plant (WWTP) PT. Plantation Nusantara VII (Persero) Business Unit Bekri
so it can be determined whether the waste water treatment process can improve the quality of waste water for the better. Waste water quality measurement is done using the parameters of physics, chemistry, and heavy metals, namely pH, COD, BOD5, TSS, Cd, Cu, Pb, and Zn. The results showed
that the quality of the wastewater in an anaerobic pool IV was good and meets the quality standards of palm oil mill effluent by the State Minister of Environment Resolution No. 03 / MENKLH /11/1991 and the Indonesian Government Regulation No. 20 of 1990 on Water Pollution Control. It
also indicates that the effluent treatment system at the Wastewater Treatment Plant (WWTP) PT. Perkebunan Nusantara VII (Persero) Bekri Business Unit is very effective","Q1, QK",Biogenesis,2013-12-21,
FMIPA2,"Molecular Characterization of Odontoglossum Ringspot Virus
(ORSV) in Java and Bali, Indonesia","Orchids are one of the important ornamental plants that were cultivated in tropical countries, including in Indonesia. Virus infections has
been important limiting factor in orchids cultivation because it could decrease the orchids quality. Odontoglossum ringspot virus (ORSV)
is one of the most reported viruses infecting orchids, which spread widely in the world. During 2010-2011 surveys of viral diseases were
conducted in Jawa and Bali, Indonesia. The orchids were found infected by virus, showed symptoms of mosaic, mottle, chlorotic, necrotic,
streak, wilting leaf and ringspot on leaf surface. Detection with Reverse Transcription-Polymerase Chain Reaction (RT-PCR) showed that
only 5 from 88 samples were infected by ORSV with total incidence of 5.7%. Three leaf samples of Phalaenopsis sp., were infected, then
called ORSV BOC, ORSV KRB and ORSV TNBB isolates, respectively. The results obtained by amplification of DNA band with 474 bp in length
as expression of Coat Protein (CP) gene. Phylogenetic analysis based on nucleotide sequences of CP gene showed that ORSV BOC have
similarity to ORSV Germany, whereas, ORSV KRB and ORSV TNBB lead to speciation that possibly to be a new strain. This study was proved
that ORSV have entered and spread widely by infected orchids in orchids landscape (nursery), semi-natural forests (botanical gardens)
and natural forest (national park) in Java and Bali, Indonesia.","QK, S1",Asian Journal of Plant Pathology,2016-03-15,
FMIPA2,"Deteksi Odontoglossum ringspot virus Terhadap Anggrek Alam di Hutan Wonosadi, Gunung Kidul","Wonosadi forest is managed forests by indigenous forest communities and is located in the hamlet of Duren and Sidorejo, Beji village, subdistrict Ngawen, Gunung Kidul regency, Yogyakarta. One of the biological richness contained in Wonosadi forest is very valuable natural orchids and need to be preserved. Management to the preservation of nature in the woods Wonosadi orchids can be done through natural orchid protection against infectious pathogens, including viruses. Odontoglossum ringspot virus (ORSV) is one type of orchid viruses infect most widely reported and has spread widely in the world, including in Indonesia. ORSV can cause severe damage to the orchid. Therefore, it is necessary to study to detect ORSV that infect wild orchids in the forest Wonosadi molecular basis for detecting the presence and pattern of infection ORSV as well as possible to reduce the severity of disease caused by infection with the virus. The purpose of this study is to assess the natural orchid ORSV infection in molecular Wonosadi forest that can be used as a database in an effort to protect against natural orchid Wonosadi forest. In the long term, the results of this study are very useful to support conservation efforts and determine appropriate conservation efforts for wild orchids in the forest Wonosadi. The initial phase of the study conducted a survey and collection of samples of wild orchids in the forest leaves that show symptoms of infection Wonosadi ORSV. Furthermore, molecular analysis performed with gene amplification Coat Protein ORSV using Reverse engineering Trancriptase Polymerase Chain Reaction (RT-PCR).","QK, QR355",Biogenesis,2014-12-09,
FMIPA2,Deteksi Odontoglossum ringspot virus pada Anggrek Asli Koleksi Kebun Raya di Indonesia,"Native orchid is one of Indonesian natural resources which play important role as parental materials in breeding program. Virus infection is one of the limiting factors in the cultivation of orchid. The purpose of this study was to detect Odontoglossum ringspot virus (ORSV) from native orchid. Symptomatic orchids were collected from 5 botanical gardens, i.e. Bogor, Cibodas, Purwodadi, Balikpapan, and Enrekang Botanical Gardens. Detection and identification was conducted by serological method using ORSV specific antisera, followed by RT-PCR and DNA sequencing. The serological test showed that 5 samples gave positive reaction against ORSV antiserum, i.e. Phalaenopsis amboinensis (KRB2) and Phalaenopsis amabilis (KRB12) from Bogor Botanical Garden, Phalaenopsis amabilis (KRP18) and Dendrobium salacence (KRP20) from Purwodadi Botanical Garden, dan Phalaenopsis modesta J. J. Sm. (KRBp5) from Balikpapan Botanical Garden. RT-PCR of the 5 samples using specific primer of ORSV coat protein gene was successfully amplified fragment DNA with size ± 474 bp. Homology analysis of those 5 ORSV isolates showed the highest index similiarity of 99.8% with corresponding sequences from 14 other ORSV isolates. Phylogenetic analysis indicated that ORSV KRB2 and KRP18 isolates was clustered in a separate group far from ORSV isolates in other countries. This is the first report of ORSV infection on native orchids collection from 5 botanical gardens in Indonesia.","QK, S1",Jurnal Fitopatologi Indonesia,2017-01-09,
FMIPA2,Deteksi Odontoglossum ringspot virus pada Anggrek Asli Koleksi Kebun Raya di Indonesia,"Native orchid is one of Indonesian natural resources which play important role as parental materials in breeding program. Virus infection is one of the limiting factors in the cultivation of orchid. The purpose of this study was to detect Odontoglossum ringspot virus (ORSV) from native orchid. Symptomatic orchids were collected from 5 botanical gardens, i.e. Bogor, Cibodas, Purwodadi, Balikpapan, and Enrekang Botanical Gardens. Detection and identification was conducted by serological method using ORSV specific antisera, followed by RT-PCR and DNA sequencing. The serological test showed that 5 samples gave positive reaction against ORSV antiserum, i.e. Phalaenopsis amboinensis (KRB2) and Phalaenopsis amabilis (KRB12) from Bogor Botanical Garden, Phalaenopsis amabilis (KRP18) and Dendrobium salacence (KRP20) from Purwodadi Botanical Garden, dan Phalaenopsis modesta J. J. Sm. (KRBp5) from Balikpapan Botanical Garden. RT-PCR of the 5 samples using specific primer of ORSV coat protein gene was successfully amplified fragment DNA with size ± 474 bp. Homology analysis of those 5 ORSV isolates showed the highest index similiarity of 99.8% with corresponding sequences from 14 other ORSV isolates. Phylogenetic analysis indicated that ORSV KRB2 and KRP18 isolates was clustered in a separate group far from ORSV isolates in other countries. This is the first report of ORSV infection on native orchids collection from 5 botanical gardens in Indonesia.","QK, S1",Jurnal Fitopatologi Indonesia,2017-01-09,
FMIPA2,"PENGARUH PEMBERIAN EKSTRAK UMBI BAWANG MERAH
(Allium cepa L.) TERHADAP PERTUMBUHAN TANAMAN
KANGKUNG (Ipomoea reptans L.)","The purpose of this study was to determine the effect of giving onion tuber extract to the growth of water
spinach (Ipomoea reptans L.). This research was conducted at the Laboratory of Plant Physiology,
Department of Biology, Faculty of Mathematics and Natural Sciences, University of Lampung, from
November to December 2018, using a single randomized complete design (CRD). Namely as a treatment
of shallot tuber extract (Allium cepa L.) with 5 concentration levels: 0% v / v (K0), 10% v / v (K1), 20% v
/ v (K2), 30% v / v (K3) and 40% v / v (K4). Each treatment was repeated 5 times, so the number of
experimental units was 25. The variables in this study were the number of leaves, stem length, leaf dry
weight, and chlorophyll a, b, and total. The data obtained were homogenized by Levene test. If it is
homogeneous then analyze the variance with a real level of 5%. If there is a difference between treatments,
then it is continued with an Honestly Significant Difference test (BNJ) conducted at the 5% real level. The
results showed that the concentration of shallot tuber extract was quadratic correlated with the number of
leaves and there was a significant increase in the concentration of 30% v / v. The plant height was quadratic
correlated with the concentration of shallot tuber extract and a significant increase in the concentration of
30% v / v. Dry weight was quadratic correlated with the concentration of shallot tuber extract and there
was a significant increase in the concentration of 30% v / v. The shallot tuber extract has no effect on the
content of chlorophyll a, b and total. From the results of the study it can be concluded that the shallot tuber
extract with a concentration of 30% can increase the number of leaves, plant height, and kale dry weight.",QK,Jurnal Penelitian Pertanian Terapan,,
FMIPA2,"ANALISIS KANDUNGAN KLOROFIL TOTAL DAN KARBOHIDRAT
TERLARUT PLANLET SAWI CAISIM (Brassica rapa L.) RESISTEN
TERHADAP CEKAMAN KEKERINGAN SECARA IN VITRO DENGAN
POLY ETHYLENE GLYCOL (PEG) 6000","Sawi caisim (Brassica rapa L.) memiliki potensi untuk dikembangkan di
Indonesia. Sawi caisim tergolong jenis sayuran yang populer dan banyak
dikonsumsi masyarakat, karena memiliki kandungan gizi tinggi dan bernilai
ekonomi cukup tinggi. Kendala yang dihadapi dalam budidaya sawi di Indonesia
antara lain musim kemarau. Cekaman kekeringan saat musim kemarau dapat
mengakibatkan tanaman sawi mengalami defisit air, yang akhirnya menyebabkan
penurunan produktivitas sawi. Seleksi in vitro bibit sawi caisim menggunakan
Poly Ethylene Glycol (PEG) 6000, dapat digunakan untuk pemilihan dan
pengembangan bibit unggul sawi caisim yang resisten cekaman kekeringan.
Tujuan penelitian ini adalah untuk seleksi planlet sawi caisim resisten cekaman
kekeringan secara in vitro, serta mengetahui karakter ekspresi spesifik planlet
sawi yang tumbuh pada kondisi cekaman kekeringan secara in vitro, khususnya
kandungan karbohidrat dan kandungan klorofil. Penelitian ini dilaksanakan dari
bulan November 2019 sampai dengan Desember 2019 di Ruang Kultur Jaringan
Tumbuhan, Laboratorium Botani, Jurusan Biologi, Fakultas Matematika dan Ilmu
Pengetahuan Alam, Universitas Lampung. Penyusunan rancangan penelitian
menggunakan pola dasar Rancangan Acak Lengkap (RAL) yang terdiri dari faktor
tunggal yaitu konsentrasi PEG 6000 dengan 5 taraf yaitu: P0 (0%), P1 (10%), P2
(20%), P3 (30%), dan P4 (40%), dan dilakukan 4 kali ulangan. Parameter yang
diamati yaitu: kandungan klorofil total dan kandungan karbohidrat terlarut total.
Analisis data menggunakan ANOVA dan uji lanjut dengan Beda Nyata Terkecil
(BNT) pada taraf nyata 5%. Hasil penelitian menunjukkan bahwa PEG 6000tidak memberikan pengaruh signifikan terhadap kandungan karbohidrat dan
klorofil, meski demikian terjadi sedikit peningkatan kandungan karbohidrat
terlarut dan terjadi penurunan kandungan klorofil total.",QK,Analit: Analytical and Environmental Chemistry,2020,
FMIPA2,"Pengaruh Ekstrak Air Rumput Teki (Cyperus rotundus)
Terhadap Pertumbuhan Dan Kandungan Klorofil Padi Gogo
Varietas Inpago 8","The purpose of this research is to know whether the aqueous extract of purple nutsedge (Cyperus
rotundus) have an effect on the growth and chlorophyll content of upland rice seedling of Inpago 8
varieties. This research was conducted at Botanical Laboratory of Biology Department Faculty of
Mathematics and Natural Sciences University of Lampung from September to October 2017. The
experiments were carried out in a complete randomized design with the main factors being aqueous
extract of purple nutsedge with 5 level : 0% v / v (control), 5% v / v, 10% v / v, 15% v / v, and
20%v/v. Parameters measured were shoot length, fresh weight, dry weight, relative water content,
and total chlorophyll content of rice seedling. Homogeneity of variance was determined by Levene
test at 5% significant level. Analysis of variance and Tukey HSD test is done at 5% significant level.
The results showed that the concentration of extract correlated quadratic with shoot length where the
maximum shoot length was 3.9 cm at 10% extract concentration. Fresh weight and relative water
content maximum were 73.21 mg and 76% respectively at concentrations of 14% and 10%. The
minimum total chlorophyll content was 0.47 mg / g tissue at a concentration 11%. There was no
significant effect on the dry weight of the seedling. From the results of the study it was concluded that
the extract of purple nutsedge at concentration below 14% was a growth stimulator, but it was an
inhibitor of chlorophyll biosynthesis.",QK,Jurnal Penelitian Pertanian Terapan,2018,
FMIPA2,PENGARUH ASAM GIBERELAT (GA3) DAN KALIUM NITRAT (KNO3) SERTA INTERAKSINYA TERHADAP SENESCENCE BUNGA POTONG GERBERA PUTIH (Gerbera jamesonii).,"The purpose of this study was to decide whether the mixture of KNO3 and GA3 solutions was more effective than a single solution of KNO3 or GA3 in maintaining the freshness of cut flowers. The study was conducted at the Botanical Laboratory of the Department of Biology, Faculty of Mathematics and Natural Sciences, University of Lampung from November - December 2017. The research was carried out in a 2 x 3 factorial experiment with reason A was the GA3 solution with 3 concentration levels: 0%, 0.5%, and 1%. Factor B is KNO3 solution with 2 concentration levels: 0% and 5%. The limits in this study were fresh weight, dry weight, relative water content, and total dissolved carbohydrate content of gerbera cut flowers, qualitative limits were the level of reducing sugars. Measurements were made 7 days after soaking cut flowers in KNO3 or GA3 solutions, and a mixture of both. Homogeneity of variance and analysis of variance were determined at a significant level of 5%. Simple effect of KNO3 at each concentration level of GA3 decide by F test at 5% significance level. The results showed that GA3 with a concentration of 0.25% and 0.5% increased the fresh weight and dry weight of Gerbera cut flowers. KNO3 0.5% much reduced the relative water content of Gerbera cut flowers. The interaction between GA3 and KNO3 does not much effect all freshness of cut flowers. From the results of the study concluded that the single treatment of GA3 was more effective than the combination treatment of GA3 and KNO3 in maintaining the freshness of Gerbera cut flowers.

Keywords

KNO3; GA3; Gerbera Cut Flowers","QK, S1",Jurnal Ilmiah Biologi Eksperimen dan Keanekaragaman Hayati,2019-06-02,
FMIPA2,PENGARUH ASAM GIBERELAT (GA3) DAN KALIUM NITRAT (KNO3) SERTA INTERAKSINYA TERHADAP SENESCENCE BUNGA POTONG GERBERA PUTIH (Gerbera jamesonii).,"The purpose of this study was to decide whether the mixture of KNO3 and GA3 solutions was more effective than a single solution of KNO3 or GA3 in maintaining the freshness of cut flowers. The study was conducted at the Botanical Laboratory of the Department of Biology, Faculty of Mathematics and Natural Sciences, University of Lampung from November - December 2017. The research was carried out in a 2 x 3 factorial experiment with reason A was the GA3 solution with 3 concentration levels: 0%, 0.5%, and 1%. Factor B is KNO3 solution with 2 concentration levels: 0% and 5%. The limits in this study were fresh weight, dry weight, relative water content, and total dissolved carbohydrate content of gerbera cut flowers, qualitative limits were the level of reducing sugars. Measurements were made 7 days after soaking cut flowers in KNO3 or GA3 solutions, and a mixture of both. Homogeneity of variance and analysis of variance were determined at a significant level of 5%. Simple effect of KNO3 at each concentration level of GA3 decide by F test at 5% significance level. The results showed that GA3 with a concentration of 0.25% and 0.5% increased the fresh weight and dry weight of Gerbera cut flowers. KNO3 0.5% much reduced the relative water content of Gerbera cut flowers. The interaction between GA3 and KNO3 does not much effect all freshness of cut flowers. From the results of the study concluded that the single treatment of GA3 was more effective than the combination treatment of GA3 and KNO3 in maintaining the freshness of Gerbera cut flowers.",QK,Jurnal Biologi Eksperimen dan Keanekaragaman Hayati,2019-06,
