division,title,abstract,subjects,publication,date,keywords
,ISOLASI DAN APLIKASI FUNGI ENTOMOPATOGEN DARI LARVA Aedes aegypti L.,"Penyakit DBD ( Demam Berdarah Dengue) merupakan masalah serius di Indonesia. Pengendalian penyakit DBD sudah banyak dilakukan, salah satunya adalah penggunaan larvasida jenis temephos (abate). Larvasida merupakan insektisida kimiawi yang memiliki dampak negatif bagi kesehatan manusia dan menyebabkan resistensi. Oleh karena itu dilakukan pengendalian hayati dengan memanfaatkan fungi entomopatogen. Tujuan dari penelitian ini adalah mengetahui efektivitas fungi entomopatogen yang diisolasi dari larva Ae. aegypti terhadap kematian larva nyamuk Ae. aegypti dengan metode moist chamber. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) dengan pola faktorial dan dilakukan 2 kali pengulangan. Faktor A merupakan jenis fungi dengan 3 taraf yaitu A1: Aspergillus sp. 1, A2: Aspergillus sp. 2, dan A3: Syncephalastrum sp. Faktor B merupakan pengenceran dengan 7 taraf yaitu B0 : Kontrol, B1 : 100 (tanpa pengenceran), B2 : 10-1, B3 : 10-2, B4 : 10-3, B5 : 10-4, B6 :10-5 setiap perlakuan dilakukan 2 pengulangan. Pengamatan dilakukan  24 jam setelah perlakuan selama 3 hari. Data dianalisis menggunakan ANARA dan dilanjutkan dengan Uji Beda Nyata Terkecil (BNT) pada taraf nyata 5%. Hasil penelitian ini menunjukkan bahwa isolat fungi yang paling efektif dalam mematikan larva nyamuk Ae. aegypti adalah Aspergillus sp. 1 dan Aspergillus sp 2. 
Keywords: DHF, Aedes aegypti, Fungi Entomopatogen",QL,Jurnal Biologi Papua,2019,"DHF, Aedes aegypti, Fungi Entomopatogen"
FP3,Identification and Predictive Bioconversion of Cholesterol to Estran and Androst Hormones from Scalloped Spiny Lobster  (Panulirus homarus) Gonads,"Steroidal hormones process from gonadal maturation of scalloped spiny lobster (Panulirus homarus) not established due to undeveloped practice of hatchery technology. Two steroid hormones i.e. estran and androst were elucidated previously and involved on gonadal maturation of scalloped spiny lobster. This study aimed to identified and evaluate role of cholesterol as raw material of estran and androst hormones. Eighteen individuals of immature and mature female scalloped spiny lobster gonads were used and analysed with pyrolysis gas chromatography mass spectrometry (py-GCMS). Results found that cholesta-8,24-dien-3-ol, 4-methyl-3ß-4α (C28H46O) with molecular weight 368 assumed as raw materials for estran and androst hormones. Scalloped spiny lobster may process the enzymatic systems that able to catalysed the bioconversion of cholesta-8,24-dien-3-ol, 4-methyl-3ß-4α to estran and androst hormones.","Q1, QL","International Advanced Research Journal in Science, Engineering and Technology",2023,
FP21,The Effects of Thyroxine Hormone on Gonadal Maturation and Growth of Male Spiny Lobster (Panulirus homarus),"The present experiments were designed to find the optimum dose of thyroxine hormone administration to enhance gonadal maturation and growth of male spiny lobster (Panulirus homarus). Maturation study used 30 male spiny lobsters divided into two treatments of dose of weekly injection of thyroxine hormone i.e., 0 and 0.1 µg/g. Samples were taken to determine parameters of gonadosomatic index (GSI), anatomy and histology of gonads. Growth study used 44 male spiny lobsters divided into 4 treatments of doses of weekly thyroxine injection i.e., 0, 0.1, 0.2, and 0.5 µg/g during 70 days of culture. Growth parameters of specific growth rate (SGR), the growth of carapace length (GCL), the number of molted male spiny lobster, feed conversion ratio (FCR), and survival rate were observed. Results showed that injection of thyroxine hormone at a dose 0.1 µg/g supported optimum SGR and GCL, FCR, molted and survival rate. Moreover, male spiny lobsters injected with thyroxine at a dose of 0.1 µg/g increase GSI (P<0.05), showed a better gonad development and higher number of spermatogonia.","QL, SH",Malaysian Journal of Science,2020-02-29,
FMIPA2,The Diversity of Grasshoppers in Liwa Botanical Garden Based on Time Capture,"ABSTRACT
Grasshopper is one of the diurnal cosmopolitan insect, the existence of grasshoppers is very
influential for some other animal populations such as birds. It is still lack of information of
diversity, distribution, population, and other basic biological aspects of grasshoppers at
Kebun Raya Liwa (KRL). To monitor biodiversity, it is necessary to provide informations
about the number of individuals, their functions, and roles in the habitat and ecosystem.
Therefore it is necessary to conduct the research of these topics. This research was carried
out during November to December 2019, at the Taman Hias Kebun Raya Liwa.
Grasshoppers were cached in the morning from 06.00 AM to 09.00 AM, day from 10.00 AM
to 02.00 PM, and afternoon from 03.00 PM to 06.00 PM . The grasshoppers was cached
using a sweeping net by exploring the Taman Hias Kebun Raya Liwa. The caught
grasshopper was identified at the Zoology Laboratory of the Faculty of Mathematics and
Natural Sciences, Universitas Lampung. The result show that ten species of grasshopper
were found at the Taman Hias Kebun Raya Liwa, i.e. Phaleoba antennata, Phaleoba
fumosa, Phaleoba rustica, Atractomorpha crenulata, Atractomorpha sp., Phillium crurifolium,
Phillium sp, Trilophidia annulata, Oxya chienensis, and Melanoplus differentialentialis. The
index diversity of grasshopper at the Taman Hias Kebun Raya Liwa is categorized to
moderate with H' = 2.223. The best time to catch grasshoppers is in the morning from 06.00
AM-09.00 AM and afternoon from 03:00 PM – 05:00 PM .
Keywords: grasshopper, diversity, time of capture, Kebun Raya Liwa",QL,Jurnal Ilmiah Biologi Eksperimen dan Keanekaragaman Hayati,2020-07,"grasshopper, diversity, time of capture, Kebun Raya Liwa"
FMIPA5,"PREVENTION MODELS TOWARDS HUMAN - TIGER
CONFLICT (HTC) IN BUKIT BARISAN SELATAN NATIONAL 
PARK (BBSNP), LAMPUNG","The population of Sumatran tigers (Panthera tigis sumatrae Pocock, 1929) is having fairly high pressure because of the forest habitat reduction.  Human-tiger conflict (HTC) and its management in Sumatra have become a challenge in the means of tiger conservation because they generate material
loss and deaths, that eventually reduce community tolerance towards its conservation attempt.  Attack and predation towards cattle by tigers have made local community in some suburb villages of Taman Nasional Bukit Barisan Selatan (TNBBS / Bukit Barisan Selatan National Park) to develop some nonlethal control conventional approaches in order
to protect their cattle and to prevent higher conflict to
occur.Seven research location villages around TNBBS give important information in HTC prevention used by community in Bukit Barisan Selatan landscape.  Questionnaire survey and
structured interview have been done on 154 respondents.  Some general local prevention models are anti-tiger attack cage or Tiger Enclosure Proof (TPE), fireplace around the cage, lighting or lamp in the cage, high platform cage, and night patrol and guard.  From the questionnaire done, TPE model is evaluated effective in preventing tigers to enter the cage by local community.  From 48 respondents stating that they have built TPE, there are 4 TPE respondents (8.3 %, n=48) having disruption and predation after TPE is built.  The analysis result of Generalized Linear Model (GLM) shows that TPE model is the best modeling that reducing the number of conflicts with delta value of Akaike’s Information Criterion’(AIC = 28,638), which is the smallest criterion value.  Modeling interpretation defines that more TPEs built by a village of conflict area will decrease the number of occurring conflict frequencies.  
Keywords: sumatran tiger, human, conflict, TPE, GLM",QL,,2016-10,"sumatran tiger, human, conflict, TPE, GLM"
FMIPA2,"Birdwatching Potency at Liwa Botanical Garden, West Lampung","The Liwa Botanical Garden is located in Kubu Perahu Village, Balik Bukit District, West Lampung Regency. The Liwa Botanical Garden has an area of 86 ha, built in 2007 with the theme of Indonesian Ornamental Plants. The Liwa Botanical Garden is one of the destinations that is being developed for tourism activities and used as a recreational object. One of the functions of the Liwa Botanical Garden is as a tourist spot. Plants in the Liwa
Botanical Garden are so beautiful. The Liwa Botanical Garden is a bird habitat because it has an abundant source of food for birds. Therefore it is necessary to do an inventory of bird species by conducting research to find out potential bird species that are used as tourist
attractions (birdwatching) at the Liwa Botanical Garden. This research was conducted on October 2019. The method used was the point count method and rapid assessment. Based on field observations found 14 species of birds that are not protected and only 1 species of birds included in the protected category. And found 8 types of plants, namely 5 types of trees, 1 species of ferns, 1 species of bushes, and 1 type of reeds Keywords: Liwa Botanical Garden, bird species inventory, birdwatching, point count, rapid assessment.",QL,Jurnal Ilmiah Biologi Eksperimen dan Keanekaragaman Hayati,2020-04,"Liwa Botanical Garden, bird species inventory, birdwatching, point count, rapid assessment."
FMIPA2,UJI EFEKTIVITAS SKABISIDA EKSTRAK ETANOL DAUN SIRIH (Piper betle L.) SECARA IN VIVO TERHADAP TUNGAU Sarcoptes scabiei​  PADA MARMUT (Cavia porcellus​),"Unhealthy marmot environment is one of the factors that can cause disease. One such disease is known as scabies. Scabies is caused by Sarcoptes scabiei mites that attack animals, especially on the skin. The aimof the study was to determine the effectiveness of ethanol extract of betel leaf (Piper betle L.​ ) ethanol extract in vivo              
against S. scabiei mites in guinea pigs (Cavia porcellus​ ). This research was conducted in October - November 2019. Sample examination, treatment and observation were         
carried out in the Zoology Laboratory of the Faculty of Mathematics and Natural Sciences while the making of betel leaf extract was carried out at the Botany Laboratory of the Faculty of Mathematics and Natural Sciences. The method used in this research is              
an experimental method with RAL (Complete Randomized Design) experiments. For scabies sample selection, microscopic examination of skin samples is carried out on           
guinea pigs showing clinical symptoms of scabies to confirm the presence of S. scabiei mites. The samples used were 27 marmot scabs which were relatively the same. In this study were divided into 3 treatments, namely positive control, negative control, and administration of 100% betel leaf extract. Data obtained were analyzed using One Way ANOVA and the results obtained p = 0,001 which showed a significant reduction in the wide of the scab. Then proceed with the LSD test (Least Significance Different). Based on the results and discussion, it was concluded that the administration of betel leaf             
ethanol extract (Piper betle L.) in vivo to Sarcoptes scabiei mites in guinea pigs (Cavia porcellus​) had the highest effectiveness as scabidae compared to 0.5% NaCMC.

Keywords: Betel Leaf Extract, Guinea Pigs, Scabies",QL,Jurnal Medika Malahayati,2020-04,"Betel Leaf Extract, Guinea Pigs, Scabies"
FMIPA5,THE COMPARISON OF TOXICITY PURIFIED ISOLATE OF WATER AND METHANOL EXTRACTS OF PAWDER LEAF GLIRICIDIA MACULATA ON MORTALITY SOURSOP MEALYBUG PSEUDOCOCCUS CRYPTUS,"Soursop production in Indonesia continues to decline from year to year. One cause is the mealybug pest (Pseudococcus cryptus). The white lice suck the young fruits soursop to dry and stunted. To control the pest, using botanical insecticides more safety than synthetic insecticides. One of the plants that can be used is Gliricidia maculata. The leaves of G. maculata contain planty of an active compound flavonoid. The purpose of the study to compare the toxicity of the purified isolates of water and methanol extracts of G. maculata leaves on mortality soursop mealybugs (P.cryptus). Extraction was done by maceration series using various organic solvents (n-hexane, dichloromethane, methanol
and water). Fractionation and purification of flavonoids from polar extracts were done by Chromatography Coloum. A set of laboratory experiment was conducted by using block design.  Water and Methanol extracs (WE and ME) with 5 levels concentration i.e. 0%, 0.02%, 0.04%, 0.06% and 0.08%, and 3 replications. ANOVA was conducted to obtain the means and standarrd deviations of the experimental study, and Tukey’s test at α = 5% was peformed in order to obtain the different among the expelimental groups. Analisys Probit were used for compare the efectivities the exstracts.  The result indicated the was toxic to mealybug pest (P. cryptus) with LC50 72 hours water extract 0,061% and metanol extract 0,096%. Therefore water extract more toxic than metanol extract.

Keywords : extract water , methanol , powder leaves (G.maculata) , soursop mealybug (P.cryptus)",QL,Proceeding of 3rd International Wildlife Symposium,2016-10-18,
FMIPA2,"Histopathological Observation of The Qurban Goat’s (Capra Aegagrus Hircus) Lung Organs in Tulus Rejo Village, Pekalongan District, East Lampung 2019 Suspected Of Being Infected With Pneumonia","Placement of goats of various ages and the number of animals that exceed the maximum limit in one cage
can cause the spread of diseases caused by viruses, bacteria, etc. One of them can cause pneumonia. Dirt
and extreme temperatures in East Lampung are feared to increase the growth of bacteria that cause
pneumonia. The purpose of this research was to determine the type of pneumonia that infects and the
differences between the histopathological organs of the healthy qurban goats and those infected with
pneumonia. This research was conducted in October-November 2019 at the Pathology Laboratory of the
Veterinary Institute of Lampung. About 13 samples of lung organ of goat qurban (Capra aegagrus hircus)
were taken from the Baburahman mosque of Tulus Rejo Village, Pekalongan District, East Lampung. The
results of the study found 6 samples of positive qurban goat lungs infected with pneumonia, with the
characteristics of inflammatory cells accompanied by thickening of the septa alveoli, edema, and the
presence of hemorrhage. Based on observations, the most infecting types of pneumonia are pulmonary
edema and peri-bronchial edema. 

Keyword: Pneumonia in Goats; Goats; Hypatological of Pneumonia.",QL,IJIS Edu :Indonesian J. Integr. Sci. Education,2020,
FMIPA2,"Histopathological Observation of The Qurban Goat’s (Capra Aegagrus Hircus) Lung Organs in Tulus Rejo Village, Pekalongan District, East Lampung 2019 Suspected Of Being Infected With Pneumonia","Placement of goats of various ages and the numb  of animals that exceed the maximum limit in one cage can cause the spread of diseases caused by viruses, bacteria, etc. One of them can cause pneumonia. Dirt and extreme temperatures in East Lampung are feared to increase the growth of bacteria that cause pneumonia. The purpose of this research was to determine the type of pneumonia that infects and the
differences between the histopathological organs of the healthy qurban goats and those infected with pneumonia. This research was conducted in October-November 2019 at the Pathology Laboratory of the Veterinary Institute of Lampung. About 13 samples of lung organ of goat qurban (Capra aegagrus hircus) were taken from the Baburahman mosque of Tulus Rejo Village, Pekalongan District, East Lampung. The
results of the study found 6 samples of positive qurban goat lungs infected with pneumonia, with the characteristics of inflammatory cells accompanied by thickening of the septa alveoli, edema, and the presence of hemorrhage. Based on observations, the most infecting types of pneumonia are pulmonary edema and peri-bronchial edema. 

Keyword: Pneumonia in Goats; Goats; Hypatological of Pneumonia.","QL, QP",IJIS Edu : Indonesian Journal of Integrated Science Education,2020-07-21,
