division,title,abstract,subjects,publication,date,keywords
FP25,The influence of magnetic field on the growth of tomato (Lycopersicum esculentum) infected with Fusarium oxysporum,"Abstract— This Previous research suggests that magnetic field (MF) can enhance seedling vigor, growth, and the production of tomato plants. This study examines the influence of MF on the growth of tomato infected by Fusarium oxysporum, fungal pathogen that causes Fusarium wilt in tomatoes. This factorial study arranged in a stripe split plot design. Factors tested consists of long exposure to the MF, M (control; 7'48 ""; II'42"" and 15'36 ""), how to infect fusarium, F (through soaking the seeds and by infecting fusarium through the stem at the age 28 days after sowing (das), and soaking the seeds, S (soaking and without soaking for 15 minutes before MF treatment). Each unit of experiment was repeated 3 times. Parameters measured were percentage of germination, growth rate based on plant height, and fresh weight. Observations were made on the plant until 42 das. Data were analyzed of variance followed by the least significant difference (LSD) test at α = 1 and 5%. The results showed that the interaction between MF and fusarium (MxF), fusarium and soaking (FxS), and MF, fusarium, and soaking (MxFxS) did not produce a different response on all parameters measured. Differences in response to the treatments derived from the treatment of MF (M), Fusarium (F), and the treatment interaction of the MF x soaking (MxS). The MF (M) and the interaction of MF and soaking (MxS) significantly effect on all parameters measured at each measurement. The treatment of Fusarium (F) significantly effect on germination percentage, and fresh weight at 7 das.
Keywords— magnetic field, fusarium, germination percentage, growth rate, fresh weight.",QP,INSIST,2016-10,
FMIPA2,"Histopathological Observation of The Qurban Goat’s (Capra Aegagrus Hircus) Lung Organs in Tulus Rejo Village, Pekalongan District, East Lampung 2019 Suspected Of Being Infected With Pneumonia","Placement of goats of various ages and the numb  of animals that exceed the maximum limit in one cage can cause the spread of diseases caused by viruses, bacteria, etc. One of them can cause pneumonia. Dirt and extreme temperatures in East Lampung are feared to increase the growth of bacteria that cause pneumonia. The purpose of this research was to determine the type of pneumonia that infects and the
differences between the histopathological organs of the healthy qurban goats and those infected with pneumonia. This research was conducted in October-November 2019 at the Pathology Laboratory of the Veterinary Institute of Lampung. About 13 samples of lung organ of goat qurban (Capra aegagrus hircus) were taken from the Baburahman mosque of Tulus Rejo Village, Pekalongan District, East Lampung. The
results of the study found 6 samples of positive qurban goat lungs infected with pneumonia, with the characteristics of inflammatory cells accompanied by thickening of the septa alveoli, edema, and the presence of hemorrhage. Based on observations, the most infecting types of pneumonia are pulmonary edema and peri-bronchial edema. 

Keyword: Pneumonia in Goats; Goats; Hypatological of Pneumonia.","QL, QP",IJIS Edu : Indonesian Journal of Integrated Science Education,2020-07-21,
FK1,PERBANDINGAN MEAN ARTERIAL PRESSURE (MAP) ANTARA OBESITAS GENERAL DENGAN OBESITAS SENTRAL PADA PEGAWAI LAKI – LAKI DEWASA DI LINGKUNGAN UNIVERSITAS LAMPUNG,"Obesitas merupakan kondisi ketidaknormalan akibat kelebihan akumulasi lemak dalam jaringan adiposa. Peningkatan prevalensi obesitas berdampak pada munculnya berbagai penyakit kardiovaskuler. Resiko yang sering ditemukan kardiovaskuler adalah peningkatan tekanan darah. Tujuan penelitian ini adalah mengetahui perbandingan mean arterial pressure antara obesitas general dengan obesitas sentral pada pegawai laki – laki dewasa dengan obesitas di lingkungan Universitas Lampung. Penelitian ini menggunakan metode analitik komparatif dengan pendekatan cross sectional. Penelitian dilakukan pada bulan September-Desember 2016. Populasi dalam penelitian adalah pegawai laki-laki dewasa di lingkungan Universitas Lampung sebanyak 60 responden. Sampel diambil dengan teknik consecutive sampling. Hasil penelitian menunjukan responden rata – rata berumur pada kelompok usia 40 – 49 tahun (51,7%). Rerata nilai mean arterial pressure pada penderita obesitas sentral sebesar 108,22 mmHg dan pada penderita obesitas general sebesar 95,56 mmHg dengan selisih MAP sebesar 12,67 mmHg. Hasil uji T perbandingan MAP pada obesitas general dengan obesitas sentral dengan nilai p = 0,001. Terdapat perbedaan mean arterial pressure antara obesitas general dengan obesitas sentral pada pegawai laki-laki dewasa di lingkungan Universitas Lampung.

Kata Kunci : mean arterial pressure, obesitas general, obesitas sentral.","QP, RZ",Jurnal Kelitbangan Provinsi,2017-04-01,
FMIPA2,Pengaruh Bacillus thuringiensis israelensis Sebagai Larvasida Vektor Demam Berdarah Dengue (DBD) Terhadap Ikan Guppy (Poecilia reticulata),"Penyakit tular vektor merupakan salah satu masalah kesehatan masyarakat yang utama di Indonesia, diantaranya penyakit Demam Berdarah Dengue (DBD) yang ditularkan oleh Aedes aegypti. Untuk mengurangi efek negatif insektisida, dewasa ini pemberantasan vektor diupayakan dengan penggunaan agen biologi yaitu menggunakan Bacillus thuringiensis israelensis (Bti) yang lebih ramah lingkungan dan tidak menyebabkan resisten vektor. Selain harus efektif membunuh larva nyamuk, Bti juga harus tidak membahayakan biota perairan lainnya yang sehabitat seperti ikan Guppy (Poecilia reticulata). Oleh karena itu, penelitian ini bertujuan untuk mengetahui pengaruh Bti terhadap mortalitas ikan Guppy sebagai organisme non target vektor DBD. Penelitian ini dilakukan di Laboratorium Zoologi, Jurusan Biologi, Fakultas Matematika dan Ilmu pengetahuan Alam, Universitas Lampung. Dilaksanakan pada Desember – Februari 2019. Metode penelitian yang digunakan adalah eksperimental skala laboratoris berupa Rancangan Acak Lengkap (RAL) yaitu konsentrasi Bti sebagai perlakuan dengan empat kali ulangan. Perlakuan yang diuji yaitu kontrol ( tidak diberi Bti), dan pemberian Bti dengan konsentrasi 20 ppm, 40 ppm, 60 ppm, 80 pmm, dan 100 ppm. Hasil penelitian menunjukkan pemberian Bti pada konsentrasi berbeda tidak berpengaruh terhadap kematian ikan Guppy dan tidak berpengaruh secara signifikan terhadap pertumbuhan berat total ikan Guppy. 
Kata kunci : Demam Berdarah Dengue (DBD), Bacillus thuringiensis israelensis, ikan Guppy.",QP,Journal of Biological Research Bio Wallacea,2019-05,
FMIPA2,"Taurine Content Of Three Different Macroalgae: Halopuntia L., Sargassum sp. And Eucheuma cottonii L.","As one of the marine resources, macroalgae presumably contains of free 
amino acid such as taurine.  Taurine is known to be one of the most important amino
acid related to hyperosmotic stress for most of living organisms.  The study was
conducted to explore the taurine contain from the most abundance macroalgae found in
Indonesia seawater, especially in Lampung Province, namely Halimeda opuntia L.,
Sargassum sp. and Eucheuma cottonii L. Maceration followed by ethanol extraction
was applied to those three different macroalgae and the filtrate was identified for its
taurine content by using UV-Vis spectrophotometry.  Standard of pure taurine of 0,1
and 1 M was used and the maximum wavelength of under the UV-Vis
spectrophotometry was 630 nm. Simple correlation from the standard taurine was y =
0.001x+0.033 and used to determine the taurine content of those three macroalgae.  The
result indicated that potential taurine content of Halimeda opuntia L was 7.85 mg/100g
dry mass, Sargassum sp was 1.21 mg/100g dry mass and Eucheuma cottonii L was 4.61
mg/100g dry mass.",QP,IOP Proceedings,,
FMIPA2,Antiestrogenic Effect of Tuber Extract of Cyperus rotundus L on The Endometrial Thickness of Mice,similarity,QP,World Journal of Pharmaceutical and Life Sciences,2016,
FMIPA2,Antispermatogenik Effect of Seeds Extract of Papaya (Carica Papaya L) in Mice,similarity,QP,The Pharmaceutical and Chemical Journal,2018,
FMIPA2,"CHEMICAL COMPOSITION OF THE ESSENTIAL OILS DISTILLED FROM TUBER OF RUMPUT TEKI (CYPERUS ROTUNDUS LINN.) GROWING IN TANGGAMUS, LAMPUNG, INDONESIA",Hasil penilaian sejawat sebidang atau peer review karya ilmiah: jurnal ilmiah internasional,QP,European Journal of Biomedical and Pharmaceutical Sciences,2018-04,
FMIPA2,"Chemical Composition of Essential Oils Distilled from Tuber of Rumput Teki (Cyperus rotundus Linn) Growing in Tanggamus Lampung, Indonesia",similarity,QP,European Journal of Biomedical and Pharmaceutical Sciences,2018,
FMIPA2,EFEK ANTIESTROGENIK EKSTRAK RIMPANG RUMPUT TEKI (Cyperus rotundus L.) TERHADAP KETEBALAN SEL GRANULOSA LUTEIN DAN TEKA LUTEIN KORPUS LUTEUM MENCIT (Mus musculus L.),similarity,QP,,2014,
FMIPA2,EFEK ANTIESTROGENIK EKSTRAK RIMPANG RUMPUT TEKI (Cyperus rotundus L.) TERHADAP KETEBALAN SEL GRANULOSA LUTEIN DAN TEKA LUTEIN KORPUS LUTEUM MENCIT (Mus musculus L.).,Hasil penilaian sejawat sebidang atau peer review karya ilmiah:prosiding dan makalah yang dipresentasikan,QP,,2014-05,
FMIPA2,EFEK PEMAPARAN KEBISINGAN TERHADAP JUMLAH SEL-SEL SPERMATOGENIK DAN DIAMETER TUBULUS SEMINIFERUS MENCIT (Mus musculus L.),Hasil penilaian sejawat sebidang atau peer review karya ilmiah: prosiding dan makalah yang dipresentasikan,QP,,2013-11,
FMIPA2,EFEK PEMAPARAN KEBISINGAN TERHADAP JUMLAH SEL-SEL SPERMATOGENIK DAN DIAMETER TUBULUS SEMINIFERUS MENCIT (Mus musculus L.),similarity,QP,,2013,
FMIPA2,"EFFECT OF CONSUMPTION KEMUNING’S LEAF (MURRAYA PANICULATA (L.) JACK) INFUSE TO REDUCE BODY MASS INDEX, WAIST CIRCUMFERENCE AND PELVIS CIRCUMFERENCE ON OBESE PATIENTS",Hasil penilaian sejawat sebidang atau peer review karya ilmiah: jurnal ilmiah internasional,QP,International Journal of Research in Ayurveda and Pharmacy,2017,
FMIPA2,"EFFECT OF CONSUMPTION KEMUNING’S LEAF (MURRAYA PANICULATA (L.) JACK) INFUSE TO REDUCE BODY MASS INDEX, WAIST CIRCUMFERENCE AND PELVIS CIRCUMFERENCE ON OBESE PATIENTS",Simirality,QP,International Journal of Research in Ayurveda and Pharmacy,2017,
FMIPA2,Efek Antiestrogenik Tamoxifen dan Ekstrak Umbi Teki (Cyperus rotundus L.) terhadap Diameter Uterus dan Lumen Uterus Mencit (Mus musculus L.),Hasil penilaian sejawat sebidang atau peer review karya ilmiah: jurnal ilmiah nasional,QP,JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,2018-02,
FMIPA2,Efek Antiestrogenik Tamoxifen dan Ekstrak Umbi Teki (Cyperus rotundus L.) terhadap Diameter Uterus dan Lumen Uterus Mencit (Mus musculus L.),similarity,QP,JUKE,2018,
FMIPA2,"Efek Kuratif Pemberian Jus Buah Naga Putih (Hylocereus undatus) terhadap Motilitas, Jumlah, dan Morfologi Spermatozoa Tikus Putih (Rattus norvegicus) Jantan Galur Sprague dawley yang Diinduksi Siproteron Asetat",Hasil penilaian sejawat sebidang atau peer review karya ilmiah: jurnal ilmiah nasional,QP,Jurnal Majority,2015-11,
FMIPA2,"Efek Kuratif Pemberian Jus Buah Naga Putih (Hylocereus undatus) terhadap Motilitas, Jumlah, dan Morfologi Spermatozoa Tikus Putih (Rattus norvegicus) Jantan Galur Sprague dawley yang Diinduksi Siproteron Asetat",similarity,QP,Medical Journal of Lampung University,2015,
FMIPA2,"Efek Kuratif Pemberian Jus Buah Naga Putih (Hylocereus undatus) terhadap Motilitas, Jumlah, dan Morfologi Spermatozoa Tikus Putih (Rattus norvegicus) Jantan Galur Sprague dawley yang Diinduksi Siproteron Asetat",similarity,QP,Majority,2015,
FMIPA2,Efek Protektif Ekstrak Etanol Daun Binahong Terhadap Gamabaran Histopatologi Hati Tikus Putih Galur Sprague Dawley yang Diinduksi Et,similarity,QP,MAJORITY,2014,
FMIPA2,Extract Etanol Daun Sirsak Berpotensi Memiliki Efek Kemoterapi pada Kanker Payudara Tikus putuh,similarity,QP,Jurnal Kedokteran Brawijaya,2014,
FMIPA2,GAMBARAN HISTOLOGIS TUBULUS PROKSIMAL GINJAL MENCIT (Mus musculus L.) JANTAN YANG TERPAPAR KEBISINGAN,Hasil penilaian sejawat sebidang atau peer review karya ilmiah: prosiding dan makalah yang dipresentasikan,QP,,2013-11,
FMIPA2,GAMBARAN HISTOLOGIS TUBULUS PROKSIMAL GINJAL MENCIT (Mus musculus L.) JANTAN YANG TERPAPAR KEBISINGAN,similarity,QP,,2013,
FMIPA2,Histologi ginjal mencit akibat radiasi cahaya lampu merah,Hasil penilaian sejawat sebidang atau peer review karya ilmiah: jurnal ilmiah nasional,QP,Jurnal Ilmiah Biologi Eksperimen dan Keanekaragaman Hayati,2013-07,
FMIPA2,Histologi ginjal mencit akibat radiasi cahaya lampu merah,similarity,QP,JurnalIlmiah Biologi Eksperimen dan Keanekaragaman Hayati,2013,
