division,title,abstract,subjects,publication,date,keywords
FMIPA2,Uji Daya Hambat Pertumbuhan Mikroba Patogen Oleh Streptomyces sp. strain i18 Sebagai Agen Biokontrol,"Penyakit yang disebabkan oleh mikroba patogen telah menginfeksi makhluk hidup seperti manusia, hewan, dan tanaman. Hal ini memberikan dampak negatif bagi kesehatan manusia dan menurunkan kualitas produksi di bidang pertanian. Agen biokontrol dapat digunakan untuk mencegah infeksi yang aman dan ramah lingkungan. Penelitian ini bertujuan untuk mengetahui potensi dari bakteri Streptomyces sp. strain i18 sebagai agen biokontrol dalam menghambat pertumbuhan mikroorganisme patogen seperti Candida sp., Fusarium oxysporum, Aspergillus sp., Erwinia sp., dan Eschericia coli. Pengujian antagonis menggunakan metode swab dengan menumbuhkan bakteri patogen pada permukaan atas media Mueller Hinton Agar (MHA), kemudian Streptomyces sp. strain i18  di titik pada bagian tengah media. Indikator yang diamati adalah zona jernih yang terbentuk disekitar koloni bakteri. Hasil penelitian ini menunjukan bahwa Streptomyces sp. strain i18 memiliki aktivitas yang kuat dalam menghambat Erwinia sp. sebesar 18,33 mm, kemudian diikuti Fusarium oxysporum sebesar 17,00 mm, dan Aspergillus sp. sebesar 15,00 mm namun dikatagorikan lemah dalam menghambat pertumbuhan Candida sp. sebesar 3,33 mm. Hasil penelitian ini juga menunjukan bahwa Streptomyces sp. strain i18 tidak dapat menghambat pertumbuhan dari Eschericia coli. Bakteri Streptomyces sp. strain i18 berpotensi dijadikan agen biokontrol pertumbuhan bakteri maupun jamur patogen.","QR, S1",BIOEKSPERIMEN,,
,Similarity index : Effects of 0.2 mT .............,Effects of 0.2 mT magnetic field exposure on the growth of red chili (C. annuum L.) infected with pathogenic fungus Fusarium oxysporum,QR,,2021,
FK1,Hubungan antara Mikrobiota dan Psoriasis,"As the largest organ of the human body, the skin
is colonized by a variety  of  microorganisms,  most  of  which  are  harmless  and  have benefits for the host. This microbiota contributes to the metabolism and immunity of the host. The human microbiota includes bacteria, fungi,  iruses  and  archaea,which  inhabit  various  areas  of  the 
body.  Most  of  the  microbiota  resides  in  the  intestine,  only  a  small part   of   which   inhabit   epithelial   surfaces   such   as   the   mouth, airways,  vagina  and  skin.  The  total  number  of  microbiota  on  the surface of the skin is usually in the range 104 to 106 cells per cm2. Psoriasis    is    one    of    the    most    common    immune-mediated inflammatory  skin  diseases.  The  prevalence  of  disease  has  been reported, with a range of 0.09-11.43% by the WHO Global Report 2016. To  date  the  causes  of  this  disease  are  not  fully  understood, 
genetic  and  environmental  interactions  play  an important  role  in disease  progression.  Recently,  immunological  approaches  have helped  to clarify  the  pathophysiology  of  the  disease  significantly. The   skin   microbiota   has   been   shown   to   play   a   role   in   the pathogenesis    of    lichenified    plaque    formation    in psoriasis. Corynebacterium,  Propionibacterium,  Staphylococcus,  and  also Streptococcus  have  been  identified  as  the  main  microbiota.  It  has not been determined whether these changes in the microbiota are a cause or consequence of psoriasis. For this reason, further research on  selective  modulation  of  the  skin  microbiota  is  needed.  This systematic  review  aims  to  elucidate  the  correlation  between  the microbiome  and  pathogenesis  of  psoriasis  and  the  modulation  of the microbiota that could lead to possible therapeutic interventions.
Keywords: Microbiota, Psoriasis, Skin","QR, R1",Jurnal Ilmu Medis Indonesia,2021-09,"Microbiota, Psoriasis, Skin"
,"UJI EFEKTIFITAS EKSTRAK TUMBUHAN URANG ARING
 (Eclipta alba (L.) Hassk) TERHADAP PERTUMBUHAN JAMUR Colletotrichum sp. 
PENYEBAB PENYAKIT ANTRAKNOSA","Penyakit antraknosa disebabkan oleh jamur Colletotrichum sp. Pengendalian yang umum digunakan adalah
dengan menggunakan fungisida sintetik. Penggunaan fungisida sintetik memiliki dampak negatif antara lain,
pencemaran lingkungan, dan berkembangnya resistensi karena kandungan residu yang tinggi. Untuk
mengatasi masalah ini, dilakukan pemanfaatan bahan alami dari tumbuhan sebagai biofungisida.  Tumbuhan
urang aring mengandung berbagai bahan aktif sebagai antifungi yaitu coumestans, alkaloids, flavonoids,
glycosides, polyacetylenes, triterpenoids dan saponin.  Penelitian ini bertujuan untuk mengetahui konsentrasi
ekstrak tumbuhan urang aring yang mampu menghambat pertumbuhan Colletotrichum sp.  Penelitian disusun
dalam Rancangan Acak Lengkap (RAL) dengan tujuh perlakuan dan empat ulangan.  Konsentrasi yang
digunakan yaitu 0%, 5%, 10%, 15%, 20%, dan 25%. Sebagai kontrol positif digunakan fungisida sintetik
antracol dan kontrol negatif menggunakan media PDA. Pengamatan dilakukan dengan menghitung jumlah
koloni dan mengukur diameter pertumbuhan koloni hingga hari ke 7 setelah inokulasi pada suhu 27
0
 C. Data
yang diperoleh dianalisis ragam dan dilanjutkan dengan Uji Beda Nyata Terkecil (BNT) dengan taraf α =5 %. 
Hasil penelitian menunjukan bahwa konsentrasi 25% paling baik dalam menghambat perkecambahan konidia,
ditunjukkan dengan rerata jumlah koloni terkecil yaitu 72,75  koloni, sedangkan pada kontrol 0% terdapat rerata
jumlah koloni terbanyak yaitu 162,25. Konsentrasi ekstrak 25% juga paling baik dalam menghambat
pembentukan konidia. 
 
Kata Kunci : Antraknosa, Colletotrichum sp., Ekstrak Tumbuhan Urang  Aring (Eclipta alba (L.)",QR,Jurnal Biologi Eksperimen dan Keanekaragaman Hayati,2018-07,
FK1,POLA RESISTENSI BAKTERI AEROB PENYEBAB INFEKSI LUKA OPERASI TERHADAP ANTIBIOTIK DI RUANG RAWAT INAP BAGIAN BEDAH DAN KEBIDANAN RSUD. DR. H. ABDUL MOELOEK BANDAR LAMPUNG,"Resistensi bakteri terhadap antibiotik yang dapat disebabkan oleh penggunaan antibiotik yang kurang tepat sudah menjadi masalah di berbagai rumah sakit di indonesia dan dunia. Infeksi nosokomial yang disebabkan oleh bakteri dapat terjadi pada pasien postoperasi yang menjalani rawat inap di rumah sakit. Penelitian ini bertujuan untuk mengetahui pola resistensi bakteri aerob penyebab infeksi luka operasi terhadap antibiotik di ruang Rawat Inap bagian Bedah dan Kebidanan RSUD. Dr. H. Abdul Moeloek Bandar Lampung.
Penelitian ini dilakukan dengan metode eksperimental laboratorik dengan pendekatan cross-sectional. Jumlah sampel sebanyak 77 isolat dari 60 pasien yang diuji dengan 8 jenis antibiotik yaitu Penisilin G, Ceftazidim, Cefotaksim, Amikasin, Gentamisin, Eritromisin, Ciprofloksasin, dan Kloramfenikol. Uji sensitivitas antibiotik dilakukan dengan teknik difusi Kirby-Bauer.
Hasil penelitian ini menunjukkan bahwa isolat bakteri dari ruang rawat inap Bedah RSUD. Abdul Moeloek sensitif terhadap Ciprofloksasin, Amikasin, Gentamisin, dan Eritromisin akan tetapi resisten terhadap Penisilin G, Cefotaksim, dan Kloramfenikol. Juga terjadi peningkatan resistensi pada Penisilin G, Ceftazidim, Amikasin, dan Cefotaksim. Terjadi penurunan resistensi pada Gentamisin, Eritromisin, dan Ciprofloksasin. Isolat bakteri dari ruang rawat inap Kebidanan sensitif terhadap Ciprofloksasin, Amikasin, Gentamisin akan tetapi resisten terhadap Penisilin G, Eritromisin, dan Kloramfenikol. Juga terjadi peningkatan resistensi pada Ceftazidim, Ciprofloksasin, Gentamisin, dan Cefotaksim.
Kata kunci : Bakteri aerob, Resistensi, Antibiotik, Infeksi Luka Operasi.","QR, R1",Majority,2012,
FMIPA2,Karakterisasi Proteolitik Fungi Entomopatogen Aspergillus sp. dari Kecoa Periplaneta americana,"Periplaneta americana cockroach is an insect that becomes a vector of disease. Generally Indonesian people control cockroaches with chemicals that are at risk of poisoning humans and are not environmentally friendly. To reduce the risk, the steps taken are by using one biological controller with fungi Aspergillus sp. which is entomopathogenic. The fungus used must have proteolytic activity to be able to break down proteins which are one of the constituent compounds of the pest body. Results from proteolytic characterization of Aspergillus sp. showed that Aspergillus sp. has proteolytic activity with a proteolytic index of 0,708",QR,Prosiding Seminar Nasional Perhimpunan Biologi Indonesia XXV,,
FMIPA2,Peer review-Growth profile of Nannochloropsis sp....,,QR,,,
FMIPA2,Produksi  Pati  Resisten  dari  Biji Alpukat  (Persea  americana)melaluiFermentasi  oleh Streptomycessp. AB  8  dan  Variasi Auotoclaving-Cooling,,"QR, RM",Indonesian Journal of Chemical Analysis (IJCA),,
FMIPA2,Screening of the bio-decolorization ability of synthetic dyes and the degradation of hydrocarbon bacteria Serratia marcescens MBC1,,QR,Biogenesis,,
FMIPA2,Penapisan Enzim HidrolasepadaBakteriStreptomycessp. strainI18,,QR,Biota: Jurnal Ilmiah Ilmu-Ilmu Hayati,2022-10,
