division,title,abstract,subjects,publication,date,keywords
FK1,Dokter Layanan Primer,-,R1,Dokter Layanan Primer,2016-09-21,
FK1,Modul Pelatian TOT Bagi Dosen Home Based DLP,-,R1,,,
FK1,Aktifitas Musa Paradisiaca Dalam Terapi Diare Akut Pada Anak,"Tanaman obat telah digunakan sebagai bentuk alternatif dari perawatan kesehatan. Pisang (Musa paradisiaca) merupakan
salah satu tanaman obat yang paling sering digunakan. Pisang (Musa paradisiaca) memiliki efek potensial terhadap
penyembuhan pada banyak penyakit, terutama penyakit gastrointestinal. Diare merupakan salah satu contoh penyakit
yang bisa disembuhkan dengan Musa paradisiaca. Diare merupakan salah satu penyebab kematian paling sering di dunia
pada anak-anak di bawah usia 5 tahun. Penyakit ini disebabkan oleh berbagai etiologi, seperti patogen, perubahan
metabolik, subtansi dan intoksikasi. Beberapa penelitian menunjukkan bahwa waktu pemulihan pasien diare yang
mengonsumsi diet dengan pisang lebih cepat dibanding pasien yang tidak mengonsumsi diet dengan pisang. Musa
paradisiaca bisa menyembuhkan diare dengan aktivitas dari kandungan karbohidratnya. Kandungan karbohidrat yang
resisten terhadap kadar amilase yang tinggi akan berperan dalam resistensi terhadap hidrolisis di usus. Ketika tiba di kolon,
kandungan karbohidrat tersebut difermentasi oleh mikroflora kolon menjadi short chain fatty acids (SCFAs) yang
menstimulasi absorpsi garam dan air. Di sisi lain, Musa paradisiaca bisa mengurangi diare dengan menormalisasi fungsi
usus. Kandungan pektin dalam Musa paradisiaca akan mengabsorpsi air dalam jumlah besar untuk menormalisasi
pergerakan usus. Simpulan: Pisang (Musa paradisiaca) dapat menjadi alternatif terapi diare pada anak di bawah usia lima
tahun karena mempunyai kandungan fitokemikal alami, aktivitas farmakologis, dan aktivitas antibakteri",R1,JK Unila Edisi Khusus PEPKI VIII,2016-10,
FK1,"Penatalaksanaan Occupational Disesase e.c Tinea Pedis
Pada Supir Truk dengan Pendekatan Holistik","Penatalaksanaan Occupational Disesase e.c Tinea Pedis
Pada Supir Truk dengan Pendekatan Holistik
1Muhammad Fakih Abdurrohman,
2Diana Mayasari
1
Fakultas Kedokteran, Universitas Lampung
2
Bagian Ilmu Kedokteran Komunitas, RSUD DR. H. Abdoel Moeloek Bandar Lampung
Abstrak
Penyakit kulit akibat kerja merupakan salah satu penyakit akibat kerja (occupational disease) yang banyak terjadi pada
masyarakat, dan merupakan penyakit akibat kerja kedua terbanyak di Eropa setelah cedera musculoskeletal.1 Tinea pedis
atau yang disebut juga athlete’s foot adalah salah satu infeksi jamur superfisial pada kulit kaki yang sering terjadi pada
kasus dermatofitosis umumnya saat ini.2 Infeksi tinea pedis juga menyerang berbagai tingkat pekerjaan, khususnya
pekerjaan yang menuntut pemakaian sepatu yang ketat dan tertutup. Bertambahnya kelembaban karena keringat,
pecahnya kulit karena mekanis, dan paparan terhadap jamur merupakan faktor predisposisi yang menyebabkan tinea
pedis.3 Diperkirakan sekitar 70% populasi di seluruh dunia telah terinfeksi tinea pedis. Pasien Tn. S 65 tahun dengan
keluhan berupa bercak merah bersisik disertai rasa gatal pada kedua jari kaki sejak 3 minggu yang lalu. Faktor individu yang
berperan berupa pasien sering menggunakan sepatu ketat dan tertutup. dari pemeriksaan fisik ditemukan gambaran infeksi
jamur berupa bercak kemerahan dengan skuama di atasnya dengan central healing dan tepi aktif. Tidak ada faktor di luar
pekerjaan yang berperan pada timbulnya gejala. Dari hasil ini, diagnosis penyakit akibat kerja dapat ditegakkan. Diberikan
terapi medis dan non medis untuk menyembuhkan dan mencegah kembalinya penyakit.
Kata kunci: Athelete’s foot, penyakit akibat kerja, tinea pedis
Management of Occupational Disease e.c Tinea Pedis
On Truck Driver with a Holistic Approach
Abstract
Occupational skin disease is one of the occupational diseases that occur frequently in the community, and is the second
most occupational disease in Europe after musculoskeletal injuries.1 Tinea pedis or also known as athlete's foot is a
superficial fungal infection of the skin. feet that often occur in cases of dermatophytosis in general today.2 Tinea pedis
infection also attacks various levels of work, especially jobs that require wearing tight and closed shoes, increased moisture
due to sweat, mechanical rupture of skin, and exposure to fungi are predisposing factors causes tinea pedis.3 It is estimated
that about 70% of the population worldwide has been infected with tinea pedis.Patient Mr. S 65 years old with a complaint
of red scaly patches accompanied by itching on both toes since 3 weeks ago. Individual factors that play a role in the form
of patients often wearing tight and closed shoes. From the physical examination, it was found that the picture of fungal
infection was in the form of reddish spots with scales on top with central healing and active margins. There are no factors
outside of work that contribute to the onset of symptoms. From these results, the occupational disease of Tinea pedis was
enforced due to the use of tight and closed shoes while working. The treatment given is in the form of medical and nonmedicamentous with the main focus to cure and prevent recurrence.
Keywords: Athelete’s foot, occupational disease, tinea pedis",R1,"MEDULA, medicalprofession journal of lampung university",2021-04-01,"Athelete’s foot, occupational disease, tinea pedis"
FK1,Perbedaan Derajat Kecemasan Antara Mahasiswa Tahap Akademik Tingkat Awal dengan Tingkat Akhir di Fakultas Kedokteran Universitas Lampung,"Kecemasan timbul akibat adanya respon terhadap kondisi stres atau konflik. Kecemasan sangat mengganggu homeostasis dan fungsi individu. Hal ini biasa terjadi dimana seseorang mengalami perubahan situasi dalam hidupnya dan dituntut untuk mampu beradaptasi. Kecemasan akrab sekali dengan kehidupan manusia yang melukiskan kekhawatiran, kegelisahan, ketakutan dan rasa tidak tentram yang biasanya dihubungkan dengan ancaman bahaya baik dari dalam maupun dari luar individu.karena itu perlu segera dihilangkan dengan berbagai macam cara penyesuaian. Mahasiswa dalam kegiatannya juga tidak terlepas dari kecemasan. Penyebab kecemasan pada mahasiswa dapat bersumber dari kehidupan akademiknya, terutama dari tuntutan eksternal dan tuntutan dari harapannya sendiri. Tuntutan eksternal dapat bersumber dari tugas-tugas kuliah, beban pelajaran, tuntutan orang tua untuk berhasil di kuliahnya dan penyesuaian sosial di lingkungan kampusnya. Kecemasan mempengaruhi hasil belajar mahasiswa, karena kecemasan cenderung menghasilkan kebingungan dan distorsi persepsi. Penelitian ini bertujuan untuk mengetahui perbedaan derajat kecemasan antara mahasiswa tahap akademik tingkat awal dengan tingkat akhir di Fakultas Kedokteran Universitas Lampung. Sampel diminta untuk mengisi kuesioner kecemasan HARS dan data dilakukan uji analisis menggunakan uji T tidak berpasangan. Terdapat perbedaan derajat kecemasan yang signifikan antara mahasiswa tahap akademik tingkat akhir dan awal di Fakultas Kedokteran Universitas Lampung. Mahasiswa kedokteran rentan terhadap kecemasan. Kecemasan ini bisa muncul pada berbagai tahapan kuliah di dalam pendidikan kedokteran. Sehingga penting untuk meneliti tentang perbedaan derajat kecemasan antara mahasiswa tahap akademik tingkat awal dengan tingkat akhir di Fakultas Kedokteran Universitas Lampung.
Kata kunci: Kecemasan, mahasiswa kedokteran, tingkat awal, tingkat akhir",R1,Jurnal Medula,2019-07,
FK1,Bukti Korespondensi Jurnal :  Factors Affecting Quality of Life in Hemodialysis Patients,,R1,,,
FK1,Bukti Korespondensi Jurnal : The Association between the Activin A Serum Level and CarotidIntima-Media Thickness in Chronic Kidney Disease Patients,,R1,,,
FK1,Peer Review : Barriers to Blood Pressure Control and Treatment Adherence in Hypertensive Management An Observational Study in Resource-Poor Setting Hospital,,"R1, RC",,,
FK1,Peer Review : Faktor Risiko Anemia pada Penderita HIVAIDS dengan Terapi Zidovudin di Rumah Sakit Umum Abdul Moeloek Periode November 2015,,R1,,,
,Peer Review : Hipertensi sebagai faktor pencetus terjadinya stroke,,R1,,,
FK1,Peer Review : Pengaruh Komorbid terhadap Terjadinya Bakterimia MDR Gram Negatif pada Pasien Rawat Inap,,"R1, RS",,,
FK1,Peer Review : Pengaruh Konsumsi Kafein pada Sistem Kardiovaskular,,R1,,,
FK1,Peer Review : Relationship Between Serum Phosphate Levels And Carotid Intima Media Thickness In Hemodialysis Patients,,R1,,,
FK1,Peer Review : Risk Factors Of Anemia In HivAids Patients With Zidovudine Therapy,,R1,,,
FK1,Peer Review : Risk factors of MDR Gram negative bacteremia among hospitalized patients,,R1,,,
,Peer Review : Secondary Glomerulonephritis due to Non-Hodgkin Lymphoma Case Report and Literature Review,,R1,,,
FK1,Peer Review : The Association between the Activin A Serum Level and CarotidIntima-Media Thickness in Chronic Kidney Disease Patients,,R1,,,
FK1,"KARAKTERISTIK, MEKANISME AKSI, DAN EFIKASI VAKSIN DALAM VAKSINASI GLOBAL PANDEMI COVID-19","This review considers vaccines developed against SARS-CoV-2 in the period of the Covid-19 pandemic. In this search, we will discuss the mechanism of action of each vaccine as well as its efficacy and safety. Four vaccines are currently in common use in various countries: Pfizer-BioNTech (USA), Moderna (USA), Astra-Zeneca (UK), and Janssen Johnson & Johnson (USA). In addition, there are two vaccines that are only used by a few countries: Novavax (USA) and SInovax (China) for which data are not widely studied. Pfizer and Moderna's efficacy for preventing disease or severe illness was 95–87.5% and 94.5–100%, respectively. The efficacy of Astra-Zeneca and Janssen Johnson & Johnson are around 70% and 57-72%, respectively. Meanwhile, Sinovax and Novavax vaccines have efficacy of about 65-90% and 60-89.7%, respectively, for prevention against Covid-19. The vaccination strategy is based on accelerating the administration of vaccines, so that as many subjects as possible can be vaccinated quickly to achieve herd immunity.",R1,Jurnal Ilmu Kedokteran Dan Kesehatan,2022-06-30,
