division,title,abstract,subjects,publication,date,keywords
FKIP15,"Heavy metals concentration in green macroalgae
Spirogyra sp. of Way Ratai River Pesawaran
Regency Lampung","The Way Ratai River was affected by heavy metals due to gold and tailings processing
activities. Certain metals in high concentrations will be dangerous if found in the environment,
including the organisms in them, such as Spirogyra sp. Sampling was carried out at 4 observation
stations around the Way Ratai River, and this research was conducted in November 2020 –
February 2021. Analysis of metal content was performed by using the ICP-OES. The results
showed that the heavy metal content in Spirogyra sp. namely, Ag, Cd, Cr, Cu, Fe, Mn, Ni, Pb,
Zn of station A, B, C were above the predetermined quality standards, but Co content was
undetectable. In river water, the content of heavy metals Ag in station A, Cu in all stations, Cd and Fe at in station B-D, Pb in station C, Mn and Zn in station D have exceeded the river water quality standards PP RI No. 22/2021 and ANZECC & ARMCANS 2000. Based on calculating bioconcentration factor (BCF) of heavy metals in Spirogyra sp, accumulation of heavy metals was in high to very high category with the highest BCF value of 159381.643 found for heavy metal Mn at station A.","QD, RA",,2022,
FK1,"Hubungan Pengetahuan Ibu, Sikap dan Perilaku terhadap Status Gizi Balita pada Komunitas Nelayan di Kota Karang Raya Teluk Betung Timur Bandar Lampung","Status gizi merupakan prediktor kualitas sumber daya manusia di masa depan. Beberapa faktor yang mempengaruhi status
gizi balita yaitu pendidikan, pengetahuan, pekerjaan ibu, sosial ekonomi, pendapatan keluarga, dan jumlah anggota
keluarga. Penelitian ini bertujuan mengetahui hubungan pengetahuan, sikap, dan perilaku gizi ibu terhadap status gizi balita. Penelitian ini adalah analitik observasional dengan pendekatan cross-sectional. Jumlah sampel dalam penelitian ini yaitu 128 ibu dan balitanya yang berusia 6-24 bulan. Pengumpulan data melalui wawancara menggunakan kuesioner. Untuk mengetahui pengaruh antar variabel menggunakan uji regresi logistik. Hasilnya terdapat hubungan pengetahuan gizi ibu (p=0,000), sikap gizi ibu (p=0,000), dan perilaku gizi ibu (p=0,01) terhadap status gizi balita. Sikap gizi ibu merupakan faktor yang paling berpengaruh terhadap status gizi balita (OR=0,161). 
Kata kunci: Pengetahuan gizi ibu, perilaku gizi ibu, sikap gizi ibu, status gizi balita",RA,Majority,2015-06,
FMIPA2,Belajar enzim dari rumah;Penguatan Pembelajaran Berbasis Praktikum Pada Guru Di Sekolah Menengah Atas Kabupaten Tulangbawang,"Learning  from  Home  during  the  Covid-19  pandemic  is  a challenge in carrying out the learning process. Practical activities often have to be canceled. Laboratory exercises are an alternative for students learning to  understand  the  concept  material  had  taughtbetter.  Enzyme  practice experiences  with materialconstraints  and  the  use  of  instructional  media  to evaluate  Biological  exercises  in  High  Schools  are  the  reasons  for  holding this  devotion.  The  training  method  begins  with  a  preparation  consist  of  an analysis  of  the  partner's  situation,  program  implementation  permits,  and activity  design.  It  was  delivered  using  discourse,  discussion,  and  question-answer  methods.  Enzyme  test  practice  utilizing  basic  materials  obtained from  the  surrounding  environment.  The  evaluation  of  the  training  had conducted using Kahoot learning media. Through this training, teachers can develop enzyme materials obtained by students from around their respective homes.  Practical  material  becomes  more  diverse  because  it  had  developed with  factors  that  affect  the  performance  of  enzymes.  Educators  are  more familiar  with  the  Kahoot  application.  Teachers  also  can  use  the  Kahoot application  as  a  practicum-based  learning  evaluation  medium.  Teachers' creativity to deal with learning obstacles experienced expected to grow","L1, Q1, RA, RA0421",Jurnal ABDINUS : Jurnal Pengabdian Nusantara,,
FK1,The Effect of Kemuning Leaves (Murraya Paniculata (L.) Jack) Infusion on SGOT and SGPT Enzym Activities in Obese Patients,"Obesity or excess body weight may cause fatty liver that can be diagnosed by the increase of SGOT and SGPT enzymes activity. Kemuning leaves, not only act as antiobesity, but also act as hepatoprotecor from its content of flavonoid which act as an antioxidant to liver cells. The aim of this research is to know the effect of kemuning leaves (Murraya paniculata (L.) Jack) infusion to SGOT and SGPT enzymes activity in obese patients.This study used 15 obese male aged 25-50 years as participants. The patients was given a 250 mL kemuning leaves infusion treatment twice a day after meal for 15 days. SGOT and SGPT enzymes serum level of participants were measured and compared before and after consumption of kemuning leaves infusion. The average value of SGOT pretest is 35,87 U/l, SGPT 41,20 U/l, and postest SGOT 25,47 U/l, SGPT 31,67 U/l with Paired T test bivariate analysis of SGOT p=0,011 and SGPT p=0,032. Kemuning leaves infusion could decrease SGOT and SGPT enzymes activity in obese patients.

Keywords:

Infusion; kemuning leaves; murraya paniculata; obesity; SGOT; SGPT","RA, RC",Biomedical & Pharmacology Journal,2017-09,
FMIPA2,Wawasan Perilaku Hidup Bersih dan Sehat (PHBS) di Masa Kenormalan Baru dalam Upaya Mencegah Penyebaran Covid-19 di Lingkungan Sekolah,"The Indonesian government has long supported educational institutions to provide clean and healthy living habits through the Ministry of Health. However, clean and healthy living habits in schools seem to be increasingly important nowadays, because in the new normal era of the corona virus pandemic, children will soon return to school. Schools must maintain a clean and healthy lifestyle by involving teachers, students, and the community in the school environment and following certain health-related procedures. The school environment also needs to be made clean and healthy. The benefit of maintaining a clean and healthy lifestyle at school is to create a clean and healthy environment. In this way, the teaching process will run smoothly, and the health of teachers, students and the surrounding community will not be disturbed. Education on clean and healthy living habits is packaged in a national seminar in collaboration with SMA Negeri 19 Surabaya on Sunday, March 28, 2021. This activity is carried out in the form of lectures with the help of power points, through a zoom meeting platform which is also broadcast live on Youtube. The material presented includes three things with the author himself as the resource person and moderator of the event. The three materials are about Covid-19 and its development, the Covid-19 vaccine and its effectiveness, and the application of clean and healthy living habits in an effort to fight Covid-19. As for the participants, students from SD, SMP, and SMA with a total of 78 people and general participants reaching 11 people. This service is carried out independently and is carried out well in accordance with the objectives expected by the executor.","QR, QR355, RA, RA0421",Mitra Mahajana: Jurnal Pengabdian Masyarakat,,
FP12,"Similiratity checker of paper entitle :""ANALYSIS OF THE INFLUENCE OF NUTRITIONAL STATUS VARIABLES AND 
ENVIRONMENTAL SANITATION ON THE EVENT OF DIARRHOUS TO CHILDREN""",Abstract,"GE, RA",,,
FMIPA2,"PROVISION OF LOW-DOSE PROPRANOLOL IN PATIENTS WITH ACUTE ISCHEMIC STROKE AGAINST THE LEVELS OF TNF-Α, IL-10, AND THE RATIO OF TNF-Α / IL-10 AT “ABDUL MOELOEK” GENERAL HOSPITAL, BANDAR LAMPUNG, INDONESIA","ABSTRACT
Brain and the immune system are linked through sympathetic, parasympathetic nervous system and HPA axis. Relationship between brain and immune system is thought to be through molecules secreted by the necrotic brain tissues. Immune system alterations in ischemic stroke can be seen with the presence of lymphopenia, immediate increment and followed by decrement of proinflammatory cytokines (TNF-α) and elevated anti-inflammatory cytokines (IL-10). According to animal study, this condition can be controlled by giving propranolol. The aim of this study was to demonstrate the effect of 2x10 mg propranolol on TNF-α, IL-10, and TNF-α/IL-10 ratio in acute ischemic stroke patients with lymphopenia. This is an experimental research with pretest-postest match control group study design. Samples used in this study were 40 ischemic stroke patients with lymphopenia. The study was conducted in “Abdul Moeloek” General Hospital, Bandar Lampung, Indonesia from July, 2016 to February, 2017. Patients were divided into 2 groups; ischemic stroke group without propranolol, and ischemic stroke group with propranolol. TNF-α and IL-10 levels were examined by ELISA. The results showed that reduction of in TNF-α levels in the group treated with propranolol was lower (p=0.221). IL-10 levels increased in the group without propranolol (p=0.547). TNF-α/IL-10 ratio in the group with propranolol was higher (p=0.053). Ischemic stroke affects the patient's immune system that show in alteration of TNF-α,IL-10 levels and ratio of TNFα/IL-10. Provision of propranolol 2x10 mg increase TNF-α level, decrease IL-10 level and inrease ratio TNFα/IL-10, but not significant statistically.
KEYWORDS: Ischemic Stroke, Propranolol, IL-10,TNF-α, TNF-α/IL-10 Ratio.",RA,WJPLS,2018-01-01,
,"Penatalaksanaan Holistik TB Paru Alergi OAT, Diabetes Melitus 
Tipe 2 dan Obesitas Derajat I pada Wanita Usia 54 Tahun 
 melalui Pendekatan Kedokteran Keluarga",,"RA, RA0421",,,
FP5,Bukti Menerima Hibah Penelitian Total Rp100 juta lebih,Kontrak Skema Penelitian Multisdisiplin 2022 dan Penelitian Pascasarjana 2021  Samsul Bakri,"GE, H1, RA, SD",,2023,
FP5,"HKI Prosedur Penetapan Nilai Ekonomi Jasa Lingkungan Hutan Rakyat SebagaiKompensasi Dalam Penurunan Kejadian Penyakit Pneumonia
Di Bawah SkenarioPemanasan Global","Penggunaan citra satelit Landsat untuk mendapatkan data perubahan land use (hutan rakyat, hutan negara, land terbuka, pertanian campuran, urbanisme wilayah) secara time series. Data ini disertai dengan data perubahan temperatur udara digunakan untuk membuat model linear dengan kejadian penyakit pneumonia dengan menggunakan Minitab.  Besarnya parameter model digunakan dari hutan rakyat bersama peningkatan suhu udara digunakan untuk memprediksi besarnya kejadi penyakit pneumunian.  Besarnya biaya perawatan kejadian penyakit penumonia ini sebagai ukuran jasa lingkungan yang harus disediakan untuk reforestasi di hutan rakyat, yang merupakan proksi dari nilai ekonomi hutan rakyat tersebut.","GE, HJ, RA, SD",,2021-11-11,
