division,title,abstract,subjects,publication,date,keywords
FK1,PENGARUH FAKTOR USIA IBU HAMIL TERHADAP JENIS PERSALINAN DI RSUD DR. H. ABDUL MOELOEK PROVINSI LAMPUNG,,"RA, RA1001",MAYFEB Journal of Agricultural Science,,
FK1,Morbidity Analysis Based on Area,"Purpose: The purpose of this study was to determine the distribution pattern of morbidity and its determinants. 
Research Methodology: The methode that used in this study is spatial analysis, the data can be updated through enumerators of health workers.
Result: The distribution pattern of morbidity in Pringsewu District is almost evenly distributed in each sub-district, the pattern occurs in the area with number of densely populated settlements and in areas that have rice fields. Then the pattern of distribution of the relationship between cases and determinants is the same as the pattern of morbidity, the location of health facilities organized by the local government, this condition is very reasonable because the surrounding community is currently more comfortable to be treated in the main and auxiliary health center services.
Limitation: Coordinate data using applications found on Android Contribution: Where this study can be useful for Pringsewu Regency in the field of public health sciences.

Keywords: spatial, morbidity, sub-district",RA1001,ICAMs,,"spatial, morbidity, sub-district"
FK1,Policy of Lampung Province Regional Budget Policy on Improving Performance of Health Fields: Lower Nutrition And Low Birth Weight Loss,"Toddler children are a nutrition-prone group. so that if the nutritional intake is not as needed.
Malnutrition in all its forms brings large direct and indirect costs to individuals. family and all countries.
The purpose of this study is the relationship between the structure of the Lampung Province budget and
the incidence of malnutrition and low birth weight during the last ten years. This study method uses a method of analyzing literature and documents, by comparing the regional budget with the incidence of malnutrition and LBW and accompanied by a graph of linear equations.The effect of the financing provided by the Lampung Regional Government in the form of the annual budget and regional income in Lampung Province over the past 9 years against the incidence of malnutrition and LBW has an impact on the decline in incidence. Decrease in malnutrition 7 toddlers per 1,000,000 toddlers and LBW decreased by 4 per 100,000 from the incident with the addition of 1 million rupiah.
Keywords: budget; low birth weight; malnutrition",RA1001,"Jurnal Niara Vol. 12, No. 2 Januari 2020",2020-12-04,budget; low birth weight; malnutrition
FK1,"Food Security And Household Expenditure 
Impact On Nutritional Status On Pregnancy: A 
Cross Sectional Study In Rural Area","Purpose:This study was aimed to analyze the correlation of food security status and 
household food expenditure to nutritional status on pregnant women.
Research Methodology:This study was an observational study with crossectional design, 
conducted in PuskesmasWonosobo, Lampung Province, Indonesia on May 2020 -
Augustus 2020. All of pregnant women who get Antenatal Care (ANC) on Puskesmas were 
carried out as samples. Food security status and household food expenditure data were 
measure by anamnesis and questionnaire. Nutritional status was asses by mid-upper arm 
circumference (MUAC) of pregnant women. Data was collected and then analyzed using 
SPSS 21 application. 
Results:A total of 53 pregnant women, with age distribution on range of <18 years &>35 
years (20 women) and 20-35 years (33 women) were analyzed in this study. Statistical 
analysis (Chi-Square) show the pregnant womens in malnutrition status with food 
insecurity were 3 women (75%) while pregnant women in good nutrition status with food 
insecurity only 3 women (6.1%) (p = 0.003). Correlation between house hold expenditure to 
nutritional status was analyzed by chi-square test, the result show all of pregnant women in 
malnutrition status (4 women) have lower house hold expenditure (p = 0.001).
Conclusion:This study clearly shows that more food security and level of household food 
expenditure will affect on nutritional status of pregnant women.",RA1001,European Journal of Molecular & Clinical Medicine,2020-12,
,"HUBUNGAN DRIVING FORCES, PRESSURE, STATE, EXPOSURES, HEALTH EFFECTS, ACTION (DPSEEA) DALAM LINGKUP HEALTH IMPACT ASSESSMENT (HIA)",,RA1001,JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,,
,"Intoxication After Paraquat Herbicide Ingestion in Farmer, 56 Years Old",,RA1001,"MEDULA, medicalprofession journal of lampung university",,
,"Penatalaksanaan Penyakit Tuberkulosis dengan Diabetes Melitus pada
Wanita Usia 64 Tahun Melalui Pendekatan Kedokteran Keluarga","Kelompok lanjut usia termasuk dalam populasi rentan karena terjadinya proses penurunan kemampuan untuk
menghindarkan diri dari penyakit dan paparan faktor risiko terjadinya penyakit kronis seperti Diabetes Melitus (DM). DM
dapat meningkatkan risiko terjadinya infeksi tuberkulosis (TB) tiga kali lebih besar dibanding populasi normal, dan juga
dapat meningkatkan risiko reaktivasi TB dan TB laten. Studi yang dilakukan adalah case report. Case report ini bertujuan
untuk melakukan penerapan pelayanan dokter keluarga berbasis evidence based medicine pada pasien dengan
mengidentifikasi faktor risiko, masalah klinis, serta penatalaksanaan dengan pendekatan patient centred dan family
approach. Data primer diperoleh melalui anamnesis dan pemeriksaan fisik dengan melakukan kunjungan rumah, mengisi
family folder, dan mengisi berkas pasien.",RA1001,JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,,
,Penatalaksanaan Penyakit Tuberkulosis dengan Diabetes Melitus pada Wanita Usia 64 Tahun Melalui Pendekatan Kedokteran Keluarga,"Kelompok lanjut usia termasuk dalam populasi rentan karena terjadinya proses penurunan kemampuan untuk
menghindarkan diri dari penyakit dan paparan faktor risiko terjadinya penyakit kronis seperti Diabetes Melitus (DM). DM
dapat meningkatkan risiko terjadinya infeksi tuberkulosis (TB) tiga kali lebih besar dibanding populasi normal, dan juga
dapat meningkatkan risiko reaktivasi TB dan TB laten. Studi yang dilakukan adalah case report. Case report ini bertujuan
untuk melakukan penerapan pelayanan dokter keluarga berbasis evidence based medicine pada pasien dengan
mengidentifikasi faktor risiko, masalah klinis, serta penatalaksanaan dengan pendekatan patient centred dan family
approach. Data primer diperoleh melalui anamnesis dan pemeriksaan fisik dengan melakukan kunjungan rumah, mengisi
family folder, dan mengisi berkas pasien.",RA1001,"MEDULA, medicalprofession journal of lampung university",,
,SYSTEMATIC CAUSE ANALYSIS TECHNIQUE,,RA1001,JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,,
,TOTAL RECORDABLE INJURY AND INCIDENT RATE,,RA1001,JKUnila,,
