division,title,abstract,subjects,publication,date,keywords
FMIPA2,"UJI EFEKTIVITAS SKABISIDA EKSTRAK ETANOL DAUN SIRIH (Piper betle L.)
SECARA IN VIVO TERHADAP TUNGAU Sarcoptes scabiei PADA MARMUT (Cavia porcellus)","Effectiveness Test of Scabiside Ethanol Extract of Betel Leaf (Piper
betle L.) in vivo against Sarcoptes scabiei Mites in Guinea Pigs (Cavia
porcellus). Unhealthy marmot environment is one of the factors that can cause
disease. One such disease is known as scabies. Scabies is caused by Sarcoptes scabiei
mites that attack animals, especially on the skin. The aim of the study was to determine
the effectiveness of ethanol extract of betel leaf (Piper betle L.) ethanol extract in vivo
against S. scabiei mites in guinea pigs (Cavia porcellus). This research was conducted in
October - November 2019. Sample examination, treatment and observation were
carried out in the Zoology Laboratory of the Faculty of Mathematics and Natural
Sciences while the making of betel leaf extract was carried out at the Botany Laboratory
of the Faculty of Mathematics and Natural Sciences. The method used in this research is
an experimental method with RAL (Complete Randomized Design) experiments. For
scabies sample selection, microscopic examination of skin samples is carried out on
guinea pigs showing clinical symptoms of scabies to confirm the presence of S. scabiei
mites. The samples used were 27 marmot scabs which were relatively the same. In this
study were divided into 3 treatments, namely positive control, negative control, and
administration of 100% betel leaf extract. Data obtained were analyzed using One Way
ANOVA and the results obtained p = 0,001 which showed a significant reduction in the
wide of the scab. Then proceed with the LSD test (Least Significance Different). Based
on the results and discussion, it was concluded that the administration of betel leaf
ethanol extract (Piper betle L.) in vivo to Sarcoptes scabiei mites in guinea pigs (Cavia
porcellus) had the highest effectiveness as scabidae compared to 0.5% NaCMC.",RB,Jurnal Medika Malahayati,2020-04,
FK1,Correlation of ALT/AST and Bilirubin Levels in Hepatitis C Patients at Internal Medicine Department of Dr. H Abdul Moeloek Lampung Province along January - December 2014,"Hepatitis C is a disease that can be contagious inflammation of the liver caused by the hepatitis C virus. Viral hepatitis consists of five types of hepatitis such as hepatitis A, hepatitis B, hepatitis C, hepatitis D, and hepatitis E. This disease become a mayor problem in Indonesia. Therapy of hepatitis C virus in Indonesia by providing antivirus and pegilated interferon. Alanine
Aminotransferase/Aspartate Aminotransferase (ALT/AST) and bilirubin are products of the liver which in case of liver damage, there will be the result in abnormalities in liver enzymes and bilirubin. This study aimed to determine the effect of increased levels of ALT/AST with total bilirubin levels in hepatitis C patients at Internal Medicine Department of Dr. H Abdul Moeloek Lampung Province from January to December 2014. The result showed that when there is an increased bilirubin levels so liver enzymes will be increased too. But increased liver enzymes and bilirubin levels do not specify that individual is infected by
hepatitis C.

Keywords: ALT/AST, bilirubin, hepatitis C.",RB,Majority,2015,"ALT/AST, bilirubin, hepatitis C."
FK1,Effects of Dietary Fiber to Cholesterol Level on Overweight Patients,"Overweight incidence in worldwide is tend to increase, including in Indonesia. It happens because change of lifestyle of Indonesian people. Overweight is influenced by consumption factor, sedentary life, genetic and social determinant such as family economy. Overweight that can lead to obesity could create diseases such as metabolic syndrome, type 2 diabetes mellitus, atherosclerosis, coronary heart disease and cancer. Lots of medications for obesity with hypercholesterolemia have been found, but if this condition is treated just in curative side, it still could create serious health problems. One of the effort that we can do is modify consumption factors as risk factor with increase fibrous food. Dietary fiber is a form of complex carbohydrate which commonly get from plants. In common, dietary fiber, like lignin, inulin and B-glucan can help to lower blood cholesterol level by ensnare the fat in intestine and bind bile acids and increase the excretion of bile acids to stool.
Keywords: cholesterol, dietary fiber, HDL (High Density Lipoprotein), LDL(Low Density Lipoprotein) , obesity, overweight",RB,Majority,2015,"cholesterol, dietary fiber, HDL (High Density Lipoprotein), LDL(Low Density Lipoprotein) , obesity, overweight"
FK1,Perbedaan Jumlah Neutrofil Pre dan Post Hemodialisis Pasien Penyakit Ginjal Kronik (PGK) di RSUD Dr. H. Abdul Moeloek Provinsi Lampung,"Abstrak
Penyakitginjalkronik(PGK)adalahsuatupenyakityangditandaidenganadanya kerusakanpadastrukturataufungsiginjal yang berlangsung ≥3 bulan dengan atau tanpa disertai penurunan laju filtrasiginjal (LFG). Penyakit ginjal kronissudah pada tahapterminal(LFG≤15ml/menit/1,73m2)dibutuhkantatalaksanaberupahemodialisisatautransplantasi ginjal. Terapi hemodialisispadapasienPGKternyataberdampakpadapenurunanrespon imun. Penurunan respon imun tersebut ditandai dengan adanya penurunan rerata jumlah neutrofil pada 15 menit pertama saat hemodialisis berlangsung.Pengambilandatapadapenelitianinimenggunakanpendekatancrossectional dan consecutive sampling sebagaiteknikpengambilansampelnya.Desainpenelitianiniadalahdeskriptif-analitik yang melibatkan 36 responden paisen PGKyangmenjalaniterapihemodialisis.Padapenelitian inididapatkan hasilpenurunanreratajumlahneutrofilpost hemodialisissebesar15sel/mm3.Namunperbedaanreratajumlahneutrofiltersebutmenunjukkanperbedaanyang tidak bermaknadenganp=0,582(p>0,05).Penelitimendugaperbedaanreratajumlahneutrofiltersebuttidakbermakna karena pengambilandarahposthemodialisisdilakukansaat10menitsebelumhemodialisis selesai. Penurunan rerata kadar neutrofilyangsignifikanhanyaterjadisaat15menitawalhemodialisisberlangsungdan akan kembalinormalsetelah 30-60 menitselanjutnya.padapenelitianinidapatdisimpulkanbahwatidakterdapatperbedaanreratajumlahneutrofil pre dan post hemodialisis pada pasien penyakit ginjal kronik.
Kata kunci: Hemodialisis, Neutrofil, Penyakit ginjal kronik.","R1, RB, RC","MEDULA, medicalprofession journal of lampung university",2019-02,
,"Hubungan Hasil Pemeriksaan Antigen Non Struktural 1 (NS1) terhadap Gejala, Tanda Klinis dan Jumlah Trombosit pada Pasien Suspek Infeksi Dengue di RS Urip Sumoharjo","Hubungan Hasil Pemeriksaan Antigen Non Struktural 1 (NS1) terhadap Gejala, Tanda Klinis dan Jumlah Trombosit pada Pasien Suspek Infeksi Dengue di RS Urip Sumoharjo
Ety Apriliana1, Agustyas Tjiptaningrum2, Muhamad Jyuldi Prayoga3
1Bagian Mikrobiologi dan Parasitologi, Fakultas Kedokteran, Universitas Lampung 2Bagian Patologi Klinik, Fakultas Kedokteran, Universitas Lampung 3Fakultas Kedokteran, Universitas Lampung
Abstrak
Penegakkan diagnosis infeksi dengue sejak dini sangat penting. Pemeriksaan antigen non struktural-1 dengue (NS1) dapat mendeteksi infeksi virus dengue lebih awal. Akan tetapi, tidak semua pusat layanan kesehatan, memiliki fasilitas laboratorium yang memadai untuk pemeriksaan NS1. Hitung trombosit dan gejala atau tanda klinis merupakan indikator yang menjadi dasar diagnosis pada pusat layanan kesehatan dengan fasilitas yang terbatas. Tujuan penelitian ini adalah untuk mengetahui hubungan hasil pemeriksaan antigen NS1 terhadap gejala, tanda klinis dan jumlah trombosit pada pasien suspek infeksi dengue. Penelitian ini menggunakan metode analitik observasional dengan pendekatan cross sectional. Penelitian dilakukan di Laboratorium Patologi Klinik dan Ruang Rawat Inap Rumah Sakit Urip Sumoharjo pada bulan Oktober-November tahun 2016. Jumlah sampel penelitian 30 orang. Pemeriksaan antigen NS1 dilakukan menggunakan metode rapid immunochromatography test. Pemeriksaan trombosit dilakukan menggunakan hemanalizer. Gejala dan tanda klinis pasien didapatkan dari rekam medis pasien. Uji fisher’s exact mengenai hubungan antara hasil pemeriksaan NS1 terhadap jumlah trombosit didapatkan p value sebesar 0,031 dan hubungan antara hasil pemeriksaan antigen NS1 terhadap gejala dan tanda klinis didapatkan p value 0,115. Terdapat hubungan yang bermakna antara hasil pemeriksaan antigen NS1 terhadap jumlah trombosit, namun tidak ada hubungan antara hasil pemeriksaan NS1 terhadap gejala dan tanda klinis pada pasien dengue.
Kata kunci: dengue, NS1, trombosit","R1, RB, RC",journal agromedicine unila,2019-06,
FK1,Laki-laki 35 tahun dengan lepra multi basiler dan reaksi lepra tipe II (erythema nodosum leprosum),"Penyakit kusta merupakan penyakit granulomatosa kronis yang disebabkan oleh Mycobacterium leprae yang menyerang saraf tepi, selanjutnya dapat menyerang kulit, mukosa, saluran pernapasan bagian atas, sistem retikuloendotelial, mata, otot, tulang dan testis.Reaksi kusta tipe II atau Erythema Nodusum Leprosum terjadi pada penderita tipe (Multi Basiler) MB dan merupakan reaksi humoral yang sebagai kumpulan nodul merah, maka disebut sebagai Erythema Nodusum Leprosum (ENL). Pasien laki-laki, usia 35 tahun, datang ke Rumah Sakit Provinsi dr. H. Abdoel Moeloek dengan keluhan muncul benjolan kemerahan yang muncul hampir di seluruh tubuh sejak 10 hari sebelum masuk Rumah Sakit (RS). Terdapat nodul eritem dan hiperpigmentasi, multipel, berukuran numuler, konfluen, menyebar generalisata, dominan pada wajah dan pars ekstensor ekstremitas, dilapisi skuama halus selapis berwarna putih. Dua bulan sebelum masuk RS, pasien berobat ke Puskesmas setempat dan didiagnosa dengan kusta tipe multi basiler sejak 2 bulan yang lalu dan mulai mengkonsumsi Multi Drug Therapy (MDT) rutin untuk penyakit kusta yang dideritanya. Pada pemeriksaan fisik didapatkan kesadaran compos mentis dan tampak sakit sedang, tekanan darah 130/80 mmHg, nadi 92x/menit, pernafasan 20x/menit, dan suhu badan axila 38,8˚C. Pasien dalam kasus ini diberikan terapi kortikosteroid dengan metylprednisolone injeksi intravena dengan dosis 62,5mg per hari yang di berikan setiap pagi.Pemberian kortikosteroid ini merujuk kepada guideline WHO untuk menangani ENL berat seperti tersebut diatas. Pada pasien juga diberikan terapi suportif berupa infus ringer laktat, keseimbangan cairan dievaluasi setiap 24 jam, parasetamol sebagai analgesik dan antipiretik, dan transfusi packed red cell untuk mengatasi anemia.

Kata kunci: erythema nodusum leprosum,kusta, lepra, morbus hansen, reaksi kusta tipe 2","RA0421, RB",Medula,2016,
FK1,The Relationship of Gymnastic Asthma Routinity to Lung Function At Asthma Patient,"Abstract
Lung disease is a health problem in Indonesia, one of them is asthma. WHO data showed 300 million people worldwide are
diagnosed with asthma, and is expected to increase to 400 million people in 2025. In asthma, there’s bronchiolus muscle spasms that cause the shortness of breath, difficulty in expiration, decreased lung capacity and weakened physical condition. Asthma treatment efforts have been implemented pharmacologically with drugs that are controller nor reliever.
Successful treatment of asthma should be supported from the physical factors such as physical exercise and education, one of the efforts is asthma gymnastic, it is necessary to reinforce the respiratory muscles. Lung function measurements used to assess airway obstruction, lung function abnormalities reversibiliti and lung function variability. Asthma is an reversible obstructive lung disease. The dominant clinical symptoms is a history of episodes the shortness of breath, especially at night
are often accompanied by a cough. One way to relieve the obstruction is doing some physical sports such as gymnastics
asthma. Gymnastics asthma is considered capable of reducing obstruction and increase the elasticity of bronchial and
respiratory muscles. It found that people who do gymnastics asthma were able to reduce the recurrence of asthma
exacerbation. Lung function results can be better if patients routinely doing gymnastics asthma.
Keywords: asthma, gymnastic asthma, lung function, shortness of breath, treatment",RB,Medical Journal of Lampung University,2015-12,"asthma, gymnastic asthma, lung function, shortness of breath, treatment"
FK1,"THE RELATION OF OBESITY WITH LDL AND HDL LEVEL AT PRECLINIC
STUDENT OF MEDICAL FACULTY  LAMPUNG UNIVERSITY 2013","Obesity   in   young   adult   is   relation   with   increase   risk   of cardiopulmanary   disease,
hypertension,  hypercholesterol,  diabetes  melitus,  and  metabolic  syndrome.  Forming  of aterosklerosis related to profil lipid in blood. Profil lipid is condition of blood lipid which can be reviewed from total cholesterol in blood, LDL, HDL, and Trigliserida. The purpose of this
research is to learn the relation between obesity with HDL and LDL level at Preclinic Student of Medical Faculty Lampung University 2013. This research used descriptive
- analitic method with cross  Sectional approach  with  amount  of  sample  is  60  people.
Based  on  this  research, the average of  HDL level is 38,26 mg/dl and LDL is 153,83 mg/dl. There is relation between obesity with HDL and LDL level, p value is <0,05.
Key word: HDL, LDL, obesity",RB,MAJORITY,2016-05-02,
FK1,Free Gluten and Free Casein Diet as Therapy for Autism Spectrum Disorder,"The increasing number of autism spectrum disorder (ASD) in Indonesia need attention. The number of ASD patient in Cipto
Mangunkusumo Hospital Jakarta only found 2 patient in 1989, but in 2000 the number of ASD patient increase up to 50
times to be 103 new patient. After that, new statistic said that 0,15% child receive special education under category of
autsm. ASD is a disturbance of communication, behavior, and social in children. A cause of ASD is still idiopathic, but there are multifactor such as genetic factor and environmental factor. An ASD child tends to be alone and they have their own life. Development disorder of ASD children generally appear before 3 years old, it can be difficult to have social relationship and communication to other people. ASD children known have a digestive enzyme disturbance that is sulfotrasnferase enzyme which is can cause the leak of intestinal wall so it can interference process of absorption in intestinal. The imperfect
protein such as gluten dan casein normally can not be absorbed by intestinal, but because there is deficeincy of
sulfotransferase enzyme it can make gluten and casein absorbed by intestine then go to blood circulation. Gluten and casein influence the behavior development of ASD children. Gluten and casein will occupy opioid receptor at central nervous system then it can trigger hyperactive behavior of ASD children. Therefore it require free gluten and free casein diet as therapy to reduce or even eliminate hyperactive behavior in ASD children.
Keywords: Autism spectrum disorder, casein, gluten","R1, RB",Majority,,"Autism spectrum disorder, casein, gluten"
FK1,Comparison Between Vo2 Max In Male Athlete Of Swim and Sprint Sport Branch At Preparation Of Province Sports Week in Bandar Lampung,"VO2 max are intimately connected with the activity of swim and sprint athletes. VO2 max is the
maximum amount of oxygen that can be used until the occurrence of muscle. The purpose of this
study was to compare the VO2 in sprint athletes and swim athletes at the preparation of Provincial
Sports Week in Bandar Lampung. The research design is a comparative analytical technique with
cross-sectional and total sampling technique. VO2 max were measured in athletes who are
undergoing training in Bandar Lampung Pahoman Stadium in January 2013.Sampel were 30
people from both sports, 15 athletes from swim sport and 15 athletes from sprint sport branch.
The measurement results obtained mean of the comparison of VO2 max in swim athletes is 52.39
ml / kg / min, sprint athletes is 41.44 ml / kg /min. Therefore obtained VO2 max value is higher in
the swim athletes than the sprint at athletes and. Conclusion, based on a statistically significant
difference with P = 0.000 between VO2 max values on swim athletes and sprint athletes.
Keywords: Sprints Sport, Swim, VO2 max",RB,Majority,2013,"Sprints Sport, Swim, VO2 max"
