division,title,abstract,subjects,publication,date,keywords
FK1,"Perbedaan Penyembuhan Hecting Wound Tikus Putih Jantan Sprague
Dawley dengan Wharton’s Jelly Dan D Gel","Pendahuluan; Luka post hecting adalah luka yang terjadi akibat tindakan 
medis, secara fisiologis tubuh akan mengalami proses penyembuhan 
luka. D gel merupakan gel yang mengandung siloxane cyclic dan 
vitamin C yang dapat digunakan untuk penyembuhan luka post hecting, 
tetapi salah satu pengobatan luka lain yang saat ini dapat digunakan 
adalah ekstrak sel punca mesenkimal tali pusat manusia (WJMSCs). 
Tujuan; mengetahui waktu perbedaan penyembuhan luka post hecting 
antara ekstrak WJMSCs dengan D gel. Metode; menggunakan penelitian 
eksperimental laboratorik yang menggunakan 21 ekor tikus putih jantan 
(Rattus novergicus) galur Sprague dawley yang dikelompokkan menjadi 
tiga kelompok perlakuan berbeda. Perlakuan dibagi atas kelompok K: 
kontrol negatif (povidone iodine), P1: ekstrak WJMSCs, dan P2: D gel. 
Pengamatan terhadap luka post hecting dilakukan selama 14 hari 
menggunakan kriteria Nagaoka dan data dianalisis menggunakan uji 
statistik deskriptif kategorik serta Kruskal-Wallis. Hasil; menunjukkan 
adanya perbedaan waktu penyembuhan luka post hecting antara ekstrak 
WJMSC dengan D gel secara bermakna dengan p value= 0,03, dengan 
waktu penyembuhan luka kelompok K: 12,7 hari, kelompok P1: 7 hari, 
dan kelompok P2: 11 hari. Kesimpulan; bahwa terdapat perbedaan 
bermakna penyembuhan luka post hecting antara ekstrak WJMSC 
dengan D gel","RC, RD","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Ilmiah Kesehatan Sandi Husada</font></font>",2021-09,
FK1,Peer Review : Barriers to Blood Pressure Control and Treatment Adherence in Hypertensive Management An Observational Study in Resource-Poor Setting Hospital,,"R1, RC",,,
,Peer Review : Factors Affecting Thickening of Carotid Intima Media Thickness in Patients with Chronic Kidney Disease,,RC,,,
FK1,Peer Review : The role of soluble urokinase-type Plasminogen Activator Receptor (suPAR) in Chronic Kidney Disease,,RC,,,
FK1,Perbedaan Jumlah Neutrofil Pre dan Post Hemodialisis Pasien Penyakit Ginjal Kronik (PGK) di RSUD Dr. H. Abdul Moeloek Provinsi Lampung,"Abstrak
Penyakitginjalkronik(PGK)adalahsuatupenyakityangditandaidenganadanya kerusakanpadastrukturataufungsiginjal yang berlangsung ≥3 bulan dengan atau tanpa disertai penurunan laju filtrasiginjal (LFG). Penyakit ginjal kronissudah pada tahapterminal(LFG≤15ml/menit/1,73m2)dibutuhkantatalaksanaberupahemodialisisatautransplantasi ginjal. Terapi hemodialisispadapasienPGKternyataberdampakpadapenurunanrespon imun. Penurunan respon imun tersebut ditandai dengan adanya penurunan rerata jumlah neutrofil pada 15 menit pertama saat hemodialisis berlangsung.Pengambilandatapadapenelitianinimenggunakanpendekatancrossectional dan consecutive sampling sebagaiteknikpengambilansampelnya.Desainpenelitianiniadalahdeskriptif-analitik yang melibatkan 36 responden paisen PGKyangmenjalaniterapihemodialisis.Padapenelitian inididapatkan hasilpenurunanreratajumlahneutrofilpost hemodialisissebesar15sel/mm3.Namunperbedaanreratajumlahneutrofiltersebutmenunjukkanperbedaanyang tidak bermaknadenganp=0,582(p>0,05).Penelitimendugaperbedaanreratajumlahneutrofiltersebuttidakbermakna karena pengambilandarahposthemodialisisdilakukansaat10menitsebelumhemodialisis selesai. Penurunan rerata kadar neutrofilyangsignifikanhanyaterjadisaat15menitawalhemodialisisberlangsungdan akan kembalinormalsetelah 30-60 menitselanjutnya.padapenelitianinidapatdisimpulkanbahwatidakterdapatperbedaanreratajumlahneutrofil pre dan post hemodialisis pada pasien penyakit ginjal kronik.
Kata kunci: Hemodialisis, Neutrofil, Penyakit ginjal kronik.","R1, RB, RC","MEDULA, medicalprofession journal of lampung university",2019-02,
,"Hubungan Hasil Pemeriksaan Antigen Non Struktural 1 (NS1) terhadap Gejala, Tanda Klinis dan Jumlah Trombosit pada Pasien Suspek Infeksi Dengue di RS Urip Sumoharjo","Hubungan Hasil Pemeriksaan Antigen Non Struktural 1 (NS1) terhadap Gejala, Tanda Klinis dan Jumlah Trombosit pada Pasien Suspek Infeksi Dengue di RS Urip Sumoharjo
Ety Apriliana1, Agustyas Tjiptaningrum2, Muhamad Jyuldi Prayoga3
1Bagian Mikrobiologi dan Parasitologi, Fakultas Kedokteran, Universitas Lampung 2Bagian Patologi Klinik, Fakultas Kedokteran, Universitas Lampung 3Fakultas Kedokteran, Universitas Lampung
Abstrak
Penegakkan diagnosis infeksi dengue sejak dini sangat penting. Pemeriksaan antigen non struktural-1 dengue (NS1) dapat mendeteksi infeksi virus dengue lebih awal. Akan tetapi, tidak semua pusat layanan kesehatan, memiliki fasilitas laboratorium yang memadai untuk pemeriksaan NS1. Hitung trombosit dan gejala atau tanda klinis merupakan indikator yang menjadi dasar diagnosis pada pusat layanan kesehatan dengan fasilitas yang terbatas. Tujuan penelitian ini adalah untuk mengetahui hubungan hasil pemeriksaan antigen NS1 terhadap gejala, tanda klinis dan jumlah trombosit pada pasien suspek infeksi dengue. Penelitian ini menggunakan metode analitik observasional dengan pendekatan cross sectional. Penelitian dilakukan di Laboratorium Patologi Klinik dan Ruang Rawat Inap Rumah Sakit Urip Sumoharjo pada bulan Oktober-November tahun 2016. Jumlah sampel penelitian 30 orang. Pemeriksaan antigen NS1 dilakukan menggunakan metode rapid immunochromatography test. Pemeriksaan trombosit dilakukan menggunakan hemanalizer. Gejala dan tanda klinis pasien didapatkan dari rekam medis pasien. Uji fisher’s exact mengenai hubungan antara hasil pemeriksaan NS1 terhadap jumlah trombosit didapatkan p value sebesar 0,031 dan hubungan antara hasil pemeriksaan antigen NS1 terhadap gejala dan tanda klinis didapatkan p value 0,115. Terdapat hubungan yang bermakna antara hasil pemeriksaan antigen NS1 terhadap jumlah trombosit, namun tidak ada hubungan antara hasil pemeriksaan NS1 terhadap gejala dan tanda klinis pada pasien dengue.
Kata kunci: dengue, NS1, trombosit","R1, RB, RC",journal agromedicine unila,2019-06,
FK1,The Effect of Kemuning Leaves (Murraya Paniculata (L.) Jack) Infusion on SGOT and SGPT Enzym Activities in Obese Patients,"Obesity or excess body weight may cause fatty liver that can be diagnosed by the increase of SGOT and SGPT enzymes activity. Kemuning leaves, not only act as antiobesity, but also act as hepatoprotecor from its content of flavonoid which act as an antioxidant to liver cells. The aim of this research is to know the effect of kemuning leaves (Murraya paniculata (L.) Jack) infusion to SGOT and SGPT enzymes activity in obese patients.This study used 15 obese male aged 25-50 years as participants. The patients was given a 250 mL kemuning leaves infusion treatment twice a day after meal for 15 days. SGOT and SGPT enzymes serum level of participants were measured and compared before and after consumption of kemuning leaves infusion. The average value of SGOT pretest is 35,87 U/l, SGPT 41,20 U/l, and postest SGOT 25,47 U/l, SGPT 31,67 U/l with Paired T test bivariate analysis of SGOT p=0,011 and SGPT p=0,032. Kemuning leaves infusion could decrease SGOT and SGPT enzymes activity in obese patients.

Keywords:

Infusion; kemuning leaves; murraya paniculata; obesity; SGOT; SGPT","RA, RC",Biomedical & Pharmacology Journal,2017-09,
FK1,Perbedaan Kadar Limfosit Pre dan Post Hemodialisis Pasien Gagal Ginjal Kronik,"Gagal  ginjal  kronik  adalah  suatu  kerusakan  pada  struktur  atau  fungsi  ginjal  yang  berlangsung  ≥  3  bulan  dengan  atau  tanpa 
disertai penurunan glomerular filtration rate (GFR).  Terapi yang digunakan pada pasien gagal ginjal kronik salah satunya adalah 
hemodialisis.    Hemodialisis  merupakan    metode  yang  paling  umum  digunakan  untuk  menangani  keadaan  ini.    Hemodialisis 
membersihkan  darah  melalui  suatu  filter  yang  membuang  zat  sisa  serta  kelebihan  cairan.    Hal  ini  juga  bertujuan  untuk mengontrol tekanan darah dan menjaga keseimbangan natrium-kalium dalam tubuh.  Pada pasien yang menjalani hemodialisis ditemukan  adanya  gangguan  sistem  imun  yang  dapat  meningkatkan  risiko  infeksi  sekunder.    Gangguan  ini  ditandai  dengan perubahan jumlah dan fungsi limfosit. Tujuan penelitian ini adalah untuk mengetahui perbedaan rerata kadar limfosit pre dan post hemodialisis pasien gagal ginjal kronik di RSUD Dr. H. Abdul Moeloek Provinsi Lampung tahun 2015. Desain penelitian ini adalah  deskriptif–analitik  komparatif  dengan  pendekatan  cross-sectional  yang  melibatkan  37  responden  pasien  gagal  ginjal kronik yang menjalani hemodialisis.Hasil penelitian menunjukkan bahwa rerata kadar limfosit mengalami penurunan sebesar 298  ±  350,35413  setelah  pasien  menjalani  hemodialisis.  Berdasarkan  hasil  tersebut,  disimpulkan  bahwa  terdapat  perbedaan rerata kadar limfosit pre dan post hemodialisis yang bermakna dengan nilai p 0,000 (p<0,05).",RC,"MEDULA, medicalprofession journal of lampung university",2017,
,"Ekstrak Metanol Daun dan Biji Api-api (Avicenia marina) serta Taurin 
Sebagai Supresor P53 pada  Sel HeLa Secara In -Vitro","ABSTRACT : Obesity is caused by dietary, environmental and genetic factors, with various complications capable of causing inflammation, insulin resistance, hypertension and type 2 diabetes mellitus (type 2 DM). However, peroxisome proliferator activator receptor γγ γγ γ (PPARγγ γγ γ) are genetic variations that influence type 2 DM. Therefore, this study aimed at determining the genetic variation of PPARγγ γγ γ2 gene in DM and non-DM obsessed patients using the analytic observation and cross sectional approaches. A total of 88 patients consisting of 44 type-2DM patients and non-DM patients were used to conduct this research. Microtoise and weight scales were the instruments used to measure the body mass index, while PPARγγ γγ γ2 gene examination used DNA isolation method with PCR. Furthermore, the electrophoresis and results of all samples in sequencing were used to determine the effect of PPARγγ γγ γ2 genes and statistical tests using Chi-Square analysis. The results of statistical tests on the PPARγγ γγ γ2 polymorphism genotype in the DM group were found to be 100% Pro12pro, while the ala12ala and pro12ala contained no genotype. The control group found 84.1% pro12pro wild type genotype, 13.6% pro12ala and 2.3% ala12ala. BMI statistical test results obtained p = 0,000, αα αα α = 5%, therefore, there is a significant relationship between BMI in type 2 DM patients with the control group. Based on the results of the study it is concluded that the variation of PPARγγ γγ γ2 Pro12pro gene and body mass index obesity have a significant relationship with people living with type 2 diabetes.
Key words : Body mass index, diabetes mellitus type-2, insulin resistance.","R1, RA, RC",BIOCHEMICAL AND CELLULAR ARCHIVES,2019-12,
FK1,"Peer Review : Influence Of Diabetes Melitus, Bmi, And Hba1c In High Grade Prostate Cancer",,"R1, RC",,2018,
