division,title,abstract,subjects,publication,date,keywords
FK1,"Perbedaan Penyembuhan Hecting Wound Tikus Putih Jantan Sprague
Dawley dengan Wharton’s Jelly Dan D Gel","Pendahuluan; Luka post hecting adalah luka yang terjadi akibat tindakan 
medis, secara fisiologis tubuh akan mengalami proses penyembuhan 
luka. D gel merupakan gel yang mengandung siloxane cyclic dan 
vitamin C yang dapat digunakan untuk penyembuhan luka post hecting, 
tetapi salah satu pengobatan luka lain yang saat ini dapat digunakan 
adalah ekstrak sel punca mesenkimal tali pusat manusia (WJMSCs). 
Tujuan; mengetahui waktu perbedaan penyembuhan luka post hecting 
antara ekstrak WJMSCs dengan D gel. Metode; menggunakan penelitian 
eksperimental laboratorik yang menggunakan 21 ekor tikus putih jantan 
(Rattus novergicus) galur Sprague dawley yang dikelompokkan menjadi 
tiga kelompok perlakuan berbeda. Perlakuan dibagi atas kelompok K: 
kontrol negatif (povidone iodine), P1: ekstrak WJMSCs, dan P2: D gel. 
Pengamatan terhadap luka post hecting dilakukan selama 14 hari 
menggunakan kriteria Nagaoka dan data dianalisis menggunakan uji 
statistik deskriptif kategorik serta Kruskal-Wallis. Hasil; menunjukkan 
adanya perbedaan waktu penyembuhan luka post hecting antara ekstrak 
WJMSC dengan D gel secara bermakna dengan p value= 0,03, dengan 
waktu penyembuhan luka kelompok K: 12,7 hari, kelompok P1: 7 hari, 
dan kelompok P2: 11 hari. Kesimpulan; bahwa terdapat perbedaan 
bermakna penyembuhan luka post hecting antara ekstrak WJMSC 
dengan D gel","RC, RD","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Ilmiah Kesehatan Sandi Husada</font></font>",2021-09,
FK1,Peer Review : Increased tumor-associated macrophages in the prostate cancer microenvironment predicted patients’ survival and responses to androgen deprivation therapies in Indonesian patients cohort,,"R1, RD",,2020,
FK1,Peer Review : Increased tumor-associated macrophages in the prostate cancer microenvironment predicted patients’ survival and responses to androgen deprivation therapies in Indonesian patients cohort,,"R1, RD",,2020,
FK1,Home Based Programs on Promoting Return to Work in The Phase II of Cardiac Rehabilitation After Coronary Artery Bypass Graft,"Background. The purpose of this case report is to present the benefit of additional home based intevention program given in cardiac rehabilitation phase II of a 50 year old male vetenarian post coronary artery bypass graft surgery.
Methods. A functional approach with the aim of maximising the potency of return to work was adopted. Home programs given in this patient is an additional prescribing of overground walking exercise alongside with supervised exercise with treadmill.
Results. Due to his role, he should handle 14 farm. His work required him to move arround in 500 meters each farm and he made significant progress from MET 3.2 to 6.29 within 6 weeks and able return to work 4 weeks after surgery.
Conclusion. This finding indicate that additional home based programs was an effective program to promote patient’s return to work faster.
Keywords: CABG, exercise, home program, return to work.","R1, RD",Home Based Programs on Promoting Return to Work in The Phase II of Cardiac Rehabilitation After Coronary Artery Bypass Graft,2018-08-20,"CABG, exercise, home program, return to work."
UNILA2,Comparison Of Behavior In Tablet Computer Using On C ubital Tunnel Syndrome Incident,"Fraktur adalah hilangnya kontinuitas tulang baik yang bersifat total maupun yang parsial. Trauma atau cedera adalah mekanisme utama penyebab fraktur. Di Indonesia prevalensi terjadinya cedera terus mengalami peningkatan. Dari 7,5 persen pada Rikesdas 2007 menjadi 8,2 persen pada Rikesda 2013. Bila ditinjau dari penyebab cederanya, cedera karena kecelakaan sepeda motor menempati peringkat kedua tertinggi setelah cedera karena jatuh yaitu sebesar 46 persen. Terdapat 2 jenis cedera yang dapat dialami pengendara motor, yaitu cedera handbar dan footstep. Pada cedera Handbar dapat terjadi fraktur pada regio tangan dan pergelangan tangan, sementara pada cedera footstep dapat terjadi fraktur pada regio kaki dan pergelangan kaki.
     Pada penelitian ini bertujuan untuk mengetahui hubungan fraktur antara cedera handbar dan footstep pada  pengendara sepeda motor yang mengalami kecelakaan dan dirawat di IGD RSHS. Desain penelitiannya adalah deskriptif analitik. Data diambil dari rekam medis pasien pengendara sepeda motor yang mengalami kecelakaan dan dirawat di IGD RSHS dari Januari 2016 sampai Desember 2016.
     Dari hasil penelitian diperoleh 90 kasus fraktur yang berhubungan dengan handbar dan footstep sepeda motor. Terdapat 71(78%) kasus pada laki – laki dan 19(21%) pada perempuan. Sebanyak 45(50%) kasus merupakan fraktur handbar sedangkan 39(43,3%) kasus fraktur footstep, sementara 6(6,67%) kasus terjadi keduanya. Apabila dilihat dari mekanisme cedera didapatkan 37(41,1%) kasus terjadi tabrakan antara motor dengan motor, 35(38,9%) kasus antara motor dengan mobil, 2(2,2%) kasus motor bertabrakan dengan objek di jalan, dan 10(17,8%) kasus terjatuh. Pada analisa data bivariat menggunakan chi square diperoleh adanya hubungan antara tipe cedera (handbar vs footstep) dengan dengan jenis fraktur (terbuka vs tertutup) (p:0,025). Diperoleh Odd ratio sebesar 2,23 dimana pada kasus fraktur footstep memiliki resiko untuk terjadi fraktur terbuka sebesar 2,23 kali dibanding fraktur handbar. Jika dilihat dari mekanisme cedera terdapat hubungan yang signifikan antara mekanisme cedera (motor lawan motor vs motor lawan mobil) dengan jenis cedera (handbar vs footstep) yang dialami (p:0,0012). Pengendara motor yang bertabrakan dengan mobil memiliki resiko 6.2 kali untuk mengalami fraktur handbar dibandingkan fraktur footstep.",RD,,2018-05-12,
UNILA2,EFFECT OF ELECTROMAGNETIC STIMULATED CHITOSAN BONE GRAFT ON CALLUS FORMATION TOFEMUR FRACTURE WITH BONE LOSS AT RATS,"Insiden terjadinya fraktur dengan defek tulang di Unit Trauma Orthopaedi Edinburgh meningkat pada saat terjadi fraktur terbuka (11,4%). Terdapat 2.437 kasus fraktur di Rumah Sakit Hasan Sadikin antara tahun 2014-2016. Sebanyak 101 kasus terjadi fraktur terbuka. Untuk kasus nonunion dengan defek tulang sendiri ada 84 kasus. Apabila defek signifikan maka tulang tidak dapat beregenerasi secara normal. Metode yang sering digunakan dalam menangani fraktur dengan defek tulang adalah dengan stabilisasi tulang dan penggunaan tandur tulang. Penggunaan Pulsed Electromagnetic Field (PEMF) untuk menstimulasi penyembuhan tulang telah diinvestigasi selama 30 tahun dan telah terbukti mempercepat penyembuhan fraktur.   
      Penelitian ini merupakan jenis penelitian eksperimental laboratorium komparatif. Masing-masing kelompok terdiri dari 9 tikus sampel. Kedua kelompok dilakukan frakturasisasi pada 1/3 tengah femur kanan, pembuatan defek tulang, fiksasi dengan mini plate and screw, dan pemberian tandur tulang chitosan. Kelompok I diberikan stimulasi menggunakan PEMF 4 jam perhari selama 33 hari. Dilakukan 2 kali pemeriksaan radiologi, pada minggu ke-1 dan pada minggu ke-6. Dilakukan penilaian terbentuknya kalus secara kualitatif dan kuantitatif.
      Dari hasil pemeriksaan radiologis pada minggu ke-6 didapatkan pembentukan kalus terjadi pada 87,5% sampel kelompok I dan 37,5% sampel kelompok II. Apabila dibandingkan antara minggu ke-1 dan minggu ke-6 pada masing-masing kelompok, terdapat pembentukan kalus yang signifikan pada kelompok I (p skor radiologi 5 poin: 0,015; p luas kalus: 0,018). Sementara pada kelompok II tidak terdapat perbedaan signifikan (p skor radiologi 5 poin: 0,102; p luas kalus: 0,109). Apabila dibandingkan jumlah pembentukan kalus antarkedua kelompok pada minggu ke-6, maka jumlah kalus pada kelompok I lebih banyak secara signifikan dibandingkan kelompok II (p skor radiologi 5 poin: 0,039; p luas kalus: 0,046).    
      Setelah dilakukan penelitian, maka dapat disimpulkan bahwa pemberian tandur tulang chitosan disertai stimulasi Pulsed Electromagnetic Fields pada defek tulang fraktur femur baru akan mempercepat pembentukan kalus.",RD,,2018-05-12,
FK1,Hubungan antara Spastisitas Pergelangan Kaki dengan Kualitas Hidup pada Anak dengan Cerebral Palsy Tipe Spastik Quadriplegia,"Cerebral palsy (CP) disebabkan oleh gangguan perkembangan otak. CP tipe spastik merupakan tipe tersering. Spastisitas merupakan kelainan motorik utama. Spastisitas mengganggu aktivitas keseharian seperti berjalan dan makan. Tujuan penelitian ini adalah untuk mengetahui korelasi antara tingkat spastisitas pergelangan kaki dengan kualitas hidup pada anak dengan CP tipe spastik quadriplegia. 

Penelitian ini merupakan penelitian deskriptif analitik korelasional dengan pendekatan potong lintang. Penelitian dilakukan di Klinik Ortopedi dan Traumatologi RSHS pada bulan April 2018. Sebanyak 31 anak dengan CP tipe spastik quadriplegia dilibatkan. Orang tua mereka diminta untuk mengisi kuesioner CP-QOL. Tingkat spastisitas pergelangan kaki dinilai dengan modifikasi skala Ashworth. Subjek penelitian dibagi menjadi dua kelompok. Kelompok I merupakan subjek dengan skor Ashworth ≤ 2. Kelompok II adalah subjek dengan skor Ashworth > 2. Uji stastistik dilakukan dengan uji Spearman. 

Ada korelasi signifikan antara spastisitas dengan kualitas hidup pada domain kesejahteraan sosial dan penerimaan (p: 0.000); perasaan mengenai fungsi (p: 0.000); partisipasi dan kesehatan fisik (p: 0.000); kesejahteraan emosional dan kepercayaan diri (p: 0.000); rasa sakit dan dampak dari disabilitas (p: 0.002). 

Dapat disimpulkan bahwa ada korelasi antara spastisitas pergelangan kaki dengan kualitas hidup anak dengan CP tipe spastik quadriplegia.",RD,JSK,2018-09-01,
FK1,Perbandingan Terjadinya Fraktur Terbuka antara Fraktur Handbar dan Footstep,"Terdapat 2 jenis fraktur yang dapat terjadi pada pengendara sepeda motor, yaitu fraktur handbar dan footstep.Fraktur handbar merupakan fraktur pada area tangan dan pergelangan tangan.Fraktur footstep merupakan fraktur pada area kaki dan pergelangan kaki. Fraktur terbuka dapat terjadi baik pada fraktur handbar maupun footstep. Fraktur terbuka meningkatkan resiko infeksi dan defek tulang.Desain penelitiannya merupakan deskriptif analitik. Data diambil dari rekam medis pasien pengendara sepeda motor yang mengalami kecelakaan dan dirawat di Instalasi Gawat Darurat Rumah Sakit Hasan Sadikin Bandung dari Januari 2016 sampai dengan Desember 2016. Diperoleh 210 kasus (handbar 47%, footstep 47%, keduanya 6%). Dalam seminggu, kecelakaan terbanyak terjadi pada hari Senin (39 kasus; 18,6%). Dalam setahun, jumlah kecelakaan terbanyak terjadi pada bulan Juli (26 kasus;12,4%). Kecelakaan terjadi pada 158 (75%) laki-laki dan 52 (25%) perempuan.Diperoleh 103 (49%) kasus terjadi tabrakan antara motor dengan motor, 77 (37%) kasus antara motor dengan mobil, 20 (9%) kasus terjatuh,dan 10(5%) kasus motor bertabrakan dengan objek di jalan. Fraktur footstep lebih sering terjadi fraktur terbuka dibandingkan fraktur handbar dan hal ini berbeda secara signifikan (p: 0,00015; odd ratio:2,58).Menurut penelitian yang dilakukan oleh Howard, menunjukkan bahwa 40% fraktur terbuka terjadi pada ekstremitas bawah. Tulang yang paling sering mengalami fraktur terbuka adalah diafisis dari femur dan tibia. Pada penelitian ini didapatkan bahwa fraktur terbuka lebih sering terjadi pada fraktur footstep dibandingkan fraktur handbar.Dapat disimpulkan bahwa fraktur footstep lebih sering terjadi fraktur terbuka dibandingkan dengan frakturhandbar. Fraktur footstep memiliki resiko 2,58 kali untuk terjadi fraktur terbuka dibandingkan fraktur handbar.",RD,JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,2018-07-01,
FK1,PENYULUHAN KESEHATAN TENTANG PENINGKATAN PENGETAHUAN MASYARAKAT RT. 002 LK. II KELURAHAN KARANG MARITIM KECAMATAN PANJANG BANDAR LAMPUNG MENGENAI HEPATITIS A,"Hepatitis virus akut merupakan infeksi sistemik yang dominan menyerang hati. Hampir semua kasus hepatitis virus akut disebabkan oleh salah satu dari lima jenis virus, yaitu: virus hepatitis A, virus hepatitis B, virus hepatitis C, virus hepatitis D, dan virus hepatitis E. Indonesia merupakan daerah endemis sedang–tinggi untuk penyakit hepatitis A. Untuk mencegah transmisi dan tindakan terapi dini yang lebih efektif maka diperlukan adanya upaya peningkatan pengetahuan mengenai hepatitis A. Metode yang digunakan dalam kegiatan pengabdian kepada masyarakat ini adalah penyuluhan kesehatan dengan ceramah dan diskusi. Kegiatan ini dihadiri oleh 30 orang peserta yang tinggal di Kelurahan Karang Maritim Kecamatan Panjang. Setelah dilakukan penyuluhan terjadi peningkatan pengetahuan yang didapatkan dari nilai pre test dan post test yaitu 40% menjadi 100%. Simpulan, terjadi peningkatan pengetahuan masyarakat mengenai pengetahuan Hepatitis A di Panjang Bandar Lampung.
Kata kunci:Hepatitis, pengetahuan, penyuluhan.",RD,Jurnal Pengabdian Masyarakat Ruea Jurai,2017-12-01,
FK1,Cedera Olahraga Pada Anak Dan Pencegahannya,"Aktivitas fisik memegang peranan penting bagi pertumbuhan dan perkembangan anak. Pada usia anak, olahraga sebenarnya bertujuan untuk kesenangan, kesehatan, dan pengembangan diri. Tujuan ini berubah saat anak dilibatkan dalam kompetisi. Atlet muda harus berlatih keras, lama, dan terlibat dalam kegiatan olahraga kompetisi tahunan. Akibatnya, potensi cedera olahraga pada anak meningkat secara signifikan. Sehingga perlu dilakukan intervensi dan penegakan kebijakan yang efektif untuk melindungi anak-anak dari cedera. Insiden aktual cedera olahraga pada anak sulit untuk ditentukan. Cedera olahraga pada anak dapat bersifat akut dan berkaitan dengan trauma makro (fraktur dan sprain). Cedera juga dapat timbul secara gradual (kronik) melalui trauma mikro repetitif (fraktur stres, OCD, apofisitis, tendinopati). Anak laki-laki lebih sering mengalami cedera yang bersifat traumatis, terutama yang berhubungan dengan muskuloskeletal. Di sisi lain, anak perempuan lebih sering mengalami cedera akibat kegiatan olahraga berlebihan. Selain jenis kelamin, Insidensi dan distribusi cedera olahraga juga bervariasi sesuai dengan jenis olahraga, tingkat partisipasi, dan posisi pemain. Tindakan pencegahan cedera meliputi latihan rutin untuk menjaga kebugaran, edukasi, dan menanamkan jiwa sportifitas. Selain itu pemakaian perlengkapan olahraga yang sesuai dan pengaturan jadwal latihan juga penting. Jaga keseimbangan antara kegiatan latihan dan istirahat.",RD,JK Unila,,
