division,title,abstract,subjects,publication,date,keywords
FK1,Pengaruh Microwave Diathermy dan Latihan Rentang Gerak Sendi pada Osteoarthritis Lutut di Bandar Lampung,"Osteoarthritis lutut merupakan suatu penyakit degeneratif yang disebabkan oleh banyak faktor. Osteoarthritis mengakibatkan penurunan rentang gerak sendi, selain adanya nyeri dan kekakuan yang mempengaruhi aktivitas keseharian penderitanya. Perawatan konservatif terdiri dari pengobatan dan fisioterapi seperti terapi microwave diathermy dan latihan rentang gerak sendi. Penelitian ini bertujuan untuk mengetahui pengaruh fisioterapi pada peningkatan rentang gerak sendi. Penelitian ini dilakukan selama satu bulan di Rumah Sakit Abdul Moeloek dan Rumah Sakit Ahmad Dadi Tjokrodipo di Bandar Lampung. Penelitian ini menggunakan pendekatan kohort dengan 24 responden dan didominasi oleh wanita berusia rata-rata 62 tahun. Nilai p untuk fisioterapi adalah <0,05 bagi masing-masing kemampuan fleksi dan ekstensi lutut responden. Kesimpulan, microwave diathermy dan latihan rentang gerak sendi, secara efektif mempengaruhi rentang gerak sendi.",RE,AGROMEDICINE UNILA,2017-12,
FK1,KARAKTERISTIK KASUS TRAUMA BOLA MATA DI RUMAH SAKIT UMUM DAERAH DR. H. ABDUL MOELOEK LAMPUNG PERIODE TAHUN 2016-2017,"Trauma bola mata adalah perilaku sengaja maupun tidak sengaja yang menyebabkan luka pada mata dan jaringan sekitarnya. Trauma bola mata merupakan kasus yang membutuhkan tindakan secara tepat.Trauma bola mata dibagi menjadi trauma bola mata terbuka dan trauma bola mata tertutup yang dapat mempengaruhi visus seseorang.Komplikasi yang ditimbulkan pada trauma bola mata dapat berupa komplikasi ringan sampai bisa kehilangan mata/kebutaan.Tujuan dari penelitian ini adalah mengetahui hasil tatalaksana trauma bola mata di Rumah Sakit Abdul Moeloek. Desain penelitian yang digunakan penelitian ini adalah deskriptif retrospektif yang menggunakan data sekunder yaitu data rekam medis sebanyak 39 pasien yang dianalisis jenis trauma bola mata yang dialami dan kriteria visus pasien. Hasil:Pada penelitian ini didapatkan responden berjenis kelamin laki-laki adalah sebanyak 26 responden (66,7%) dan responden berjenis kelamin perempuan adalah 13 responden (33,3%) dengan 27 responden (69,2%) merupakan responden dalam usia produktif (kurang dari 45 tahun) dan responden dengan usia lebih dari 45 tahun berjumlah 12 responden (30,8%).Tipe trauma yang paling banyak ditemukan pada penelitian adalah trauma terbuka sebanyak 26 responden (66,66%) dengan tajam pengelihatan yang buruk sebanyak 21 responden (53,84%) sedangkan responden dengan jenis trauma tertutup adalah sebanyak 13 responden (33,33%) dengan tajam penngelihatan yang buruk sebanyak 7 responden (17,9%) Hasil analisis menunjukkan hubungan yang signifikan pada jenis trauma terhadap visus pasien dengan nilai p 0,008 (p<0,05). Terdapat hubungan pada jenis trauma terhadap visus pasien pada kasus trauma bola mata pada RSUD H. Abdul Moeloek Provinsi Lampung tahun 2016-2017
Kata Kunci: Komplikasi, trauma bola mata, visus",RE,"MEDULA, medicalprofession journal of lampung university",2019,
FK1,Lacrimal System Disorders in Children,"Introductions: The lacrimal system consists of various glands in producing tears and drainage systems. Epiphora, or excessive tears, is a problem that occurs in children, baby or infants.


Discussions: The most frequent etiology of this disorder is nasolacrimal duct obstruction. The most frequent abnormalities are defects or blockages in the drainage system, blocked nasolacrimal ducts. Most of the evidence supports conservative management in this case, examinations are conducted for those who fail to resolve at the age of one year. There are several other conditions, some of which can be serious, which can cause a lot of tears. Infections of the eyelids and conjunctiva, foreign bodies that have not been found, and congenital glaucoma are some conditions that must be ruled out when there are children who experience excessive tears.


Conclusions: Proper diagnosis and management of the lacrimal system in children will get a better prognosis


Keywords: Children, diagnosis, infant, lacrimal, tears",RE,Jurnal Ilmiah Mahasiswa Kedokteran Indonesia (JIMKI),2020-08,"Children, diagnosis, infant, lacrimal, tears"
FK1,Katarak Brunesen Unilateral dengan Keratopati dan Ptisis Bulbi,"Katarak merupakan suatu kondisi dimana terjadi kekeruhan pada lensa mata yang menyebabkan gangguan penglihatan dan menjadi salah satu penyebab tingginya angka kejadian kebutaan di seluruh dunia. Berdasarkan perjalanan penyakitnya, katarak dapat dibagi menjadi empat stadium, yaitu stadium insipien, stadium imatur, stadium matur dan stadium hipermatur. Katarak senilis tipe nuklear biasanya sering terjadi dan dapat berkembang akibat proses penuaan. Berdasarkan tipenya katarak nuklear terbagi atas katarak brunesen (coklat), katarak nigra (hitam), dan katarak rubra (merah). Nukleus lensa yang mengalami katarak menjadi keras dan berwarna kecoklatan maka disebut katarak brunesen. Laporan kasus ini dipaparkan seorang laki-laki berusia 57 tahun dengan keluhan penglihatan mata kiri kabur sejak 1 tahun yang lalu dan mata kanan tidak bisa melihat serta bola mata mengecil sejak 3 tahun yang lalu. Gangguan penglihatan semakin lama dirasakan semakin memburuk secara perlahan. Pasien memiliki riwayat trauma terkena goresan ranting pada mata kanan, namun pasien tidak berobat. Hasil pemeriksaan oftalmologis okuli dekstra didapatkan visus no light perception, ptisis (+), keratopati (+); okuli sinistra visus 1/300, lensa keruh dan berwarna coklat, shadow test (-). Pasien ini didiagnosis katarak brunesen okuli sinistra disertai keratopati okuli dekstra suspek paska infeksi dan ptisis bulbi okuli dekstra. Tatalaksana yang diberikan adalah tindakan fakoemulsifikasi okuli sinistra.

Kata kunci : Katarak brunesens, keratopati, ptisis bulbi.",RE,Medical Journal of Lampung University,2017-07,
FK1,Ulkus Kornea Impending Perforasi,"Kornea merupakan jaringan transparan, yang memiliki ukuran tebal rata-rata pada orang dewasa 550 mikrometer di sentral, dengan diameter horizontal sekitar 11,75 mm dan vertikal 10,6 mm. Jika terdapat infiltrat supuratif disertai defek, diskontinuitas jaringan pada kornea dari epitel hingga stroma dapat dikatakan sebagai ulkus kornea. Ulkus Kornea dapat disebabkan oleh trauma, infeksi, penyakit autoimun, dan hilangnya persarafan kornea. Laki-laki 55 tahun dengan keluhan mata kiri kabur disertai berair dan nyeri sejak 1 minggu sebelum masuk rumah sakit. Keluhan disertai rasa mengganjal pada mata, silau bila melihat cahaya dan air mata yang terus mengalir. Pada pemeriksaan fisik didapatkan pasien tampak sakit ringan, kesadaran kompos mentis, tekanan darah 130/70 mmHg, frekuensi nadi 80 kali permenit, isi dan tegangan cukup, suhu tubuh 36,6oC, laju pernafasan 18 kali permenit. Status oftalmologis didapatkan visus mata kanan 6/6, visus mata kiri 1/300, pada okuli sinistra terdapat injeksi konjungtiva bulbi dan injeksi siliar yang disertai edema. Pada kornea didapatkan lesi bergaung ukuran 9 mm x 5 mm di sentral berbatas tegas dengan impending perforasi, terdapat infiltrat stromal, descemetokel (+). Bilik mata depan dangkal, tidak ditemukan adanya hifema dan hipopion. Terapi yang diberikan berupa terapi medikamentosa dan rencana terapi operatif. Terapi medikamentosa yang diberikan adalah artificial tears eye drops 1 tetes per jam pada okuli sinistra, Moksifloksasin eye drop 1 tetes per jam pada okuli sinistra, Ceftriaxon injeksi 1 gram diberikan dua kali dalam sehari. Pada pasien ini juga diberikan analgesik sistemik berupa Paracetamol 3x500 mg.

Kata Kunci: komplikasi, perforasi kornea, trauma",RE,Majority,2019-03-01,
FK1,Ulkus Kornea Impending Perforasi,"Kornea merupakan jaringan transparan, yang memiliki ukuran tebal rata-rata pada orang dewasa 550 mikrometer di sentral, dengan diameter horizontal sekitar 11,75 mm dan vertikal 10,6 mm. Jika terdapat infiltrat supuratif disertai defek, diskontinuitas jaringan pada kornea dari epitel hingga stroma dapat dikatakan sebagai ulkus kornea. Ulkus Kornea dapat disebabkan oleh trauma, infeksi, penyakit autoimun, dan hilangnya persarafan kornea. Laki-laki 55 tahun dengan keluhan mata kiri kabur disertai berair dan nyeri sejak 1 minggu sebelum masuk rumah sakit. Keluhan disertai rasa mengganjal pada mata, silau bila melihat cahaya dan air mata yang terus mengalir. Pada pemeriksaan fisik didapatkan pasien tampak sakit ringan, kesadaran kompos mentis, tekanan darah 130/70 mmHg, frekuensi nadi 80 kali permenit, isi dan tegangan cukup, suhu tubuh 36,6oC, laju pernafasan 18 kali permenit. Status oftalmologis didapatkan visus mata kanan 6/6, visus mata kiri 1/300, pada okuli sinistra terdapat injeksi konjungtiva bulbi dan injeksi siliar yang disertai edema. Pada kornea didapatkan lesi bergaung ukuran 9 mm x 5 mm di sentral berbatas tegas dengan impending perforasi, terdapat infiltrat stromal, descemetokel (+). Bilik mata depan dangkal, tidak ditemukan adanya hifema dan hipopion. Terapi yang diberikan berupa terapi medikamentosa dan rencana terapi operatif. Terapi medikamentosa yang diberikan adalah artificial tears eye drops 1 tetes per jam pada okuli sinistra, Moksifloksasin eye drop 1 tetes per jam pada okuli sinistra, Ceftriaxon injeksi 1 gram diberikan dua kali dalam sehari. Pada pasien ini juga diberikan analgesik sistemik berupa Paracetamol 3x500 mg.

Kata Kunci: komplikasi, perforasi kornea, trauma",RE,Jurnal Majority,2019-03,
FK1,Uveitis Intermediet dengan Glaukoma Sekunder Okuli Sinistra,"Uveitis  adalah  inflamasi  yang  terjadi  pada  traktus  uvea.Uveitis  intermediet  adalah  inflamasi  pada  badan  vitreus,  selubung pembuluh  darah  retina.Menurut  penelitian  penyebab  glaukoma  sekunder paling  banyak  disebabkan  oleh  inflamasi  atau peradangan pada mata. Glaukoma adalah suatu keadaanpeningkatan tekananintraokular sehingga mengakibatkan kerusakan saraf optik dan gangguan pada lapang pandang ataubahkankebutaan.Deskripsi kasus, pasien wanita berusia 32 tahun datang dengan  keluhanutama  mata  kiri  tidak  bisa  melihat  secara  tiba-tiba  sejak satu minggu  yang  lalu.  Keluhan  tambahan  yang dirasakan  adalah  nyeri  kepala,  mual,  muntahtiga  kali,  dan  silau  saat  mata  terkena  sinar  matahari.  Nyeri  kepala  dirasakan  di bagian  pelipis  terutama  dibagian  kelopak  mata  kiri.  Riwayat  penggunaan  kacamata  (+),  riwayat  mata  merah  (+).  Hasil pemeriksaan  oftalmologis  visus  pada  mata  kanan  2/60,  visus  mata  kiri  1/300,  Tekanan  intraokular  mata  kanan  10mmHg  dan mata  kiri  58mmHg.  Pemeriksaan  segmen  anterior  mata  kanan  dalam  batas  normal,  segmen  anterior  mata  kiri  palpebra pseudoptosis,  injeksi  konjungtiva  tarsal,  forniks  dan  bulbi,  injeksi  siliaris,  kornea  edema,  keratik  presipitat,  bilik  mata  depan dalam, hipopion ukurannol koma lima milimeter, pupil dilatasi, kripta iris, reflek pupil, lensa, vitreussulit dinilai karena media keruh.  Pemeriksaan lapang  pandang sulit dinilai. Mekanisme  peningkatan TIO pada glaukoma  sudut terbuka  yang disebabkan karena  uveitis  adalah  hipersekresiakuos  humorpenyumbatandan  blokade jalur trabekular,  inflamasi  pada jalur trabekular, kerusakan  trabekulum  dan  endotelium  akibat  peradangan,  dan  glaukoma  yang  disebabkan  karena  pemakaian  kortikosteroid jangka  panjang. Terapi  yang  digunakan  yaituobat  golongan  obat  penghambat  karbonat  anhidrase,  obat  penghambat  beta adrenergik, anti-inflamasi steroid topikal dan sistemik.

Kata kunci: Glaukoma sekunder,patogenesis, penatalaksanaan, uveitis anterior",RE,"MEDULA, medicalprofession journal of lampung university",2020,
FK1,Diagnosis and Treatment of Ocular Burns,"Introduction: Chemical eye burns, thermal burns, and radiation represent cases that often occur in cases in the emergency department in the eye area. Exposure to body fluids and cyanoacrylates (super glue) also often occur. These conditions if not followed up quickly will result in a poor prognosis.


Objective: To determine the initial diagnosis and treatment of eye burns.


Method: This article was created using the literature review method, involving 22 libraries both national and international books and journals.


Results: Chemical burns represent the most frequent and potentially blind eye injury, this is an eye emergency that requires immediate treatment and starting treatment. The majority of victims are young and exposure can occur at home, work and can also be related to crime.


Discussion: Alkaline injuries occur more frequently than acid injuries. Chemical injury to the eye results in extensive damage to the surface epithelium of the eye, cornea, anterior segment, and stem cells resulting in unilateral or bilateral permanent vision damage. Rapid and appropriate management is perhaps the most important factor in determining the final outcome.


Conclusion: This article reviews emergency management and new techniques for improving the prognosis of patients with eye burn injuries.



Keywords: Acid, alkali, chemical burns, thermal burns, eyes, radiation.",RE,Jurnal Ilmiah Mahasiswa Kedokteran Indonesia (JIMKI),2020-08,"Acid, alkali, chemical burns, thermal burns, eyes, radiation."
FK1,Pterigium Derajat IV pada Pasien Geriatri,"Pterigium adalah pertumbuhan jaringan fibrovaskular berbentuk segitiga yang tumbuh dari arah konjungtiva menuju
kornea pada daerah interpalpebra. Pterigium tumbuh berbentuk sayap pada konjungtiva bulbi. Pterigium tersebar di
seluruh dunia, tetapi lebih banyak di daerah iklim panas dan kering. Seorang wanita 67 tahun, pasien geriatri datang
dengan keluhan penglihatan mata kiri terasa mengganjal sejak + 6 bulan yang lalu. Pada pemeriksaan fisik didapatkan
tekanan darah: 120/80 mmHg; frekuensi nadi: 84 x/menit; frekuensi nafas: 24 x/menit suhu:36,6°C; Sistem Kardiovaskular dalam batas normal, sistem respirasi dalam batas normal, Kulit dalam batas normal, ekstremitas dalam batas normal.

pemeriksaan oftalmologi, VOD : 6/60, VOS 1/60. Pada mata kiri ditemukan selaput berbentuk segitiga dari arah nasal
mencapai pupil berwarna putih kemerahan, tidak ditemukan adanya injeksi konjungtiva ataupun injeksi siliar, kornea
jernih dan lensa jernih. Pasien didiagnosis pterigium derajat IV pada mata sebelah kiri. Pengobatan definitif pada pasien pterigium derajat IV adalah operatif.",RE,MEDICAL JOURNAL OF LAMPUNG UNIVERSITY Vol 7 No 1 2017,2017-11,
FK1,Hubungan Durasi Terdiagnosis Diabetes Melitus Tipe 2 dan Kadar HbA1C dengan Derajat Retinopati Diabetik pada Pasien yang Mengikuti Program Pengelolaan Penyakit Kronis di Puskesmas Kedaton Bandar Lampung,"Retinopati diabetik adalah komplikasi mikrovaskular diabetes melitus yang disebabkan oleh kerusakan pembuluh darah di retina dan memicu kebutaan. Retiopati diabetik terbagi menjadi dua yaitu Non Proliferative Diabetic Retinopathy (NPDR) dan Proliferative Diabetic Retinopathy (NPDR). Faktor yang dapat mempengaruhi diantaranya durasi terdiagnosis diabetes melitus tipe 2 dan hiperglikemia dimana pemeriksaan hiperglikemia diantaranya menggunakan HbA1C. Penelitian ini untuk mengetahui hubungan durasi terdiagnosis diabetes melitus tipe 2 dan kadar HbA1c dengan derajat retinopati diabetik pada pasien yang mengikuti program pengelolaan penyakit kronis (Prolanis) di Puskesmas Kedaton Bandar Lampung.Penelitian ini menggunakan pendekatan cross sectional. Sampel didapatkan 50 responden dengan cara consecutive sampling dan data dianalisis dengan uji mann whitney dan kruskal wallis. Sebanyak 46% responden memiliki durasi diabetes melitus 5-15, 44% < 5 tahun, 10% > 15 tahun. Kadar HbA1C tidak terkontrol sebanyak 68% dan terkontrol sebanyak 32%. Dari 50 responden, 68% tidak menderita retinopati diabetik, 32% NPDR, dan 2% PDR. Durasi terdiagnosis diabetes melitus tipe 2 dengan retinopati diabetik secara statistik memiliki nilai p=0,008 (p<0,05) dan kadar HbA1C dengan retinopati diabetik juga secara statistik memiliki nilai p = 0.043, (p<0.05). Penelitian ini dapat disimpulkan bahwa terdapat hubungan antara durasi terdiagnosis diabetes melitus tipe 2 dan kadar HbA1c dengan derajat retinopati diabetik pada pasien yang mengikuti program pengelolaan penyakit kronis di Puskesmas Kedaton Bandar Lampung.

Kata kunci:Durasi DM Tipe 2, Kadar HbA1C, Retinopati Diabetes",RE,Majority,2018-03,
