division,title,abstract,subjects,publication,date,keywords
FMIPA2,"The Germination and Growth of Induced F1 Tomato Seeds By
Exposure To  0.2mT of Magnetic Field And Fusarium Sp. 
Infection","Abstract: Exposure of 0.2 mT magnetic field (MF) to tomato seeds is known to increase germination, growthand resistance of plants to Fusarium sp. In this study, the germination and growth of F1 tomato seeds weretested after reinfection with Fusarium oxysporum f.sp.lycopersici (Fol).   The study was arranged factorially inCompletely Randomized Design (CRD). The first factor is  F1 seed types consisting of 8 types: M
M
7
F
0
, M
7
F
60
, M
11
F
0
, M
11
F
60
, M
15
F
0
, and M
15
F
.  The numbers after letter M and F indicate that F1 tomatoseeds were obtained from parental tomato plants whose seeds were induced by exposure of 0.2 mTMF each fo0, 7’48”, 11’44”, and 15’36”and then infected by Fusarium sp. monospore suspension each for 0 and 60minrespectively. The second factor is Fol  infection. The data obtained were analyzed variance and followed byFisher's Test at α = 5%.The results show that the parental tomato seeds induced by 0,2 mT MF produce F1seeds that have a higher germination percentage and rate as well as dry weight than the parental tomato seedsof control although reinfected by Fol. These results suggest that the vigor properties of the F1 tomato seeds arethe same as the vigor properties of the parental seeds. 
60
Keywords: F1 tomato seed type, germination rate, Fol, germination percentage, and dry weight.","QK, RF, S1",IOSR Journal of Agriculture and Veterinary Science (IOSR-JAVS),2018-03-05,"F1 tomato seed type, germination rate, Fol, germination percentage, and dry weight."
FK1,Clinical Outcomes of Hernia Nucleous Pulposus after Microendodiscectomy,"There are several options of surgical treatment of Hernia Nucleous Pulposus (HNP) such as discectomy and micro-endodiscectomy (MED). The fundamental differences between these procedures are the size of the incision, the discectomy procedure and the volume of disc taken. However, until now, there has not been any class 1 evidences explaining the efficacy of these procedures, and there is only a few studies about its safety and factors influencing its efficacy in treating HNP, especially in Indonesia. This study is aimed to assess clinical outcomes and safety of MED in HNP patients who underwent this procedure. Patient with HNP who underwent MED were followed prospectively in a period of January 2015 until December 2016. Clinical outcomes were evaluated by using Visual Analog Score (VAS) for assessing back pain and leg, and Oswestry Disability Index (ODI). The mean of pre-treatment score was compared with the mean of post-surgical treatment score by using paired t-test. Subjects were 78 HNP patients treated surgically. The average surgery duration (± SD) was 60 ± 17.1 minutes. The pretreatment score mean on VAS and ODI were 4.88 ± 1.10 and 35.21 ± 8.24. After surgical treatment, the VAS and ODI score obtained were significantly reduced to 1.53 ± 1.14 and 5.16 ± 5.52, respectively (p<0,001). A type of complication was observed, which was 5 (6.4%) cases of dural tear; no deficit in ankle dorsiflexion nor foot paresis were found. MED has been shown to be able to treat HNP with clinical outcomes similar to conventional open discectomy but with better levels of safety and effectiveness. However, this procedure still requires high quality randomized controlled trials studying about its efficacy and cost effectiveness in HNP treatment.",RF,Biomedical & Pharmacology Journal,2018-06,
FK1,"Compared to Conventional Dressing Techniques,
Tranexamic Acid Injection Provide Better Surgical
Outcomes in Spinal Fusion Surgery","The use of mechanical and chemical hemostatic control techniques in spinal fusion 
surgery is common in Indonesia. However, there has been no study comparing the two in a single
clinical trials. This study aims to find out which best of tranexamic acid injection,  a bulky
compression dressing and a standard dressing in providing surgical outcomes in spinal fusion
surgery. Thirty patients were grouped into three, 10 patients  each. To Group 1, tranexamic acid
at a dose of 500 mg/ml was administered pre operation and 2 hours later. For Group 2, a bulky
compression dressing was performed by covering the surgical wounds with a low-adherent
dressing, overlaid with  four layers of sterile gauze and then sealed with a conformable adhesive
retention tape. Standard dressing was applied to the patients of Group-3 using the same type
of bandage and adhesive tape given to the Group-2, but only overlaid with two layers of sterile
gauze. There is no statistical difference among trials groups for preoperative (P > 0.220) and
postoperative (P > 0.380) hemoglobin levels and the level of perioperative blood loss (P > 0.110).
With respect to number of transfusion required, the tranexamic acid group was significantly
lower compared to the standard dressing group (P = 0.018). No abnormality of wound seen
in all three trials groups and only 2 patients of bulky compression dressing group reported
experience of headache. In conclusion, tranexamic acid is better to promote hemostasis compared
to conventional dressing techniques.
Keywords: Spine surgery, surgical outcomes, tranexamic acid, compression dressing",RF,Biomedical and Pharmacology Journal,2018-12,"Spine surgery, surgical outcomes, tranexamic acid, compression dressing"
FK1,"Compared to Conventional Dressing Techniques, Tranexamic Acid Injection Provide Better Surgical Outcomes in Spinal Fusion Surgery","The use of mechanical and chemical hemostatic control techniques in spinal fusion surgery is common in Indonesia. However, there has been no study comparing the two in a single clinical trials. This study aims to find out which best of tranexamic acid injection,  a bulky compression dressing and a standard dressing in providing surgical outcomes in spinal fusion surgery. Thirty patients were grouped into three, 10 patients  each. To Group 1, tranexamic acid at a dose of 500 mg/ml was administered pre operation and 2 hours later. For Group 2, a bulky compression dressing was performed by covering the surgical wounds with a low-adherent dressing, overlaid with  four layers of sterile gauze and then sealed with a conformable adhesive retention tape. Standard dressing was applied to the patients of Group-3 using the same type of bandage and adhesive tape given to the Group-2, but only overlaid with two layers of sterile gauze. There is no statistical difference among trials groups for preoperative (P > 0.220) and postoperative (P > 0.380) hemoglobin levels and the level of perioperative blood loss (P > 0.110). With respect to number of transfusion required, the tranexamic acid group was significantly lower compared to the standard dressing group (P = 0.018). No abnormality of wound seen in all three trials groups and only 2 patients of bulky compression dressing group reported experience of headache. In conclusion, tranexamic acid is better to promote hemostasis compared to conventional dressing techniques.",RF,Biomedical & Pharmacology Journal,2018-12,
FK1,"Multivariate Analysis of Factors that Influence the Clinical
Outcome Oswestry Disability Index in Patients with Lumbar
Spinal Stenosis Post Percutaneous Stenoscopic Lumbar
Decompression","This study aimed to assess the factors that influence The Oswestry Disability Index
(ODI) clinical outcomes in patients with Lumbal Spinal Stenosis (LSS) after Percutaneous
Stenoscopic Lumbar Decompression (PSLD). A total of 92 patients were analyzed for factors
that affecting ODI clinical outcome. These factors were age, sex, body mass index, cigarette
consumption, alcohol consumption, sports history, pain onset, radicular pain, VAS pain score,
paresis and paresthesia symptoms, duration and conservative management, length of operation,
duration of treatment, recurrence of pain, and duration of postoperative healing. Data were
collected by direct examination, questionnaires, in-depth interviews, and patient medical
records. A Pearson correlation or Spearman Rank test and independent T-test or Mann Whitney
was conducted to determine the significant relationship between these factors and ODI clinical
outcomes. Multiple linear regression was performed to find out which factor most influences ODI
clinical outcome. Some factors influence ODI outcome in the sample as resulted by statistical
analysis. From the statistic analysis, only three factors that influence the ODI postoperative
there was age (p=0.003), VAS preoperative (p=0.001), and ODI preoperative (p=0.001). There
was no statistical significance found in the other factors with p>0.005. Factors influencing
clinical outcomes by ODI in patients with lumbar spinal stenosis after PSLD was the age of the
patient, preoperative ODI, and preoperative VAS.",RF,Biomedical & Pharmacology Journal,2021,
FK1,Rheumatoid Arthritis,"Rheumatoid arthritis (RA) adalah penyakit inflamasi tersering yang mengenai 1-3% populasi dewasa.
Keterlibatan sendi multipel, penyakit sistemik komorbid, polifarmasi dengan obat-obatan imunomodulator,
memberikan tantangan baru pada ahli bedah. Terapi operatif pada RA memerlukan pendekatan multidisiplin.
Managemen preoperatif meliputi evaluasi seluruh sendi, rencana terapi operatif yang akan dilakukan, serta
evaluasi kondisi medis untuk operasi dan anestesi. Obat-obatan harus dilanjutkan perioperatif dengan adekuat
replacement therapy pada pasien dengan kortikosteroid. Perioperatif juga meliputi obat profilaksis untuk infeksi
dan komplikasi gastrointestinal. Penanganan yang hati-hati terhadap jaringan lunak dan tulang amat diperlukan
saat operasi. Bagian dengan kulit yang tipis dan tertekan memerlukan bantuan dan alas. Keberhasilan
rehabilitasi pasca operasi meliputi mobilisasi segera, masukan dari terapis okupasi dan fisioterapi, serta
pemantauan dari orang-orang terdekat",RF,JK Unila Jurnal Kedokteran Unila,2019-03-30,
FK1,Rheumatoid Arthritis,"Rheumatoid arthritis (RA) adalah penyakit inflamasi tersering yang mengenai 1-3% populasi dewasa. Keterlibatan sendi multipel, penyakit sistemik komorbid, polifarmasi dengan obat-obatan imunomodulator, memberikan tantangan baru pada ahli bedah. Terapi operatif pada RA memerlukan pendekatan multidisiplin. Managemen preoperatif meliputi evaluasi seluruh sendi, rencana terapi operatif yang akan dilakukan, serta evaluasi kondisi medis untuk operasi dan anestesi. Obat-obatan harus dilanjutkan perioperatif dengan adekuat replacement therapy pada pasien dengan kortikosteroid. Perioperatif juga meliputi obat profilaksis untuk infeksi dan komplikasi gastrointestinal. Penanganan yang hati-hati terhadap jaringan lunak dan tulang amat diperlukan saat operasi. Bagian dengan kulit yang tipis dan tertekan memerlukan bantuan dan alas. Keberhasilan rehabilitasi pasca operasi meliputi mobilisasi segera, masukan dari terapis okupasi dan fisioterapi, serta pemantauan dari orang-orang terdekat",RF,JK Unila Jurnal Kedokteran Unila,2019-12,
FK1,Role of Sildenafil in Acceleration of Delayed Union Fracture Healing on Sprague-Dawley Rats Model,"This work was carried out in collaboration between all authors. Author AF managed the experimental process, analyses of the study, performed the histomorphometry analysis. Author AFKdesignedthe study, wrote the protocol and wrote the manuscript. AuthorAKmanaged theliterature searches,provide scientific support andauthorEKperformed the immunohistochemistry analyses. All authors read and approved the final manuscript",RF,British Journal of Medicine & Medical Research,2015-12,
FK1,Trigger Finger,"Trigger finger adalah penyakit yang umum terjadi pada jari, yang disebabkan oleh peradangan dan penyempitan pulley A-1, menyebabkan rasa sakit, terkunci dan hilangnya gerakan jari yang terkena. Meskipun dapat terjadi pada siapa saja, trigger finger lebih sering terdapat pada penderita diabetes dan wanita, umumnya pada dekade kelima dan keenam. Diagnosis penyakit ini cukup mudah, karena sebagian besar pasien mengeluh clicking atau jari terkunci, namun proses patologis lain seperti fraktur, tumor, atau cedera jaringan lunak lainnya harus disingkirkan. Penatalaksanaan konservatif antara lain splinting, injeksi kortikosteroid dan terapi adjuvant. Penatalaksanaan bedah terdiri dari pembedahan pulley A-1 dengan teknik terbuka atau perkutaneus. Komplikasi pembedahan jarang terjadi, meliputi bowstringing, cedera saraf interdigitalis, dan triggering yang tidak sembuh. Beberapa pasien memerlukan prosedur yang lebih ekstensif untuk mengurangi ukuran tendon fleksor. Kondisi komorbid mempengaruhi penatalaksanaan trigger finger. Pemahaman tentang pathomekanik, faktor risiko, dan variasi penatalaksanaan trigger finger, sangat penting untuk perawatan yang tepat. [JuKe Unila 2015; 5(9):134-140]

Kata Kunci: penatalaksanaan konservatif, penatalaksanaan bedah, trigger finger",RF,JUKE,2015,
FK1,otal Knee Arthroplasty pada Rheumatoid Arthritis,"Lutut adalah salah satu sendi yang paling sering terkena rheumatoid arthritis (RA). Total knee arthroplasty (TKA)
merupakan intervensi yang paling sukses mengurangi nyeri lutut dan meningkatkan fungsi lutut pada RA stadium lanjut.
Kami laporkan kasus tiga pasien wanita dengan kerusakan lutut berat akibat RA sekunder yang dikelola dengan fixedbearing
prosthesis
Zimmer's NexGen.
Pasien
pertama
adalah seorang
wanita
berusia 45 tahun
yang
menderita
RA pada
kedua
lutut
dengan
Knee
society
score
(KSS)
pada
lutut
kanan
40
dan
pada
lutut
kiri
38.
Pasien
kedua
adalah
seorang

wanita
berusia
46
tahun
yang
menderita
RA
pada
lutut
kiri
dengan
KSS
50.
Pasien
ketiga,
wanita
berusia
35
tahun
dengan

KSS
40.
Setelah
melakukan
TKA,
skor
KSS
pasien
pertama
meningkat
menjadi
77
pada
kedua
lutut.
Demikian
juga
pada

pasien
kedua
dan
ketiga,
skor
KSS
menjadi
70.
Dari
kasus
ini
dapat
disimpulkan
bahwa
TKA
meningkatkan
fungsi
secara

keseluruhan
serta
kualitas
hidup
pasien
dengan
RA
lutut.
Kata Kunci: Lutut, rheumatoid arthritis, total knee arthroplasty",RF,Jurnal Kedokteran Brawijaya,2016-08,
