division,title,abstract,subjects,publication,date,keywords
FK1,PENINGKATAN PENGETAHUAN IBU USIA REPRODUKTIF MELALUI PENYULUHAN DAN SIMULASI TENTANG ASI EKSKLUSIF UNTUK MENINGKATKAN DERAJAT KESEHATAN IBU DAN ANAK DI PUSKESMAS WAY KANDIS BANDAR LAMPUNG,,RG,,2015,
FK1,Seorang Perempuan Usia 35 Tahun dengan Pre-eklampsia Berat dan Parsial HELLP Sindrom,"Angka kejadian pre-eklampsia berat di Indonesia berkisar 3-10% dan merupakan penyebab dari 30-40% kematian perinatal.
Pre-eklampsia menggeser perdarahan yang menjadi penyebab utama kematian maternal. Pre-eklampsia adalah terjadinya
peningkatan tekanan darah lebih dari 140/90 mmHg, edema, dan proteinuria. Pre-eklampsia berat merupakan risiko yang
dapat membahayakan ibu serta janin. Sampai saat ini terjadinya pre-eklampsia berat belum diketahui sebabnya, tetapi preeklampsia
berat dapat terjadi pada kelompok tertentu yaitu mereka yang mempunyai predisposisi usia muda, kehamilan
pertama, keturunan, riwayat pre-eklampsia, dan gaya hidup. Pengobatan pasien pre-eklampsia berat dan untuk mencegah komplikasi dapat menggunakan MgSO4 dan antihipertensi nifedipin. Penatalaksanaan HELLP syndrome pada pasien preeklampsia berat dapat dipertimbangkan dengan pemberian kortikosteroid.",RG,J Medula Unila,2016-12-18,
FK1,KEHAMILAN ATERM DENGAN DISTOSIA BAHU,"Distosia bahu merupakan suatu kegawatdaruratan obstetri yang jarang terjadi, namun sangat berbahaya bagi ibu dan janin. Distosia bahu adalah suatu kondisi kegawatdaruratan obstetri pada persalinan pervaginam dimana bahu janin gagal lahir secara spontan setelah lahirnya kepala janin.Tingkat insidensi distosia bahu kurang lebih sebesar 0,6 hingga 1,4% dari seluruh persalinan pervaginam. distosia bahu masih menjadi tantangan bagi tenaga medis karena risiko terjadinya distosia bahu masih belum dapat diprediksi dengan baik. Komplikasi yang dapat terjadi pada janin meliputi cedera pleksus brakialis 1-20%, fraktur os humerus dan klavikula, asfiksia, ensefalopati hingga kematian perinatal. Sedangkan komplikasi yang dapat terjadi pada ibu antara lain berupa laserasi, perdarahan, dan stress psikologis.Seorang wanita 25 tahun, G2P1A0 hamil aterm datang dengan keluhan kepala bayi sudah berada di luar jalan lahirsejak 1 jam yang lalu, namun badan bayi tidak kunjung keluar.Pada pemeriksaan fisik didapatkan: kesadaran kompos mentis. Tekanan darah 130/80 mmHg, nadi 92x/menit, frekuensi napas 22x/menit, suhu 36,8oC. Pada pemeriksaan obstetri didapatkan tinggi fundus uteri 28cm, his 4x/10”/40’, denyut jantung janin (-) dan bagian terbawah janin (kepala) berada pada Hodge IV. Pasien ini didiagnosis G2P1A0 hamil aterm inpartu janin tunggal mati dengan distosia bahu. Manajemen obstetri berupa prinsip penanganan distosia bahu.",RG,"MEDULA, medicalprofession journal of lampung university",2017-11-01,
FK1,"Wanita Usia 20 Tahun, Primigravida Hamil 37 Minggu
dengan Eklampsia Antepartum","Eklampsia adalah hipertensi dalam kehamilan yang terjadi pada usia kehamilan di atas 20 minggu disertai kejang pada
wanita hamil yang sebelumnya telah mengalami gejala preeklampsia. Kejadian ini sering terjadi dan berpotensi mengalami
perburukan klinis, diagnosis dini dan penatalaksanaan yang tepat sangat penting. Laporan kasus ini menjelaskan seorang
wanita primigravida usia 20 tahun, usia kehamilan 37 minggu, dengan keluhan utama ingin melahirkan yang disertai dengan
kejang. Pada riwayat medis sebelumnya, tidak dijumpai adanya riwayat epilepsi. Pada kehamilan ini, hipertensi didiagnosis
pada masuk ke rumah sakit karena pasien tidak pernah memeriksakan kandungannya. Kejang berulang terjadi 5 kali sejak
12 jam sebelum masuk rumah sakit (SMRS) dan lamanya tiap kejang sekitar 15 menit. Terdapat penurunan kesadaran
setelah kejang. Pada pemeriksaan fisik didapatkan keadaan umum buruk, kesadaran delirium dan gelisah, tekanan darah
170/110 mmHg, nadi 100 x/menit, pernafasan 20 x/menit, jantung dan paru dalam batas normal, tidak terdapat asites, dan
terdapat edema pretibial. Pemeriksaan obstetrik didapatkan tinggi fundus uteri 30 cm, presentasi kepala, denyut jantung
janin (DJJ) I: 190 x/menit, DJJ II: 186 x/menit, DJJ III: 185 x/menit, teratur, pembukaan serviks 1 cm, selaput ketuban utuh
dan panggul luas. Hasil laboratorium menunjukkan hemoglobin 11,2 gr%, trombosit 321.000/mm3, SGOT 35 u/L, SGPT 16
u/L, ureum 19 mg/dL, kreatinin 0,8 mg/dL, LDH 574 u/L, urinalisa protein +3. Pasien dilakukan stabilisasi selama 6 jam,
oksigenasi 5 liter/menit, injeksi magnesium sulfat 20% 4 gram intravena diikuti 6 gram dalam infus, nifedipin per oral 3x10
mg dan dilakukan terminasi kehamilan dengan seksio sesaria.",RG,medical profession journal of lampung university,2017-01-01,
FK1,"Hubungan Penggunaan Blemish Balm Cream Terhadap Kejadian Akne Vulgaris
Pada Remaja Putri Di SMA Negeri 10 Bandar Lampung","Akne vulgaris adalah salah satu masalah kulit yang sering terjadi pada remaja. Terdapat beberapa faktor dapat menyebabkan akne vulgaris seperti, genetik, hormonal, infeksi, trauma, diet, dan kosmetik yang mengakibatkan peningkatan aktivitas kelenjar sebasea. Blemish balm cream (BB Cream) merupakan salah satu kosmetik yang sering digunakan oleh remaja putri. Mengetahui hubungan penggunaan blemish balm cream terhadap kejadian akne vulgaris pada remaja putri di SMA Negeri 10 Bandar Lampung. Penelitian ini menggunakan desain penelitian kasus-kontrol retrospektif dengan teknik consecutive sampling. Subjek penelitian ini adalah remaja putri di SMA Negeri 10 Bandar Lampung. Data diperoleh langsung dari subjek penelitian melalui kuesioner dan pemeriksaan fisik. Hasil penelitian ini menunjukkan bahwa terdapat hubungan penggunaan blemish balm cream terhadap kejadian akne vulgaris. Hasil analisis pada kedua kelompok menggunakan uji Fisher didapatkan hasil (p-value <0,05) dan didapatkan nilai OR sebesar 32.",RG,Majority Medical Journal of Lampung University,2018-03,
FK1,Peningkatan Risiko Mikrosefali akibat Infeksi Virus Zika pada Kehamilan,"Zika virus has been the cause of the emergency of public health disease that is distrubing world, since being declared by
World Health Organization 
2016. This
disease spreads wider countinously to other countries with Aedes aegypti as the most common vector. There were five
cases of zika virus that had been found in Indonesia. The clinical manifestations that arise due to the disease are
maculopapular rash with itching, fever, no purulent conjunctivitis, poliarthralgia, and swelling around the joints. Atypical
symptoms, such as muscle pain, retro-orbital pain, vomiting, and hypertrophy of lymph nodes could be found also. Some
studies suggest that there is a relationship between increased risk of the fetus that was born with microcephaly and zika
virus infection in pregnant women. Microcephaly is a finding of the baby's head that is smaller than expected in infants of
the same sex and similar age. In Brazil between 2015 and mid-2016, it was found an increased prevalence of neonates that
were born with microcephaly. It is associated with an outbreak of zika virus infection in Brazil. The study suggests that in
electron microscope, it was seen the structure that showed viral replication in the fetal brain and they found the virus is in
amniotic fluid of fetus that were suffered from microcephaly.
Keywords: pregnancy, microcephaly, zika virus","R1, RG",MAJORITY,2017-03,"pregnancy, microcephaly, zika virus"
,Komplikasi pada Kehamilan dengan Riwayat Caesarian Section,"Beberapa tahun terakhir pilihan melahirkan dengan operasi Caesarian Section (CS) cenderung meningkat baik di negara maju ataupun di negara berkembang. Tindakan CS seharusnya hanya menjadi pilihan bagi tenaga medis dengan indikasi menyelamatkan ibu dan janin. Indikasi sosial menjadi salah satu alasan terbesar di banyak negara untuk melakukan
tindakan CS. Hal ini tentu membutuhkan perhatian khusus mengingat ibu dengan riwayat CS cenderung memiliki resiko kejadian komplikasi pada kehamilan berikutnya. Kehamilan dengan riwayat CS memiliki resiko lebih tinggi untuk mengalami berbagai komplikasi. Kejadian komplikasi pada kehamilan dengan riwayat CS berkaitan dengan terbentuknya jaringan parut uterus. Luka bekas CS akan mengalami perubahan selama proses kehamilan selanjutnya dimana bekas luka akan menipiskan daerah sekitar diikuti pelebaran bekas luka tersebut akibat adanya regangan. Hal ini membuat daerah SBR pada kehamilan dengan riwayat CS akan menjadi lebih tipis. Perubahan yang terjadi tersebut menjadi dasar bagaimana komplikasi seperti ruptur uteri, plasenta previa, plasenta akreta dan abruptio plasenta terjadi. Akan tetapi hal tersebut tidak menghilangkan kemungkinan untuk melakukan persalinan pervaginam pada ibu dengan riwayat CS. Persalinan Pervaginan pada Pasien Pernah Seksio Sesarea (P4S) memberikan keuntungan terkait angka morbiditas yang lebih rendah dan lama perawatan yang lebih singkat dibandingkan dengan pemilihan CS kembali. Kehamilan dengan riwayat CS
merupakan kehamilan dengan risiko tinggi sehinggga memerlukan pengawasan dan penatalaksaan khusus. Persalinan pada ibu dengan riwayat CS dapat dilakukan dengan dua cara yaitu perabdominam yaitu CS elektif atau percobaan persalinan pervaginam pada bekas CS (TOLAC).
Kata kunci: Kehamilan, Caesarian Section, P4S, TOLAC",RG,Jurnal Kesehatan dan Agromedicin,2019-10,
FK1,Aspirin dosis rendah sebagai upaya preventif untuk ibu yang beresiko tinggi terkena preeklampsia,"Pendahuluan: Preeklampsia merupakan salah satu penyebab utama kematian ibu hamil, janin, dan neonatus, terutama di negara-negara dengan pendapatan rendah dan sedang. Seorang ibu hamil dikatakan berisiko tinggi terkena preeklampsia bila memiliki riwayat preeklampsia sebelumnya, hipertensi kronis, diabetes mellitus, ataupun penyakit autoimun seperti systemic lupus erythematosus dan sindrom antifosfolipid. Komplikasi pada preeklampsia tentunya dapat meningkatkan angka mortalitas dan morbiditas ibu. Aspirin dosis rendah merupakan salah satu solusi untuk mencegah preeklampsia. 
Pembahasan: Aspirin bekerja dengan cara menginhibisi cycloocxygenase, yaitu suatu enzim yang bertanggung jawab untuk mengubah asam arkidonat menjadi prostaglandin. Enzim yang berperan dalam jalur cyclooxygenase yaitu COX-1 dan COX-2 (juga disebut prostaglandin H sintase) yang memediasi produksi prostaglandin, prostasiklin, dan tromboksan. Aspirin dapat menginhibisi COX-1 hanya dengan dosis rendah, sedangkan untuk COX-2 membutuhkan dosis yang lebih tinggi. COX-1 memediasi produksi TXA2 (tromboksan) yang meregulasi agragasi platelet dan vasokonstriksi sehingga dapat mencegah preeklampsia. Selain itu, pada kondisi hipoksia, aspirin juga dapat menginhibisi ekspresi sFlt-1 pada trofoblas, sehingga menunjukan efek proangiogenik pada obat ini. 
Simpulan: Pemberian aspirin dapat menjadi usaha preventif terhadap kejadian preeklampsia dengan dosis 75-150 mg perhari, sebaiknya diberikan malam hari pada ibu dengan usia gestasi 16-20 minggu diberikan sampai usia gestasi 36 minggu bagi pasien risiko tinggi preeklampsia.",RG,JIMKI,2020-02-28,
FP27,Peningkatan Kualitas Post Thawing Spermatozoa Epididimis Sapi Dengan Suplementasi Catechin Sebagai Antioksidan Pada Pengencer Semen,"Kualitas spermatozoa post thawing menjadi faktor penting keberhasilan proses fertilisasi pada Inseminasi Buatan pada sapi. Keberhasilan fertlisasi akan berpengaruh kepada pregnancy rate. Salah satu kematian sel yang diakibatkan oleh Reaction Oxygen Species (ROS) diduga dapat merangsang kejadian apoptosis eksogenik yang akan mengurangi kualitas spermatozoa sehingga diperlukan satu zat yang dapat menekan ROS sebagai antioksidan. Catechin dikenal sebagai antioksidan pada sel yang mampu mengurangi kematian akibat ROS, sehingga diharapkan dapat bekerja pada proses pembekuan maupun thawing spermatozoa yang kemungkinan mengakibatkan kematian sel. Tujuan penelitian ini untuk mengetahui efek penambahan catechin dari ekstrak teh hijau dengan konsentrasi 0,05%, 0,1% dan 0,15% pada pengencer Tris-kuning telur untuk meningkatkan kualitas spermatozoa epididimis sapi yang dikoleksi secara in vitro. Metode koleksi spermatozoa dilakukan dengan mencacah epididimis sapi pada Nacl fisiologis ditambah antibiotik. Pengencer Tris-Kuning telur dengan konsentrasi catechin yang berbeda ditambahkan ke dalam spermatozoa. Evaluasi motilitas dan prosentase hidup dilakukan secara mikroskopik. Hasil dari penelitian ini menunjukkan bahwa motilitas dan prosentase hidup pada pengencer catechin 0,05% , 0,1% dan 0,15% secara berturut-turut (7,5%; 27,25% ), (12,5%; 31,75% ) dan (20%; 41%) mempunyai angka yang lebih tinggi disbanding kontrol (5%; 26,5%) pada semua konsentrasi. Kesimpulan penelitian adalah penambahan catechin dari ekstrak teh hijau dengan konsentrasi 0,05%, 0,1% dan 0,15% pada pengencer Tris-kuning telur, mampu meningkatkan motilitas dan prosentase hidup spermatozoa epididimis sapi post thawing.

Kata Kunci : spermatozoa, epididimis sapi, antioksidan, catechin, post thawing","RG, SF",Jurnal ilmu Ternak,2013-12,
,"Wanita 30 Tahun, Multigravida Hamil 34 Minggu dengan Preeklampsia + Partial HELLP Syndrome","Preeklampsia adalah hipertensi yang timbul setelah 20 minggu kehamilan disertai proteinuria ≥ 300 mg/24 jam atau ≥1+ pada dipstick. Preeklampsia menjadi masalah kedokteran yang serius dan memiliki tingkat kompleksitas yang tinggi. Laporan kasus ini menjelaskan wanita 30 tahun G3P2A0 hamil 34 minggu belum inpartu datang dengan darah tinggi disertai sakit kepala dan pandangan kabur sejak 2 hari yang lalu. Keluhan mual muntah disangkal keluar air-air dan lender darah disangkal. Riwayat perut mulas-mulas menjalar ke pinggang disangkal. Pasien mengaku memiliki riwayat hipertensi sebelum hamil. Riwayat persalinan pertama pada 2005 secara normal, kedua pada 2010 secara sectio caesaria atas indikasi preclampsia dan letak lintang .. Dari pemeriksaan fisik didapatkan pasien tampak sakit sedang, kesadaran compos mentis. Tekanan darah pasien 220/150mmHg Nadi 120 x/m, Respirasi 22 x/m, Suhu 36,0C , edema pretibial. Status obstetric didapatkan dari pemeriksaan luar TIFUT 4 jbpx 26cm ,kepala,DJJ : 140x/menit, eff 0%,kuncup, H1, ketuban dan penunjuk belum dapat dinilai. Pemeriksaan penunjang dari darah rutin, urinalisis, kimia darah didapatkan Hb 11,9gr/dl, Ht 34%, Trombosit122.000/mm3, Protein 500 mg/dL( +2) , SGOT 26 U/L, SGPT 10 U/L, LDH 1, 391 IU/L. Pada pasien diberikan tatalaksana berupa, stabilisasi selama 3 jam, IVFD Ringer laktat gtt 20/menit, injeksi MgSO4 40% 10 cc intravena diikuti 15 cc dalam infuse, nifedipin 3 X 10 mg, deksametason 10mg/12 jam, dan terminasi secara sectio caesaria.
Kata kunci : HELLP syndrome, hipertensi, preeklampsia.",RG,Majority,2019-03-01,
