division,title,abstract,subjects,publication,date,keywords
FK1,"Diagnosis dan Tatalaksana Skrofuloderma pada Anak
dengan Infeksi Human Immunodeficiency Virus dan Gizi Buruk","Latar belakang: Skrofuloderma merupakan tuberkulosis (TB) kulit sekunder yang disebabkan Mycobacterium tuberculosis dan terjadi
perkontinuitatum. Skrofuloderma merupakan kasus yang jarang dan sering mengalami keterlambatan dalam diagnosis. Gambaran klinis
skrofuloderma dapat menyerupai penyakit infeksi kulit lainnya. Skrofuloderma diawali dengan timbul benjolan di area kelenjar limfe
yang makin membesar dan pecah membentuk ulkus dengan pinggir merah kebiru-biruan dan dinding bergaung. Pengobatan yang tidak
tepat dan ketidakpatuhan dapat menyebabkan resistensi kuman tuberkulosis sehingga tidak memberikan respon terapi yang baik.
Tujuan: melaporkan satu kasus pada seorang pasien anak dengan skrofuloderma dan Infeksi Human Immunodeficiency Virus (HIV) serta
gizi buruk. Kasus: seorang anak perempuan berusia 6 tahun dengan keluhan timbul benjolan-benjolan dan menjadi luka pada area
pinggang, perut bawah, dan lipat paha sejak 4 bulan yang lalu. Keluhan tidak nyeri atau gatal. Pada regio flank, suprapubik dan inguinal
sinistra tampak ulkus multipel, dangkal, bentuk iregular, tepi livide, dinding bergaung dan dasar bersih. Pada inguinal dextra tampak
nodul soliter, ukuran 3x4 cm, bewarna livide. Pada pemeriksaan rontgen thoraks terdapat gambaran TB paru dengan skoring TB
diperoleh skor 7. Pemeriksaan HIV diperoleh hasil reaktif. pasien menderita gizi buruk dengan berat badan/umur pasien kurang dari
80%. Pasien didiagnosis dengan skrofuloderma, TB paru, HIV, dan gizi buruk. Penatalaksanaan: pemberian obat oral antituberkulosis
(OAT) pada anak berupa rifampisin, isoniazid, pirazinamid, etambutol selama 2 bulan dan dilanjutkan dengan rifampisin dan Isoniazid
selama 4 bulan. Hasil terapi memberikan hasil baik. Kesimpulan: Skrofuloderma terjadi secara perkontinuitatum pada pasien anak
dengan TB paru dan dapat sembuh dengan pengobatan oral OAT.
Kata kunci: gizi buruk, HIV, skrofuloderma, tuberkulosis, obat antituberkulosis","RJ, RL",JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,2019,
FK1,Karakteristik Ibu Terkait Pemberian Stimulasi Motorik Kasar Anak Usia 0-12 Bulan di Posyandu di Kelurahan Penengahan Raya Kecamatan Kedaton Bandar Lampung,"Motorik Kasar merupakan salah satu aspek perkembangan anak yang harus dideteksi sedini mungkin untuk meminimalisir keterlambatan perkembangan anak. Usia < 3 tahun merupakan Golden Age Period dimana otak anak berkembang dengan pesat. Stimulasi merupakan salah satu metode yang dapat melatih perkembangan anak. Stimulasi pada usia 0-12 bulan sangat diperlukan guna mengoptimalkan perkembangan anak. Penelitian ini bertujuan meneliti karakteristik ibu terkait pemberian stimulasi motorik kasar anak usia 0-12 bulan di posyandu di Kelurahan Penengahan Raya Kecamatan Kedaton Bandar Lampung. Desain penelitian ini adalah deskriptif observasional terhadap 27 ibu yang memiliki anak usia 0-12 bulan di posyandu kelurahan Penengahan Raya kecamatan Kedaton. Data yang diambil berupa data primer yaitu kuisioner untuk menilai stimulasi ibu. Didapatkan jumlah ibu yang berusia 25-35 tahun sebanyak 18 orang dan berusia <25tahun sebanyak 9 orang. Untuk distribusi pekerjaan, ibu yang bekerja sebagai IRT sebanyak 23 orang, wirausaha 2 orang dan karyawati 2 orang. Untuk distribusi pendidikan terakhir, SD 1 orang, SMP 10 orang, SMA 14 orang dan perguruan tinggi 2 orang. Menurut stimulasi yang diberikan, 20 orang memberikan stimulasi cukup dan 7 orang memberikan stimulasi kurang Stimulasi motorik kasar untuk anak usia 0-12 bulan yang baik diberikan oleh ibu dengan usia 25-35 tahun, pekerjaan sebagai ibu rumah tangga dan pendidikan terakhir SMA.
Kata kunci: Anak usia 0-12 bulan, posyandu, stimulasi motorik kasar","R1, RJ","MEDULA, medicalprofession journal of lampung university",2019-07,
FK1,"Decreasing Zinc Levels in Stunting Toddlers in Lampung Province, Indonesia","Stunting is a condition of chronic malnutrition in children that causes the posture is not optimal and triggers other disorders such as deacreasing of immunity and intelligence. The level of adequacy of zinc is one of the factors that influence the incidence of stunting. Zinc is needed to activate and begin the synthesis of Growth Hormone (GH) so that children with zinc deficiency cause GH receptors to be disrupted and GH production to be resistant. This study aims to examine the decrease in zinc levels by looking at the difference in mean zinc levels in stunting and non-stunting toddlers. The research method was carried out observational analytic with a cross sectional approach used in this study. The study sample was 40 toddlers aged 24-60 months with 18 stunting toddlers and 22 non-stunting toddlers in Gunung Sugih District, Central Lampung Regency. The results of univariate analysis revealed that the average zinc level of toddlers serum was 52.60 ug / dl with the largest value of 76 ug / dl and the lowest value was 24 ug / dl. The results of bivariate analysis showed that there were significant differences in the mean zinc levels of stunting and non-stunting children (p = 0.01). The mean zinc content of stunting infants was 45.06 ± 12.21 lower than the mean zinc level of non-stunting infants 58.77 ± 12.98. There is a decrease in serum zinc levels in stunting toddlers compared to non stunting toddlers.

Keywords:

Chronic Malnutrition; Stabilizing Cell Membranes; Toddlers",RJ,Biomedical & Pharmacology Journal,2019-03,
FK1,Peran Zink terhadap Pertumbuhan Anak,"Zink adalah mineral esensial yang berperan dalam aktivasi dan sintesis hormon pertumbuhan (GH), menjaga kekebalan tubuh, sebagai antioksidan, berperan dalam fungsi pengecapan, serta stabilisasi membran sel. International Zinc Nutrition Consultative Group (IZincG) menunjukan prevalensi global defisiensi zink diperkirakan sebesar 31%. Defisiensi zink terjadi terutama pada populasi balita dan anak-anak yang dapat disebabkan oleh beberapa faktor seperti: (1) asupan yang tidak adekuat dan penyerapan yang terhambat; (2) kehilangan zinc yang berlebihan; (3) konsentrasi albumin dalam plasma. Anak dengan defisiensi zink dapat mengalami gangguan pertumbuhan yang disebabkan oleh terhambatnya efek metabolit GH sehingga sintesis dan sekresi Insulin Like Growth Factor 1 (IGF-1 ) berkurang. Defisiensi zink dapat megganggu fungsi kekebalan tubuh sehingga anak mudah terkena infeksi. Penyakit infeksi yang diderita anak menyebabkan absorbsi makanan dan nafsu makan menurun sementara kebutuhan tubuh semakin meningkat. Hal ini juga dapat mengakibatkan gangguan pertumbuhan. Suplementasi zink dinilai dapat berpengaruh terhadap pertumbuhan yang lebih baik karena konsumsi zink dapat menstimulasi nafsu makan, meningkatkan asupan energi serta meningkatkan massa bebas lemak pada tubuh
Kata kunci : pertumbuhan, zink, defisiensi zink","R1, RJ",Majority,2019-03,
,Karakteristik Bronkopneumonia pada Anak Balita dengan Penyakit Jantung Bawaan Asianotik di Bangsal Alamanda Rumah Sakit Abdul Moeloek Bandar Lampung,"Penyakit jantung bawaan merupakan salah satu penyakit yang sering terjadi kira-kira pada 10 dari 1000 anak yang lahir. Di Indonesia, presentase cacat jantung bawaan berkisar antara 0,8% sampai 1% dari jumlah kelahiran per tahun. Diperkirakan, terdapat 40.000 sampai 50.000 bayi lahir menderita cacat jantung bawaan setiap tahunnya. Infeksi menjadi masalah pada penyakit jantung bawaan asianotik khusunya infeksi saluran pernapasan bawah. Bronkopneumonia menjadi predisposi penyakit pada anak dengan penyakit jantung bawaan asianotik serta menjadi penyakit yang paling sering ditemukan pada anak dengan penyakit jantung bawaan asianotik. Penelitian ini menggunakan metode observasional dengan pendekatan cross sectional. Sampel penelitian sebanyak 27 subyek anak dengan penyakit jantung bawaan asianotik yang menderita bronkopneumonia usia 0-60 bulan yang dirawat di bangsal alamanda Rumah Sakit Abdul Moeloek Bandar Lampung periode Januari 2017-Oktober 2018 dengan metode total sampling. Data dikumpulkan dari rekam medis. Pada penelitian ini, anak perempuan lebih banyak daripada laki-laki (51,9%), subjek terbanyak berusia 12-<24 bulan (55,6%), anak dengan penyakit jantung bawaan asianotik terbanyak yang menderita bronkopneumonia yaitu DSA (33,3%), DAP (25,9%) serta DSV (14,8%) . Kata kunci : Penyakit Jantung Bawaan Asianotik, Bronkopneumonia, Anak","R1, RJ",Majority,2019-03,
FK1,Faktor-Faktor yang Berhubungan dengan Status Imunisasi Lanjutan Pentavalen (DPT-HB-Hib) di Wilayah Kerja Puskesmas Labuhan Ratu Kota Bandar Lampung Tahun 2018,"Imunisasi Pentavalen (DPT-HB-Hib) merupakan imunisasi lanjutan untuk mencegah penyakit difteri, pertusis, tetanus, hepatitis B, dan Haemophilus influenzae tipe b. Cakupan imunisasi lanjutan pentavalen terendah di Kota Bandar Lampung yaitu berada di wilayah kerja Puskesmas Labuhan Ratu dengan presentase 26,9%. Beberapa faktor yang dapat menyebabkan status kelengkapan imunisasi tersebut adalah pengetahuan ibu, sikap ibu, status pekerjaan ibu, status pendidikan ibu, keterjangkauan ketempat pelayanan kesehatan, dan peran tenaga kesehatan. Tujuan penelitian ini adalah untuk mengetahui faktor-faktor yang berhubungan dengan status imunisasi lanjutan pentavalen di wilayah kerja Puskesmas Labuhan Ratu Kota Bandar Lampung. Penelitian ini menggunakan metode analitik observasional dengan pendekatan cross sectional. Sampel penelitian sebanyak 42 responden yang berada di wilayah kerja Puskesmas Labuhan Ratu Kota Bandar Lampung dengan menggunakan metode purposive sampling. Hasil analisis univariat 42,9% responden memiliki status imuniasi lanjutan pentavalen lengkap dan 57,1% tidak lengkap. Hasil analisis bivariat diperoleh variabel yang berhubungan dengan kelengkapan status imuniasi lanjutan pentavalen di wilayah kerja Puskesmas Labuhan Ratu Kota Bandar Lampung yaitu pengetahuan ibu (p value 0,029), sikap ibu (p value 0,022) dan pekerjaan ibu (p value 0,014). Sementara variabel yang tidak berhubungan yaitu status pendidikan ibu (p value 0,384), keterjangkauan ketempat pelayanan kesehatan (p value 0,344) dan peran petugas kesehatan (p value 0,571). Kesimpulannya adalah pengetahuan ibu, sikap ibu, dan status pekerjaan ibu berhubungan dengan status imunisasi lanjutan Pentavalen di wilayah kerja Puskesmas Labuhan Ratu Kota Bandar Lampung tahun 2018.
Kata kunci: Pentavalen, faktor yang berhubungan",RJ,Majority,2020-07,
FK1,Hidrops Fetalis,"Hidrops fetalis adalah suatu kondisi patologis dimana terdapat penumpukan cairan jaringan lunak dan rongga serosa janin, dimana terdapat ≥ 2 akumulasi cairan abnormal pada fetus. Hidrops fetalis ini merupakan kasus yang serius yang pada janin dan memiliki prognosis yang buruk. Insidensi terjadinya hidrops fetalis diperkirakan 1 dalam 3000 kehamilan. Prevalensi penderita dari waktu ke waktu cenderung meningkat. Etiologi hidrops fetalis dapat dibagi menjadi 2, yaitu Immune Hydrops Fetalis (IHF) dan Non-Immune Hydrops Fetalis (NIHF). Sebelumnya, kasus hidrops fetalis ini didominasi oleh adanya isoimunisasi Rhesus yang berakibat pada kondisi fetal yang berat. Namun, setelah berkembangnya pengobatan dan diagnosis pada Rh-isoimunisasi, kebanyakan kasus hidrops disebabkan oleh kondisi nonimun. Salah satu penyebab hidrops nonimun adalah kelainan hematologi atau anemia. Anemia ini sendiri memliki beberapa faktor penyebab, antara lain, kelainan genetik, infeksi, malformasi vaskular, dan fetomaternal hemoragik. Alpha thalassemia adalah suatu kelainan darah yang menyebabkan penurunan produksi hemoglobin. Jenis yang paling berat adalah hemoglobin Bart (Hb Bart) sindrom hidrops fetalis. Alpha thalassemia adalah penyebab paling sering mendasari terjadinya hidrops fetalis pada negara di Asia Tenggara. Kasus ini adalah seorang wanita hamil 33 minggu dengan hidrops fetalis disertai kelainan hematologi berupa anemia. Laporan kasus ini menyoroti adanya keterkaitan antara anemia dengan hidrops fetalis serta penanganan pada kasus hidrops fetalis.
Kata Kunci: anemia, hidrops fetalis, kelainan hematologi","RG, RJ",Majority,2020-07,
FK1,Diatesis Hemoragik e.c Suspek Hemofilia pada Anak Laki-Laki 8 Tahun,"Diatesis hemoragik merupakan keadaan patologi yang timbul akibat kelainan faal hemostasis. Salah satu penyakit akibat kurangnya faktor koagulasi adalah hemofilia. Diatesis hemoragik akibat kelainan vaskuler, defisiensi atau disfungsi trombosit dan kurangnya faktor koagulasi. Hemofilia adalah salah satu penyakit akibat gangguan produksi faktor
pembekuan yang diturunkan. Pasien hemofilia mencakup 63% seluruh pasien dengan kelainan perdarahan. Manifestasi klinis hemofilia yaitu perdarahan yang sukar berhenti. Pasien anak laki-laki, usia 8 tahun 5 bulan, datang dengan keluhan gusi berdarah yang sukar berhenti sejak 1 hari yang lalu. Pasien mengaku sebelum gusi berdarah merasakan bahwa giginya goyang. Enam bulan yang lalu pasien mengalami perdarahan pada gusi yang sukar berhenti setelah melakukan pencabutan gigi oleh dokter gigi. Pada waktu itu, gusi yang berdarah tidak kunjung mengering. Dari pemeriksaan fisik keadaan umum tampak sakit sedang, kesadaran komposmentis, konjungtiva anemis (-/-) sklera ikterik (-/-), gusi berdarah (+), abdomen datar (+), nyeri tekan (-), hepar dan lien tidak teraba pembesaran. Pada ektremitas tidak ditemukan memar, purpura serta
pucat (-). Pada pemeriksaan penunjang laboratorium, trombosit 270.000/uL dan PT: 16,8 detik, APTT: 75,1 detik. Penatalaksanaan terdiri dari non medikamentosa meliputi rest, ice, compression, elevation pada lokasi yang mengalami perdarahan, edukasi dan memberikan dukungan psikososial bagi pasien dan keluarganya. Penatalaksanaan edikamentosa
berupa injeksi asam traneksamat 250mg/8jam dan transfusi Fresh Frozen Plasma (FFP) 2x150cc. Setelah itu, pasien dirujuk ke rumah sakit Cipto Mangunkusumo untuk melakukan pemeriksaan kadar faktor VIII dan faktor IX.

Kata kunci: defisiensi faktor koagulasi, diatesis hemoragik, hemofilia",RJ,Jurnal Agromedicine,2017-06,
FK1,A 1 Month Old Boy With Intracranial Hemorrhage Post Craniotomy and Left Lung Atelectasis : A Case Report,,RJ,,2019,
FK1,Asma Bronkial pada Anak,"Batasan asma menurut Global Initiative for Asthma (GINA) adalah penyakit heterogen berupa inflamasi kronik saluran nafas. Gejala penyakit ini berupa mengi, sesak napas, dada terasa berat, dan batuk yang bervariasi serta keterbatasan aliran udara yang bervariasi.Wheezing berulang dan / atau batuk kronik berulang merupakan titik awal untuk menegakkan diagnosis. Pemeriksaan penunjang untuk menegakkan diagnosis seperti uji fungsi paru. Penyakit ini dapat diklasifikasikan menjadi asma episodik jarang, episodik sering serta persisten. Sedangkan saat serangan dibagi menjadi asma serangn ringan, sedang, berat dan ancaman henti napas. Tujuan tatalaksana asma anak secara umum adalah untuk menjamin tercapainya potensi tumbuh kembang anak secara optimal. Kata kunci : asma, GINA, wheezing",RJ,JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,2019-03,
