division,title,abstract,subjects,publication,date,keywords
FK1,Penyakit Jantung Rematik pada Anak Laki-laki Usia 8 Tahun,"Gagal jantung adalah keadaan ketidakmampuan jantung untuk memompa cukup darah ke seluruh tubuh sesuai dengan
pemenuhan kebutuhan tubuh. Pada anak, salah satu etiologi paling sering penyebab gagal jantung adalah penyakit jantung
rematik yang merupakan sekuel dari demam reumatik, suatu infeksi yang diakibatkan Streptococcus grup A. Seorang anak
laki-laki usia 8 tahun datang dengan keluhan sesak napas saat beraktivitas, batuk berdahak, nyeri sendi, demam ringan yang
hilang timbul, dan pembesaran skrotum yang mulai dirasakan sejak 1 bulan sebelum masuk rumah sakit. Pada pemeriksaan
fisik didapatkan frekuensi nadi 110x/m, frekuensi napas 32 x/m, terdapat peningkatan Jugular Venous Pressure (JVP),
murmur pansistolik dengan derajat 4/6 disertai thrill, pembesaran batas jantung, ronki basah halus pada seluruh lapang
paru, hepar teraba membesar dengan tepi tumpul dan pembesaran skrotum konsistensi lunak namun tidak hiperemis. Pada
pemeriksaan penunjang hasil laboratorium menunjukkan peningkatan laju endap darah (LED), anti-streptolisin O (ASTO)
positif dengan C- Reactive Protein (CRP) kuantitatif >12 mg/L; foto toraks menunjukkan kesan kardiomegali; pemanjangan
interval PR pada elektrokardiografi (EKG) dan hasil ekokardiografi menunjukkan regurgitasi mitral beratet causa Rheumatic
Heart Disease (RHD) dan regurgitasi mitral ringan. Pasien didiagnosa dengan penyakit jantung rematik dengan gagal jantung
New York Heart Association (NYHA) II. Pasien diberikan tatalaksana tirah baring dan oksigenasi, diuretik, Angiotensin
Converting Enzyme Inhibitor (ACEI), antibiotik, dan steroid.",RJ101,Medula,2017-04,
FK1,Paparan Prenatal Valproat dan Autism Spectrum Disorder (ASD) pada Anak,"Autism spectrum disorder adalah gangguan perkembangan pervasif dengan karakteristik keterlambatan dan penyimpangan dalam perkembangan keterampilan sosial, bahasa dan komunikasi, serta perilaku. Center for Diseases Control and Prevention (CDC) di Amerika Serikat pada bulan Maret 2013 melaporkan bahwa prevalensi autis meningkat menjadi 1:50 dalam kurun waktu satu tahun dengan mayoritas penderita adalah anak laki-laki. Penyebab pasti autisme sampai saat ini belum diketahui pasti walaupun banyak faktor yang diperkirakan memiliki peran dalam etiologi, pencetus, dan peningkatan risiko gangguan ini. Pendapat ahli menyatakan bahwa genetik dan lingkungan adalah faktor utama dan paparan prenatal valproat merupakan salah satu diantaranya. Valproat adalah obat yang digunakan untuk terapi epilepsi generalisata terutama bangkitan lena dan sindrom bipolar episode manik. Mekanisme kerja obat ini yaitu dengan meningkatkan daya konduksi membran kalium sehingga terjadi hiperpolarisasi potensial istirahat membran neuron. Beberapa penelitian mengenai hubungan paparan prenatal valproat terhadap perkembangan neuron anak menunjukkan hasil bahwa valproat dapat meningkatkan risiko munculnya autism spectrum disorder dan beberapa gangguan perkembangan neurologik lain pada anak, seperti gangguan bahasa, gangguan pengenalan lingkungan, dan penurunan skor IQ pada anak.",RJ101,MAJORITY,2016-09,
FK1,"Nebulisasi NaCl 3% Lebih Efektif daripada NaCl 0,9% pada Bronkiolitis Akut","Bronkiolitis akut adalah infeksi saluran pernapasan yang sering ditemukan pada anak di bawah usia 2 tahun. Penyakit ini merupakan salah satu penyakit yang banyak menyebabkan anak harus dirawat di rumah sakit. Karena hampir seluruh kasus bronkiolitis akut disebabkan oleh virus (terutama respiratory syncytial virus atau RSV), maka terapi yang umum diberikan adalah terapi suportif yang meliputi terapi oksigen serta pemenuhan kebutuhan cairan dan nutrisi yang adekuat. Terapi lain yang dapat diberikan adalah terapi farmakologis seperti golongan bronkodilator, kortikosteroid dan antiviral meskipun tidak rutin pada semua kasus. Pemberian terapi nebulisasi cairan hipertonik NaCl 3% (hipertonik salin) telah ditunjukkan oleh beberapa penelitian memiliki efek menguntungkan pada penderita bronkiolitis akut. Diketahui bahwa cairan hipertonik mampu menarik cairan dari ruang adventisia dan submukosa, menurunkan edema saluran pernapasan, menekan mediator inflamasi dan viskositas mukus serta meningkatkan klirens mukosilier. Selain itu, cairan hipertonik juga memiliki efek imunomodulator. Seluruh mekanisme inilah yang pada akhirnya menyebabkan perbaikan pada gejala yang dialami oleh pasien. Pada artikel ini, kami akan membahas manfaat nebulisasi NaCl 3% yang lebih efektif digunakan daripada NaCl 0,9% (normal salin) pada bronkiolitis akut.",RJ101,Majority,2017-07,
FK1,"Glomerulonefritis Akut Pasca Streptokokus dengan Krisis Hipertensi pada
Anak","Glomerulonefritis adalah penyakit ginjal yang menunjukan suatu inflamasi dan proliferasi sel glomerulus yang apabila
menyerang anak biasanya didahului oleh infeksi streptokokus beta hemolitikus grup A dan ditandai dengan gejala nefritik.
An. T, 10 tahun datang ke rumah sakit dengan keluhan bengkak pada wajah terutama disekitar mata dan saat bangun tidur,
buang air kecil berwarna kemerahan seperti cucian daging, jumlah air seni berkurang, disertai mual, muntah, pusing, dan
pandangan kabur. Riwayat demam, batuk, dan sakit tenggorokan dua minggu sebelumnya. Pemeriksaan fisik ditemukan
tekanan darah 150/110 mmHg, edema di wajah, visus okuler dekstra dan sinistra (ODS) menurun. Pemeriksaan urinalisis
didapatkan laboratorium warna merah, kejernihan keruh, protein 100 mg/dl, darah samar 300 Ery/μi, sedimen eritrosit 20-
30/LP 400 x/LBP. Pemeriksaan kimia darah albumin 3,5 gr/dL, ureum 40 mg/dL, kreatinin 1,10 mg/dL, pemeriksaan anti
streptolisin O (ASTO) (+), dan CRP (+). Berdasarkan klinik tersebut pasien didiagnosis dan ditatalaksana sesuai penanganan
glomerulonefritis akut pasca streptokokus (GNAPS) dengan krisis hipertensi.
Kata kunci: edema, glomerulonefritis, krisis hipertensi",RJ101,Medical profession journal of lampung university,2017-04,
FK1,"Structural Equality Model the Influence of Socio-Cultural and 
Socio-Economic Status on Postpartum Status in Way Kanan District","Objective: This study aims to explain postnatal health status which is influenced by socio-cultural, 
socio-economic conditions, and health services in the family.
Methods: The research location is in Way Kanan, Lampung Province, using quantitative 
descriptive methods. Housewives who live in Way Kanan in 2015 – 2020 as a population. The 
sample size assumes the number of question indicators in the questionnaire (31 indicators), each 
indicator assumes 5-10 respondents. Analysis of the influence between variables and indicators 
using SEM (structural equation modeling) analysis.
Findings: Economic status has a positive effect on the health of the home environment and 
maternal health during pregnancy. Socio-culture has a positive effect on the health of the home 
environment, the health of pregnant women, and postpartum health status. The health of the home 
environment has a positive effect on postnatal health status. Postnatal health status is influenced by 
socio-economic, socio-cultural, health services, and environmental health (84.1%), while the rest 
(15.9%) is influenced by other factors.
Conclusion: The better the economic status of the family, the better the health condition of the 
home environment. The better the socio-cultural support will improve the health condition of the 
home environment. The better the economic status of the family, the health during pregnancy will 
increase. Support for good socio-cultural aspects will improve postnatal health status. The better 
the health condition of the home environment, the better the postnatal health status.",RJ101,RA JOURNAL OF APPLIED RESEARCH,2022-06-13,
FK1,PEMBUATAN PRODUK MINUMAN HERBAL KELUARGA DARI JAHE DI DESA DWI WARGA TUNGGAL JAYA KABUPAEN TULANG BAWANG,"Minuman herbal merupakan minuman berbahan dasar bagian tumbuhan yang berkhasiat bagi tubuh. Salah satu 
tumbuhan berkhasiat yang dapat diolah menjadi minuman herbal yaitu jahe merah. Pengabdian kepada ini 
bertujuan untuk meningkatkan pengetahuan dan ketrampilan dengan mengembangkan produk minuman herbal 
berbahan jahe merah. Beberapa senyawa kimia aktif dalam rimpang jahe yang berefek farmakologis terhadap 
kesehatan, antara lain minyak atsiri dengan kandungan zat aktif zingiberin, kamfena, lemonin, borneol, shogaol, 
sineol, fellandren, zingiberol, gingerol, dan zingeron. Sebagai bahan obat tradisional, jahe memiliki khasiat untuk 
mencegah dan mengobati berbagai penyakit, seperti impoten, batuk, pegal-pegal, kepala pusing, rematik, sakit
pinggang, masuk angin, bronchitis, nyeri lambung, nyeri otot, vertigo, mual saat hamil, osteoarthritis, gangguan 
sistem pencernaan, rasa sakit saat menstruasi, kadar kolesterol jahat dan trigliserida darah tinggi, kanker, sakit jantung, fungsi otak terganggu, Alzheimer, penyakit infeksi, asma, produksi air susu ibu terganggu, gairah 
seksual rendah, dan stamina tubuh rendah. Proporsi pada minuman herbal jahe dan gula batu.","RA, RA0421, RJ101",BUGUH : Jurnal Pengabdian Kepada Masyarakat,,
FK1,A 1-month-old boy child with intracranial hemorhage post craniotomy and left lung atelactasis,Bacground : to report a-1 month old boy child who suffered from intracranial hemorhage and then he underwent,RJ101,,2019-03,
FK1,"REGRESSION MODELING OF AFTER-BIRTH CHILD HEALTH STATUS TO STUNTING EVENTS IN WAY KANAN DISTRICT, LAMPUNG PROVINCE, INDONESIA","All children have the right to a decent living, including their health status, growing and developing. The government has made various efforts to improve maternal and child health through immunization programs, maternal, child health services, and nutrition improvement programs. Several determinants interact with stunting. The health status of children is very important, and infectious diseases are straightforward to transmit. This infection is very contagious and infects the body of malnourished children, and sick children will reduce their appetite. This study case aims to explain the effect of modelling the health status of children under two years old on the incidence of stunting. The descriptive analytic method uses a case-control design, with the main population in this study being toddlers aged 2-3 years, uses multiple logistic regression tests. In the health status of children aged less than two years old, the most influential variables were the status of completeness of immunization (OR=104) and the following order of clean living behavior at the household level (OR=33), complementary feeding (OR= 23), the tradition of leaving children (OR=10), birth weight (OR=9), active in Integrated Healthcare Center (OR=8), knowledge of using MCH handbooks (OR=5), age to stop breastfeeding (OR=4), gestational age (OR=4 ), and length of birth (OR=3). In the model equation, the variable of immunization status is the variable that has the most significant influence on the incidence of stunting. Immunization protects not only individuals but also the broader community through the benefits of herd immunity. All factors related to the health status of children under two years of age and knowledge of mothers during pregnancy are associated with using maternal-child health books and a history of anemia during pregnancy, so children in Way Kanan have experience with 99.9% chance of reduction in stunting.","RA0421, RJ101",Malaysian Journal of Public Health Medicine,2023-06-02,
FK1,Multilevel Analysis of Health Services in the Stunting Prevention Program in Central Lampung District,"Stunting is a condition of chronic malnutrition accompanied by complications of infectious diseases, which has a harmful impact in the short term risky and easy to get sick in children and long term impact in adulthood. They are at risk of having chronic diseases with low severity. Maternal and child health services affect the incidence of stunting, and the Indonesian government intervenes in maternal and child health service programs, as is the case with the local government of Central Lampung Regency. The mother’s response to the mother-child health service program can affect the child’s health status, including the child’s stunting status. This study analyzes the maternal-child health service program carried out by the service unit in the village for the mothers of children under five to prevent stunting in the work area of Central Lampung District. The method used is a quantitative analysis using multiple linear regression analysis. The data were collected through interviews and observations of mothers of children under five, totaling 198 respondents in the stunting locus village, Central Lampung Regency. The sample was determined using a simple random selection of both cases and controls. There was an effect of intervention efforts to prevent mother-child stunting at the village level for mothers of children under five, with a practical value of 14.5%. This situation means that the intervention efforts of the mother-child health service program on stunting prevention by the local government of Central Lampung Regency carried out by health workers and cadres in the village have succeeded in providing a positive response to mothers of children under five by 14.5%. Another factor that affected the reaction of mothers of children under five is 75.4%. Further research is still needed on these other factors.","RA, RJ101",Nongye Jixie Xuebao Transactions of the Chinese Society of Agricultural Machinery,2022-11-03,
FK1,"The Influence of Local Culture on Mothers During Pregnancy on 
Stunting Incidence","Introduction: Dietary taboos and maternal beliefs and practices during pregnancy can hurt the culture 
of the mother and the fetus she contains so that the baby is malnourished and at risk of stunting.
Methods: This study used an observational method with a case-control design. The sampling technique 
was simple random sampling with mothers under-five aged 24-59 months as respondents at Candi Rejo 
Health Center, Central Lampung Regency with a total of 114 respondents. The independent variables 
of the study were the behaviour of maternal dietary restrictions during pregnancy and the beliefs of the 
mother's cultural practices during pregnancy on the incidence of stunting.
Results, Discussion: The largest age group for toddlers is 24-35 months, and the biological mother's 
age ranges from 20-38 years. Chi-square statistical test, the effect of maternal dietary restrictions during 
pregnancy on the incidence of stunting at Candi Rejo Health Center, Lampung Regency, Odd Ratio 
72.25. The chi-square statistical test showed that the behaviour of carrying out maternal cultural beliefs 
and practices during pregnancy on the incidence of stunting at the Candi Rejo Health Center, Lampung 
Regency with an Odds Ratio of 88,400. Pregnant women who abstain from eating fish are believed by 
the public that milk will smell fishy.
Conclusion: There is an effect of dietary restrictions on pregnant women on the incidence of stunting 
and the influence of maternal cultural beliefs during pregnancy on the incidence of child stunting.",RJ101,Journal of Positive Psychology & Wellbeing,2022-06-13,
