division,title,abstract,subjects,publication,date,keywords
FK1,"Hubungan Orientasi Seksual dengan Penyakit Kondiloma Akuminata pada Pasien HIV di Rumah Sakit Rujukan Tersier Provinsi Lampung
Dwi Indria Anggraini1*, Muhammad Syafei Hamzah1, Hendra Tarigan Sibero1, Yulisna1, Yustisya Khoirunnisa2
1Dermatology and Venereology Department, Faculty of Medicine Lampung University/RSUD dr. H. Abdul Moeloek Provinsi Lampung
2Medical Professional Study Program, Faculty of Medicine Lampung University","Kondiloma Akuminata (KA) adalah salah satu jenis infeksi menular seksual (IMS) yang disebabkan oleh virus Human Papilloma Virus (HPV). Infeksi HIV merupakan faktor predisposisi pada infeksi HPV. Penderita KA dengan HIV dipengaruhi beberapa faktor, antara lain cara hubungan seksual, jumlah pasangan seksual, penggunaan kondom, orientasi seksual dan perilaku merokok. Penelitian ini bertujuan untuk mengetahui hubungan orientasi seksual dengan penyakit kondiloma akuminata pada pasien HIV di Rumah Sakit Rujukan Tersier di Provinsi Lampung. Penelitian ini menggunakan desain kasus control dengan jumlah sampel 112 orang yang terdiri dari 56 orang kondiloma akuminata dan 56 non kondiloma akuminata. Sampel penelitian adalah pasien baru HIV yang tercatat dalam data rekam medik kunjungan rawat jalan di RSUD Dr. H. Abdul Moeloek Provinsi Lampung pada periode 2017 hingga 2019. Penelitian ini menunjukkan terdapat 11,6% pasien HIV stadium I; 26,8 % pasien HIV stadium II; 38,4%pasien HIV stadium III; 23,2% pasien HIV stadium IV/AIDS. Orientasi seksual terdiri dari 50,9% homoseksual, 40,2% heteroseksual, dan 8,9% biseksual. Analisis statistik menggunakan uji Chi-square antara orientasi seksual dengan penyakit kondiloma akuminata pada pasien HIV (nilai p=0,01). Terdapat hubungan antara orientasi seksual terhadap penyakit kondiloma akuminata pada pasien HIV/AIDS.",RL,"Jurnal Kedokteran dan Kesehatan, Publikasi Ilmiah Fakultas Kedokteran Universita Sriwijaya",2022-04,
FK1,Penatalaksanaan Skabies pada Anak Usia 1 Tahun,"Skabies merupakan penyakit kulit akibat infestasi tungau Sarcoptes scabiei. Penyakit skabies dapat menyerang anak dan
dewasa. Pada kasus ini penyakit skabies terjadi pada anak N, perempuan, 1 tahun, datang dengan keluhan gatal pada tubuh
sejak 2 bulan lalu. Berdasarkan anamnesis gatal dirasakan terutama pada malam hari di daerah  sela jari tangan,
pergelangan tangan,  bawah perut, dan tungkai. Anggota keluarga lainnya yang tinggal serumah juga memiliki keluhan yang
serupa yaitu ibu pasien. Status dermatologik ditemukan pada seluruh tubuh terutama di daerah interdigitalis, antebrachii,
dibawah umbilicus, dan pedis. Terdapat papul multipel berukuran milier warna kulit sebagian eritematosa. Selain itu juga
terdapat pustul, erosi, dan ekskoriasi yang ditutupi krusta merah kehitaman. Tidak dilakukan pemeriksaan penunjang pada
pasien. Tatalaksana yang diberikan pada pasien yaitu edukasi dan medikamentosa salep 24. Aspek internal dan lingkungan
yang mungkin berpengaruh pada perkembangan skabies pada pasien adalah higienitas personal dan lingkungan yang
kurang.","RA0421, RL","MEDULA, medicalprofession journal of lampung university",2016-05,
FK1,Hubungan Penggunaan Blemish Balm Cream Terhadap Kejadian Akne Vulgaris  Pada Remaja Putri Di SMA Negeri 10 Bandar Lampung,"Hubungan Penggunaan Blemish Balm Cream Terhadap Kejadian Akne Vulgaris  Pada Remaja Putri Di SMA Negeri 10 Bandar Lampung 
 
Ria Andriana1, Dwi Indria Anggraini2, Ratna Dewi Puspita Sari3, Diana Mayasari4 1Fakultas Kedokteran, Universitas Lampung 2Bagian Ilmu Penyakit Kulit dan Kelamin, Fakultas Kedokteran, Universitas Lampung 3Bagian Obstetri dan Ginekologi, Fakultas Kedokteran, Universitas Lampung 4Bagian Ilmu Kedokteran Komunitas, Fakultas Kedokteran, Universitas, Lampung 
 
Abstrak Akne vulgaris adalah salah satu masalah kulit yang sering terjadi pada remaja. Terdapat beberapa faktor dapat menyebabkan akne vulgaris seperti, genetik, hormonal, infeksi, trauma, diet, dan kosmetik yang mengakibatkan peningkatan aktivitas kelenjar sebasea. Blemish balm cream (BB Cream) merupakan salah satu kosmetik yang sering digunakan oleh remaja putri. Mengetahui hubungan penggunaan blemish balm cream  terhadap kejadian akne vulgaris pada remaja putri di SMA Negeri 10 Bandar Lampung. Penelitian ini menggunakan desain penelitian kasus-kontrol retrospektif dengan teknik consecutive sampling. Subjek penelitian ini adalah remaja putri di SMA Negeri 10 Bandar Lampung. Data diperoleh langsung dari subjek penelitian melalui kuesioner dan pemeriksaan fisik. Hasil penelitian ini menunjukkan bahwa terdapat hubungan penggunaan blemish balm cream terhadap kejadian akne vulgaris. Hasil analisis pada kedua kelompok menggunakan uji Fisher didapatkan hasil (p-value <0,05) dan didapatkan nilai OR sebesar 32. 
 
Kata Kunci :  Akne Vulgaris, Blemish Balm Cream, Remaja .  
 
 
The Corelation Between Application of Blemsih Balm Cream on Acne Vulgaris In Young Women In Sma Negeri 10 Bandar Lampung 
 
Abstract Acne vulgaris is one of the most common skin problems in teenagers. There are several factors that can cause acne vulgaris such as, genetic, hormonal, infection, trauma, diet, and cosmetics that result in increased activity of sebaceous glands. Blemish balm cream (BB Cream) is one of the most frequently used cosmetics by teenagers. The purpose of this study is to know the corelation of using blemish balm cream to the occurrence of acne vulgaris in young women in SMA Negeri 10 Bandar Lampung. This research was using retrospective case-control research design with consecutive sampling. The subjects of this research were girls in SMA Negeri 10 Bandar Lampung. The data were obtained directly from the research subjects through questionnaires and physical examination. The results of this study indicate that there is an association of the use of blemish balm cream against the occurrence of acne vulgaris. The result of analysis in both groups using Fisher test got the result of (p-value <0,05)  and got OR value 32. 
 
Keywords :  Acne Vulgaris, Blemish Balm Cream, Young Women.  
 
 
 
 
Korespondensi: Ria Andriana, alamat Jln. Ryacudu Gang. Pembangunan A6 No 147 Sukarame, HP. 082280586172,  e-mail riaandriana147@gmail.com.",RL,Majority,2018-03,
FK1,Comparison Between Moisturizing Cream Containing 10% Urea and 10% Lanolin in Petrolatum in Skin Hydration Improvement among Elderly,"Inadequate xeros is treatment may result in complications. This study aimed to comparing the efficacy and side effects of moisturizing cream containing 10% urea and 10% lanolin in petrolatum for the treatment of xerosis in elderly.A randomized, double blind clinical trial was conducted in 35 elderly from a nursing home in Jakarta. Evaluation of skin capacitance (SC),specified symptoms sum score(SSRC), and pruritic degree were measured at baseline, week-2 and -4 after the start of therapy. Followinga 2-week preconditionperiod, eachsubjectreceivedarandommoisturizer for each limb, to be applied twice daily.Thepercentageof SC increaseatweek-4 was significantly higher in limb receiving cream containing 10%urea than 10% lanolin/petrolatum (64.54% vs. 58.98%; p=0.036). Thepercentage of SSRC decreaseatweek-4 did not differ between groups (100%; p=0.089). Pruritus was equally improved in both groups at week-2, and completely diminishedatweek-4. Overall, the most frequent side effect was sticky feel, more common, but not statistically significant, in 10% lanolin/petrolatum group.Afterfour- week application moisturizer containing 10% urea gave higher percentage of SC increase than 10% lanolin/petrolatum in the xerotic limbs of the elderly. Sticky feeling was more frequently found in 10% lanolin/petrolatum group, butstatisticallynotsignificant.",RL,Biomedical & Pharmacology Journal,2020,
FK1,Dermatitis Kontak Iritan Kronis pada Pegawai Laundry,"Dermatitis kontak iritan (DKI) merupakan peradangan pada kulit akibat efek sitotosik langsung dari bahan kimia, fisik atau agen biologis pada sel-sel epidermis tanpa adanya produksi dari antibodi spesifik. Dilaporkan kasus seorang perempuan berusia 17 tahun, bekerja sebagai pegawai laundry, dengan diagnosis DKI kronis. Pada pemeriksaan klinis di regio kedua tangan terdapat makula hiperpigmentasi difus multipel bentuk ireguler ukuran plakat terdapat skuama putih. Terapi topikal berupa hidrokortison salep diberikan 2x/hari, terapi sistemik diberikan cetrizin 1x10 mg/hari. Komunikasi, informasi dan edukasi sebagai upaya penanggulangan DKI kronis perlu dijelaskan kepada pasien.",RL,"MEDULA, medicalprofession journal of lampung university",2017-06,
FK1,Nekrolisis Epidermal Toksik: Laporan Kasus pada Pasien Geriatri,"Nekrolisis Epidermal Toksik (NET) ialah reaksi mukokutan akut yang ditandai dengan nekrosis dan pengelupasan epidermis >30% luas permukaan badan (LPB), disertai rasa sakit dan dapat menyebabkan kematian. NET dibedakan dengan Sindrom Steven Johnson (SSJ) dari luas permukaan tubuh yang mengalami epidermolisis. Pada SSJ, hanya terdapat epidermolisis sebesar <10% LPB. Seorang perempuan usia 68 tahun dengan keluhan kulit merah kehitaman yang semakin meluas dan mengelupas pada hampir seluruh bagian tubuh sejak 2 hari yang lalu. Sebelumnya pasien meminum obat yang dibeli di warung 4 hari yang lalu dan minum obat dari bidan 3 hari yang lalu. Pada pemeriksaan fisik generalisata ditemukan makula- plak eritematosa kehitaman multipel, ukuran numular-plakat, batas tegas dan disertai epidermolisis >30%. Pasien didiagnosis nekrolisis epidermal toksik. Tatalaksana pasien yaitu: 1) menghentikan pengobatan yang diduga sebagai penyebab; 2) edukasi pasien untuk menghindari memanipulasi lesi; 3) kompres NaCl 0,9%; 4) burnazin gel; 5) metilprednisolon 62,5 mg / 12 jam; 6) seftriakson 1 gram / 12 jam; 7) cetirizin.",RL,J AgromedUnila,2017-06,
FK1,Penggunaan Ester Asam Fumarat Oral Dalam Pengobatan Kasus Dermatologi,"Introduction: Oral fumaric esters acid (FAE) are interesting compounds in the field of dermatology. FAE works on skin cells and cytokine tissue. So far only a mixture of dimethylfumarate (DMF) and monoethylfumarate (MEF) has been approved for oral treatment of moderate to severe plaque psoriasis.
Objective: To determine the use of oral fumaric acid esters (FAE) in the treatment of dermatology
Method: The article was prepared using the literature review method, involving 34 literature sourced from books and journals.
Results: DMF appears to be a major active component. It is important to emphasize the difference between fumaric acid and fumaric acid esters. Fumaric acid formulations are available as health supplements and are often marketed as natural alternative medicines for treating psoriasis. However, it is poorly absorbed by the intestine and excreted through urine without having any therapeutic effect",RL,"JIMKI Jurnal Ilmiah Mahasiswa Kedokteran Indonesia. Volume 4 Nomer 2, Juli-Desember 2016.",2020-08-01,
FK1,Psoriasis Pustulosa Generalisata: Tinjauan Kasus Pada Geriatri,"Psoriasis adalah penyakit imunitas kronik pada kulit ditandai dengan adanya percepatan pertukaran sel epidermis dan proses keratinisasi yang lebih cepat. Psoriasis memiliki berbagai macam manifestasi klinis, salah satunya adalah Psoriasis pustulosa generalisata (PPG) yang memiliki gambaran erupsi pustul steril. Laporan kasus ini bertujuan untuk menegakkan diagnosis dan tatalaksana PPG. Kasus, seorang perempuan 75 tahun mengeluhkan timbulnya bintil berisi nanah di hampir seluruh tubuh sejak empat hari yang lalu disertai rasa panas dan gatal. Beberapa bintil tampak bersatu membentuk gambaran menyerupai danau, sebagian tampak plak eritem dengan skuama kuning berminyak. Pasien memiliki riwayat hipertensi, penggunaan obat anti nyeri, dan penghentian steroid secara mendadak. Berdasarkan anamnesis, pemeriksaan fisik dan penunjang, ditegakkan diagnosis psoriasis pustulosa generalisata. Tatalaksana yang diberikan berupa kortikosteroid metilprednisolon injeksi intravena 31,25 mg/12 jam, ranitidin injeksi intravena 50 mg/12 jam, cetirizine peroral 1x10 mg, betametason valerat cream 0,1% dalam campuran urea 10% cream.",RL,"MEDULA, medicalprofession journal of lampung university",2020-01-30,
FK1,Tatalaksana Oral Non-Antimikroba Pada Pasien Akne Vulgaris,"ntroduction: Acne vulgaris (acne) is a non-infectious skin condition that is very common and often comes in dermatological practice. Because acne often appears chronic and can last for years, safe and effective long-term therapy is needed. Given the increasingly frequent antibiotic-resistant bacteria and the severity of the consequences if there is resistance, dermatologists are needed to maximize the use of non-antimicrobial therapy when treating patients with acne.
Objective: To find out which oral non-antibiotic drugs can be used for acne vulgaris therapy
Method: The article was prepared using the literature review method, involving 32 literature sourced from books and journals.
Results: The emergence and potential transfer of antibiotic resistance in skin microorganisms is of current concern in treatment especially in the context of dermatology where long-term treatment with antibiotics",RL,JIMKI,,
FK1,Terapi Imunologi Pada Melanoma,"Introductions: Immunotherapy for cancer is used based on the principle of the disease that the immune system is able to produce an immune response to tumor cells. Treatment is currently available for selective melanoma patients based on the response rate of the disease.


Objectives: To determine the management of melanoma using immunology.


Methods: This article was compiled using the literature review method, using 32 sources derived from journals and books.


Results: Interferon-α was approved for the treatment of adjuvant stage III melanoma with increased survival rate. New and more innovative approaches are needed with increasing therapeutic effects. The prognosis of patients with metastatic melanoma in the world has changed dramatically since the presence of an immune checkpoint inhibitor.


Discussions: Ipilimumab, which targets the cytotoxic T lymphocyte-associated protein 4 (CTLA-4) protein is the first agent that exists. Furthermore, nivolumab and pembrolizumab that bind to programmed death protein 1 (PD-1) proteins have been shown to be more effective and lower in toxicity than ipilimumab. The combination of nivolumab or pembrolizumab with ipilimumab has resulted in increased response rates and patient survival rate results. This literature review will explore important clinical trial data that have led to the use of this immunotherapy agent in the world and some clinical trial results currently reported for new combination therapies.",RL,JIMKI,2020-08-22,
