division,title,abstract,subjects,publication,date,keywords
FK1,"The Effects of Soursop Leaf Ethanol Extract on Renal Histopathological
Analysis of DMBA Induced","The soursop (Annona muricata Linn) are widely used in traditional medicine. The
findings of active compounds of Soursop leaf are antioxidants and anti-inflammatory.
This study suggest that soursop leaf extract has a protective effect against renal
histopathologic damage and determine the relationship of increasing the doses of soursop
leaf extract with renal damage in rats (Rattus norvegicus). Design was using completely
randomized experimental with 5 groups, G1 (aquades), G2 (DMBA 75 mg/kg body
weight), G3, G4 and G5 given the same dose of DMBA (75mg/Kg body weight) and
soursop leaf extract with different doses (100, 200 and 400 mg /kg body weight). The
number of samples 25 rats and each group contained 5 rats. The test used was Kruskalwallis
(p<0,05) test, Post-hoc Mann Whitney (p<0,05) test. The results showed a mean
score of renal damage in G1: 0,16±0,83; G2: 2,44±1,09; G3: 2,24±0,83; G4: 1,96±0,83;
G5: 1,48±0,54. Conclusion, the dose of 400 mg/kg body weight was the most effective
dose in the inhibition of renal damage.",RM,Medical Journal of Lampung University,2014-02-02,
FK1,Perbandingan Efek Dosis Toksik Amoksisilin Generik Berlogo dengan Amoksisilin Generik Bermerek terhadap Kadar Malondialdehid (MDA) Renal Tikus (Rattus novergicus) Galur Sprague,"Insidensi gangguan fungsi ginjal akibat antibiotik mencapai 36%. Amoksisilin merupakan antibiotik yang paling sering digunakan masyarakat Indonesia, bahkan tanpa resep dokter. Terdapat dua macam produk amoksisilin yang tersedia di masyarakat, yakni amoksisilin generik berlogo dan generik bermerek. Amoksisilin dapat menyebabkan stress oksidatif dalam tubuh dimana keadaan ini dapat diukur dengan kadar malondialdehid (MDA). Tujuan penelitian ini adalah untuk mengetahui perbedaan efek dosis toksik amoksisilin generik berlogo dengan amoksisilin generik bermerek terhadap kadar MDA renal dan mengidentifikasi amoksisilin yang lebih menyebabkan peningkatan kadar MDA renal. Penelitian ini merupakan penelitian eksperimental yang terdiri atas 36 hewan coba yang dibagi menjadi 9 kelompok dengan 3 kelompok kontrol dan 6 kelompok perlakuan. Hasil penelitian menunjukan rerata kadar MDA renal kelompok, yakni kelompok kontrol (Kn=1,356 nmol/mg, KA=6,090 nmol/mg dan KB=6,922 nmol/mg), kelompok generik berlogo (A1=3,513 nmol/mg, A2=5,372 nmol/mg dan A3=10,246 nmol/mg), dan kelompok generik bermerek (B1=4,279 nmol/mg, B2=6,520 nmol/mg dan B3=11,655 nmol/mg). Hasil uji perbandingan menunjukan bahwa terdapat perbedaan bermakna secara statistik antara amoksisilin generik berlogo dan amoksisilin generik bermerek terhadap kadar MDA renal hewan coba pada dosis 822,4 mg/kgBB dan amoksisilin generik bermerek menyebabkan peningkatan kadar MDA renal lebih tinggi daripada amoksisilin generik berlogo.
Kata kunci: amoksisilin, obat generik berlogo, obat generik bermerek, malondialdehid",RM,Jurnal Agromedicine,2017-12-01,
FK1,FORMULATION AND ANTIOXIDANTS EVALUATION OF LIQUID SOAP OF SALACCA ZALACCA (GAERTN.) VOSS. PEELS ETHANOL EXTRACT 96%,"Background: Free radicals are compounds that can adversely affect the skin, so antioxidants are needed to maintain healthy skin. Salacca zalacca (Gaert.) Voss. peels extract contains flavonoids which are potential as antioxidants. To maximize the role of topical antioxidants from extracts of Salacca zalacca (Gaert.) Voss. Peels against free radicals that expose the skin, therefore an acceptable preparation is needed, one of which is soap. Objective: this study aims to determine the antioxidant activity of the 96% ethanol peels extract of Salacca zalacca (Gaert.) Voss. and the formulated soap which containing the fruit peels extract. Method: Antioxidant activity was determined by DPPH test (1,1-diphenyl-2-picrylhydrazyl). Results: IC50 of Antioxidants values of the extract are 62.08 ppm. Antioxidants IC50 of the formulated soap are 139.65 ppm for Formula 1 (F1); 73.2 ppm for Formula 2 (F2); and 55 ppm for Formula 3 (F3). The results show that the 96% ethanol extract of Salacca zalacca (Gaert.) Voss has the potential as source of natural antioxidants that can be developed in liquid soap preparations. Conclusions: Peels and the soap formulated containing the extract of the fruit peels has antioxidant potency. The antioxidant activity of liquid soap preparations increases with the increase in ethanol extract 96% of Salacca zalacca (Gaert.) Voss in the liquid soap. Formula 3 (FIII) contained 3% of Salacca zalacca (Gaert.) Voss ethanol extract 96% is the best Formula against free radicals with 62.08 ppm of IC50 which is categorized as moderate anti-oxidant","RM, RS",,2022-03-27,
FK1,Pengaruh Obat Golongan Antipiretik dan Antibiotik Terhadap Peningkatan Angka Kejadian STEVEN-JOHNSON SYNDROME Di RSUD Dr. Abdul Moeloek Bandar Lampung,"Steven-Johnson Syndrome adalah bentuk penyakit mukokutan dengan tanda dan gejala sistemik yang dari ringan sampai berat berupa lesi target dengan bentuk yang tidak teratur, disertai makula , vesikel, bula dan purpura yang tersebar luas terutama rangka tubuh. Ruam kulit awalnya berupa makula yang berkembang menjadi papul, vesikel, bula, plak urtikaria atau eritema konfluens. Pada bagian tengah lesi ini biasanya bersifat vesikular, purpurik, atau nekrotik. Lesi tipikal biasanya berbentuk target yang biasanya berbentu ktarget yang bersifat patogmonik untuk lesi awal SJS. Namun, berbeda dengan eritema multiforme, lesi ini hanya memiliki dua zona warna. Lesi bagian inti dapat bersifat vesikular, purpura atau nekrotik, sedangkan ona yang mengelilinginya berupa makula eritem.Steven-Johnson Syndrome disebabkan oleh reaksi hipersensitivitas yang >50% adalah alergi obat. di SMF Penyakit Kulit dan Kelamin RSUD Dr. Abdul Moeloek Bandar Lampung, telah dirawat 26 pasien SSJ yang terdiri atas 11 orang (42,3%) laki-laki dan 15 orang (57,7%) perempuan dengan usia termuda 11 tahun dan tertua 53 tahun. Pada beberapa pasien ditemukan penyebab terjadinya Steven-Johnson Syndrome dikarenakan pemberian beberapa jenis obat, terkhususnya merupakan obat golongan antipiretik dan golongan antibiotik.

Kata kunci: Steven-Johnson Syndrome, Prevalensi, Peningkatan Angka Kejadian, Obat golongan antipiretik, Obat golongan antibotik",RM,Majority,2016-12,
FK1,Peran Ekspresi Gen Nitrit Oksida Sintase (NOS3) Terhadap Kejadian Hipertensi Esensial,"Hipertensi adalah penyakit yang ditandai dengan peningkatan tekanan darah di atas normal, sistolik lebih dari 140 mmHg dan atau diastolik lebih dari 90 mmHg. Menurut penyebabnya dibedakan menjadi hipertensi esensial yang belum diketahui penyebabnya dan hipertensi sekunder yaitu hipertensi yang disebabkan oleh suatu underlying disease. Hipertensi menyebabkan tingginya morbiditas dan mortalitas penduduk di Eropa, Amerika, maupun Asia. Hampir separuh penduduk eropa dan seperempat penduduk dunia menderita hipertensi. Penyebab hipertensi adalah multifaktorial. Interaksi antara faktor genetik dan lingkungan diduga berkontribusi besar dalam kejadian hipertensi esensial. Saat ini, paradigma biologi molekuler telah bergeser dari tekanan darah diregulasi oleh otak dan ginjal menjadi endotel. Endotel pembuluh darah dapat memproduksi nitric oxide (NO) yaitu relaxing factor yang berperan sebagai gas vasoaktif (vasodilator) dengan bantuan Endothelial Nitric Oxide Synthase (eNOS). Enzim ini merupakan ekspresi dari gen NOS3 yang jika terjadi polimorfisme dapat menurunkan produksi NO sehingga menyebabkan vasokontriksi dan peningkatan resistensi perifer pembuluh darah dan akhirnya menyebabkan hipertensi. Polimorfisme adalah perubahan atau mutasi gen yang mengakibatkan variasi pada fungsi protein dan tidak menimbulkan perubahan struktur protein. Hal ini tidak menimbulkan manifestasi klinis, namun dapat terjadi perubahan kerentanan suatu populasi terhadap suatu penyakit. Hingga saat ini sudah teridentifikasi tiga polimorfisme gen NOS3 yang berhubungan dengan kejadian hipertensi esensial yaitu Glu298Asp, -786T>C dan intron 4a4b.
Kata kunci: Gen NOS3, Hipertensi Esensial, Nitrit Oksida, Polimorfisme","R1, RM",Majority,2018-03-01,
UNILA2,CORRELATION BETWEEN DURATION OF HEMODIALYSIS AND NUTRITIONAL STATUS OF CHRONIC KIDNEY DISEASE (CKD) PATIENTS AT HEMODIALYSIS UNIT IN DR. H. ABDUL MOELOEK HOSPITAL BANDAR LAMPUNG,"Objective
The purpose of this study is to know the correlation between duration of hemodialysis and nutritional status in CKD patients.
Method
It was a cross-sectional study which held on October to November 2016 in hemodialysis unit of Dr. H. Abdul Moeloek Hospital, Lampung Province. The subjects were taken by consecutive sampling. Nutritional status scoring was using Body Mass Index (BMI). Duration of hemodialysis was using 2 years cut off. Chi- Square test was used for statistic analysis.
Discussion
Total sample were 92 patients. The mean duration of hemodialysis was 25 months with range of 1-132 months. Nutritional status of patients who had underweigh were 10 patients (10,9%), normoweight patients were 48 patients (52,2%), and 34 patients (37,0%) were overweight, no patients were in obese status. Statistic analysis
showed no correlation of BMI status with duration of hemodialysis (p = 0,189).
￼",RM,13th Asian-Pacific Congress of Hypertension 2017,,
FK1,"Erupsi Obat Alergi:
Tinjauan Kasus Sindrom Hipersensitivitas Obat pada Pasien dalam Pengobatan Morbus Hansen","Reaksi simpang obat bervariasi, dapat terjadi hanya pada kulit atau sistemik. Sindrom hipersensitivitas obat (SHO) jarang terjadi namun merupakan salah satu reaksi simpang obat berat. Tinjauan kasus ini bertujuan mengetahui diagnosis dan tata laksana erupsi obat alergi, terutama SHO. Kasus, seorang perempuan 37 tahun timbul bercak- bercak kemerahan seluruh tubuh disertai mata kuning dan demam, buang air kecil berwarna teh gelap, mual, dan sengkelan di kedua lipat paha. Sejak enam minggu sebelumnya pasien minum obat dapson, rifampisin, klofazimin untuk pengobatan penyakit Morbus Hansen. Berdasarkan pemeriksaan fisik dan penunjang, ditegakkan diagnosis Erupsi Obat Alergi tipe Sindrom Hipersensitivitas Obat dan Morbus Hansen tipe Borderline Tuberculoid. Tatalaksana medikamentosa berupa metilprednisolon 16-16-8 mg, loratadin 1x10 mg, ranitidin 2x150 mg. Simpulan, SHO ditandai dengan erupsi kulit, demam, dan keterlibatan organ dalam. Tata laksana SHO berupa identifikasi dan menghentikan obat penyebab serta direkomendasikanpemberian kortikosteroid sistemik.",RM,JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,2017-06,
FK1,"The effect of the implementation of evidence-based drug formulary on antibacterial use in a private hospital at Tanjung Enim, Sumatera Selatan, Indonesia","The increase of drug expenditure in the hospital has facilitated the implementation of an evidence-based drug formulary. The aim of this study was to assess the change in antibacterial use after the implementation of an evidence-based drug formulary in a private hospital at Tanjung Enim, Sumatera Selatan, Indonesia. This study used a pre- posttest design. Drug use data in the period before (2010-2011) and after (2012-2013) the formulary implementation were extracted from the hospital medical records. The drug use in the hospital before and after the implementation was compared using t-test and chi-square test, with the significance level of 0.05. Average number of drugs prescribed per prescription after the implementation was similar with that before the implementation (4.4 vs 4.6; p > 0.05). However, the proportion of generic drugs prescribed increased significantly after the formulary implementation (17.0% vs 52.7%; p < 0.05). Moreover, it was still significantly increased when the analysis was conducted only for antibacterial drugs (25.9% vs 72.0%; p < 0.05). Average drug cost per prescription was 34% lower after the intervention (p < 0.05), and the average cost for antibacterial drug was also decreased (26%). The use of antibacterial drugs was significantly decreased after the intervention (12.5% vs 6.9%; p < 0.05). The most often antibacterial drugs prescribed before the interventions were beta-lactams and macrolides; while quinolones were more increasingly used after the intervention. In conclusion, the implementation of evidence- based hospital drug formulary in a private hospital at Tanjung Enim, Sumatera Selatan significantly increase generic drug use and decreased antibacterial use and average drug cost per prescription.",RM,J. Med. Sci,2017-01,
FMIPA2,Produksi  Pati  Resisten  dari  Biji Alpukat  (Persea  americana)melaluiFermentasi  oleh Streptomycessp. AB  8  dan  Variasi Auotoclaving-Cooling,,"QR, RM",Indonesian Journal of Chemical Analysis (IJCA),,
FMIPA2,The biological prospective of red-pigmented bacteriacultured from contaminated agar media,,"QR, RM, RS",Biodiversitas Journal of Biological Diversity,,
