division,title,abstract,subjects,publication,date,keywords
FK1,Peer Review : Pengaruh Komorbid terhadap Terjadinya Bakterimia MDR Gram Negatif pada Pasien Rawat Inap,,"R1, RS",,,
FK1,FORMULATION AND ANTIOXIDANTS EVALUATION OF LIQUID SOAP OF SALACCA ZALACCA (GAERTN.) VOSS. PEELS ETHANOL EXTRACT 96%,"Background: Free radicals are compounds that can adversely   affect   the   skin,   so   antioxidants   are   needed   to maintain  healthy  skin.  Salacca  zalacca  (Gaert.)  Voss.  peels extract     contains flavonoids     which     are     potential     as antioxidants.  To  maximize  the  role  of  topical  antioxidants from  extracts  of  Salacca  zalacca  (Gaert.)  Voss.  Peels  against free  radicals  that  expose  the  skin,  therefore  an  acceptable preparation  is  needed,  one  of  which  is  soap.  Objective:  this study  aims  to  determine  the  antioxidant  activity  of  the  96% ethanol peels extract of Salacca zalacca (Gaert.) Voss. and the formulated  soap  which  containing  the  fruit  peels  extract. Method:  Antioxidant  activity  was  determined  by  DPPH  test (1,1-diphenyl-2-picrylhydrazyl).  Results:  IC50of  Antioxidants values  of  the  extract  are  62.08  ppm.  Antioxidants  IC50of  the formulated soap are 139.65 ppm for Formula 1 (F1); 73.2 ppm for Formula 2 (F2); and 55 ppm for Formula 3 (F3). The results show that the 96% ethanol extract of Salacca zalacca (Gaert.) Vosshas  the  potential  as  source  of  natural  antioxidants  that can  be  developed  in  liquid  soap  preparations. Conclusions: Peels  and  the  soap  formulated  containing  the  extract  of  the fruit peels has antioxidant potency.The antioxidant activity of liquid soap preparations increases with the increase in ethanol extract 96% of Salacca zalacca (Gaert.) Vossin the liquid soap. Formula 3 (FIII) contained 3% of Salacca zalacca (Gaert.) Vossethanol extract 96% is the best Formula against free radicals with 62.08 ppm of IC50which is categorized as moderate anti-oxidant",RS,Jurnal Cakrawala Ilmiah,2022-03,
FK1,FORMULATION AND ANTIOXIDANTS EVALUATION OF LIQUID SOAP OF SALACCA ZALACCA (GAERTN.) VOSS. PEELS ETHANOL EXTRACT 96%,"Background: Free radicals are compounds that can adversely affect the skin, so antioxidants are needed to maintain healthy skin. Salacca zalacca (Gaert.) Voss. peels extract contains flavonoids which are potential as antioxidants. To maximize the role of topical antioxidants from extracts of Salacca zalacca (Gaert.) Voss. Peels against free radicals that expose the skin, therefore an acceptable preparation is needed, one of which is soap. Objective: this study aims to determine the antioxidant activity of the 96% ethanol peels extract of Salacca zalacca (Gaert.) Voss. and the formulated soap which containing the fruit peels extract. Method: Antioxidant activity was determined by DPPH test (1,1-diphenyl-2-picrylhydrazyl). Results: IC50 of Antioxidants values of the extract are 62.08 ppm. Antioxidants IC50 of the formulated soap are 139.65 ppm for Formula 1 (F1); 73.2 ppm for Formula 2 (F2); and 55 ppm for Formula 3 (F3). The results show that the 96% ethanol extract of Salacca zalacca (Gaert.) Voss has the potential as source of natural antioxidants that can be developed in liquid soap preparations. Conclusions: Peels and the soap formulated containing the extract of the fruit peels has antioxidant potency. The antioxidant activity of liquid soap preparations increases with the increase in ethanol extract 96% of Salacca zalacca (Gaert.) Voss in the liquid soap. Formula 3 (FIII) contained 3% of Salacca zalacca (Gaert.) Voss ethanol extract 96% is the best Formula against free radicals with 62.08 ppm of IC50 which is categorized as moderate anti-oxidant","RM, RS",,2022-03-27,
FK1,Metode Kemoterapi Terkini Berbasis Circadian Chronoteraphy Dalam Menurunkan Resistensi SeL SiHa Terhadap 5-Fluorourasil Pada Kanker Serviks,"Kanker serviks merupakan keganasan yang paling sering terjadi pada wanita, kira-kira dari 6,6% penderita di dunia 90% diantaranya meninggal. Bahkan di Indonesia kanker serviks masih menjadi keganasan tertinggi pada wanita. Metode kemoterapi berbasis sirkadian kronoterapi telah banyak menjadi titik terang dalam pengobatan kanker. Metode ini
menggunakan ritme sirkadian fisiologis pada tubuh manusia sebagai indikator pengaturan waktu pemberian obat, dimana metode ini dapat menjadi potensi untuk digunakan dalam pengobatan kanker serviks. Berdasarkan data yang dipublikasikan sebelumnya, 5-Fluorourasil (5-FU) bertindak sebagai anti metabolit dan telah digunakan untuk pengobatan lini kedua pada kanker serviks namun, angka kejadian resistensi tipe sel kanker terhadap 5-FU meningkat. Tulisan ini bertujuan untuk menentukan efektivitas 5-FU dengan mengatur irama sirkadian melalui metode kronoterapi untuk mengurangi resistensi sel SiHa sebagai salah satu target 5-FU dalam pengobatan kanker. Metode penelitian ini adalah dengan meninjau artikel review yang diterbitkan 5 tahun terakhir terkait dengan kata kunci 5-FU, kronoterapi sirkadian, kanker serviks dan sel SiHa. Data menunjukkan bahwa 5-FU mampu menekan proliferasi sel SiHa dengan menggunakan metode kronoterapi berbasis irama sirkadian, maka pemberian obat dapat disesuaikan pada waktu dimana katabolisme 5-FU berada pada titik terendah. Pengaturan ritme sirkadian berbasis 5-FU memiliki potensi sebagai metode pengobatan dan upaya untuk penurunan
resistensi sel pada kanker serviks. Penelitian lebih lanjut diperlukan untuk menentukan dosis yang tepat dari administrasi 5-FU.
Kata kunci: Kanker serviks, kronoterapi, PER-2, sel SiHa, 5-Fluorourasil (5-FU)",RS,Jurnal Kesehatan dan Agromedicine,2019-10,
FMIPA4,Ubiquitous occurrence of sulfonamides in tropical Asian waters,"Seven sulfonamides, trimethoprim, five macrolides,lincomycin and three tetracyclines were measured in 150 water samples of sewage, livestock and aquaculture wastewater, and river and coastal waters, in five tropical Asian countries. The sum of the concentrations of the target antibiotics in sewage and heavily sewage-impacted waters were at sub- to low-ppb levels. The most abundant antibiotic was sulfamethoxazole (SMX), followed by lincomycin and sulfathiazole. The average concentration of SMX in sewage or heavily sewage-impacted waters was 1720 ng/L in Vietnam (Hanoi, Ho Chi Minh, Can Tho; n=15), 802 ng/L in the Philippines (Manila; n=4), 538 ng/L in India (Kolkata; n=4), 282 ng/L in Indonesia (Jakarta; n=10), and 76 ng/L in Malaysia (Kuala Lumpur; n=6). These concentrations were higher than those in Japan, China, Europe, the US and Canada. A predominance of sulfonamides, especially SMX, is notable in these tropical countries. The higher average concentrations, and the predominance of SMX, can be ascribed to the lower cost of the antibiotics. Both the concentration
and composition of antibiotics in livestock and aquaculture wastewater varied widely. In many cases, sulfamethazine (SMT), oxytetracycline (OTC), lincomycin, and SMX were predominant in livestock and aquaculture wastewater. Both human and animal antibiotics were widely distributed in the respective receiving waters (i.e., the Mekong River and Manila Bay). SMT/SMX ratios indicate a significant contribution from livestock wastewater to the Mekong River and nearby canals, with an estimated ~10% of river water SMX derived from such wastewater. Mass flow calculations estimate that 12 tons of SMX is discharged annually from the Mekong River into the South China Sea. Riverine inputs of antibiotics may significantly increase the concentration of such antibiotics in the coastal waters.","QD, RS",Science of The Total Environment,,
FMIPA4,"Anti-dormant mycobacterial activity and target molecule of melophlins, tetramic acid derivatives isolated from a marine sponge of Melophlus sp.","Tuberculosis (TB), caused by Mycobacterium tuberculosis infection, is a major world health problem that is responsible for the deaths of 1.5 million people each year. In addition, the requirement for long-term therapy to cure TB complicates treatment of the disease. One of the major reasons for the extended chemotherapeutic regimens and wide epidemicity of TB is that M. tuberculosis has the ability to persist in a dormant state. We therefore established a new screening system to search for substances with activity against dormant mycobacteria using M. smegmatis and M. bovis BCG cultivated in medium containing propionate as sole carbon source to induce dormancy. Subsequently, melophlins A (1), G (2), H (3), and I (4), tetramic acid derivatives, were re-discovered from the Indonesian marine sponge of Melophlus sp. as anti-dormant mycobacterial substances. Moreover, target analysis of melophlin A indicated that it targeted the BCG1083 protein of putative exopolyphosphatase and the BCG1321c protein of diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase.","QD, RS",Journal of Natural Medicines,2016-07,
FMIPA2,The biological prospective of red-pigmented bacteriacultured from contaminated agar media,,"QR, RM, RS",Biodiversitas Journal of Biological Diversity,,
FK1,Health Belief Model and Hypertension Prevention,"Background: Hypertension is a cardiovascular disease that contributes to morbidity and mortality.
Hypertension is the number one cause of death in the world every year. The prevalence of hypertension in the
world in 2015 was 1.13 billion. The number of people with hypertension is increasing every year. By 2025
it is estimated that there will be 1.5 billion people affected by hypertension. Aim : This review summarizes
the HBM used as an approach in the prevention of hypertension. Materials and Method : The article uses
a questionnaire with a number of respondents between 18-403 with a total of 2,160. Results : Respondents
are students, residents, nurses, police from Iran, London, USA, South Africa, and China. The HBM model
is still relevant and feasible to be used in predicting hypertension prevention behavior. Conclusion : HBM
is still relevant and feasible to use in predicting hypertension prevention behavior.",RS,Indian Journal of Forensic Medicine & Toxicology,,
FK1,Health Belief Model and Hypertension Prevention,"Background: Hypertension is a cardiovascular disease that contributes to morbidity and mortality.
Hypertension is the number one cause of death in the world every year. The prevalence of hypertension in the
world in 2015 was 1.13 billion. The number of people with hypertension is increasing every year. By 2025
it is estimated that there will be 1.5 billion people affected by hypertension. Aim : This review summarizes
the HBM used as an approach in the prevention of hypertension. Materials and Method : The article uses
a questionnaire with a number of respondents between 18-403 with a total of 2,160. Results : Respondents
are students, residents, nurses, police from Iran, London, USA, South Africa, and China. The HBM model
is still relevant and feasible to be used in predicting hypertension prevention behavior. Conclusion : HBM
is still relevant and feasible to use in predicting hypertension prevention behavior.",RS,Indian Journal of Forensic Medicine & Toxicology,,
FK1,Antimicrobial Activity of Syzygium aromaticum L. Leaves Essential Oil against Candida albicans and Streptococcus mutans,"Background: Candida albicans and Streptococcus mutans infection cases are increasingly common diseases
giving bad impact on humans. High evidence of microbial included bacterial and fungal resistance because
frequently used antibiotics contributes disability and death significantly worldwide. Hence, alternative and safe
of antimicrobial agents are required. Clove leaves (Syzygium aromaticum L.) are part of the Myrtaceae family
containing essential oils that are rich in eugenol as the main component having high antimicrobial activity.
Therefore, this study focuses on evaluation of antimicrobial activity of clove leaf essential oil against Candida
albicans and Streptococcus mutans. Methods: In the current study, the antibacterial efficiency of Syzygium
aromaticum L. leaf essential oil against Candida albicans and Streptococcus mutans was determined by the disc
diffusion method. Furthermore, the physical characterizations of essential oils that were carried out were colour,
odour, solubility, density and total eugenol, respectively. Results: Clove leaf essential oil exhibited antimicrobial
activity against pathogenic isolates Candida albicans was recorded at 0.5% having inhibition zones of 33.3±0.28
mm, 1% of 34±0.00mm, 1.5% of 35±0.28mm. While against gram-positive bacteria Streptococcus mutans at
0.5% presented an inhibition zone of 19.95±1.76mm, 1% of 20.5±2.12mm, 1.5% of 22.1±1.55mm. The physical
characterization obtained from Clove leaf essential oil revealed that the essential oil presented yellow and
distinctive odour, solubility in ethanol was 70% (1:2 clear), the density was 1.047g/ml, and eugenol total was
80%. Conclusion: This study indicates that essential oil of Syzygium aromaticum L leaves can be considered as
potential antimicrobial agents.",RS,Research J. Pharm. and Tech,,
