division,title,abstract,subjects,publication,date,keywords
FK1,"ANALISIS PERILAKU BERLALU LINTAS 
PADA GENERASI MILLENIAL
Analysis Of Traffic Behavior In Millenial Generation","Menurut data Kepolisian Republik Indonesia tahun 2017, rata-rata 3 orang meninggal setiap jam akibat 
kecelakaan jalan, disebabkan oleh faktor manusia, kendaraan, prasarana dan lingkungan. Tujuan penelitian 
adalah untuk memperoleh gambaran perilaku berlalulintas pada generasi milenial. Metode penelitian yang 
digunakan adalah mixed method. Lokasi penelitian dilaksanakan di kota Bandar Lampung dan kabupaten 
Pesawaran. Penelitian ini menggunakan kuesioner dan lembar wawancara. Uji Mann Whitney digunakan untuk 
mengetahui perbedaan antar kelompok. Data kualitatif dirumuskan untuk kesimpulannya. Temuan data 
penelitian menunjukkan tidak terdapat perbedaan skor pengetahuan berkendara antara sekolah program dan 
non program, serta tidak terdapat perbedaan skor pengetahuan tentang rambu lalu lintas antara sekolah program 
dan non program. Berdasarkan hasil wawancara di 4 sekolah yang tidak menerima program Edukasi Police 
Goes to School, 2 diantaranya dalam kurun waktu 3 tahun terakhir tidak menerima program tersebut, sementara 
2 lainnya sama sekali belum pernah menerima program edukasi Police Goes to School.","R1, RT, RZ",ANALISIS PERILAKU BERLALU LINTAS  PADA GENERASI MILLENIAL,2020-04-01,
FK1,The Difference in Interleukin-8 (IL-8) on Degrees of Acne Vulgaris Severity,"Background: Acne vulgaris (AV) is a follicular disease that occurs most often and affects the area containing sebaceous gland follicles, including the face, back, and body. This is a multifactorial condition. The prevalence of acne vulgaris (AV) is still high both in the world and in Indonesia. As many as 80% of AV is found at the age of 11-30 years and almost 100% in adolescents. Various factors can trigger the onset of AV which can lead to severe complications. Aim: This study looked for the difference in interleukin-8 (IL-8) on degrees of AV severity. Materials and method: This study was an observational analytic study with a cross- sectional approach. The research was conducted at the Diniyah Putri Islamic Boarding School, Lampung Province, Indonesia, in August 2020. The independent variable in this study was the AV degree, while the dependent variable was the IL-8 level. The sampling method in this study was consecutive sampling, as many as 63 AV patients. The research material is serum from venous blood. Examination of interleukin-8 levels using the ELISA method. Data analysis was univariate to find the mean and standard deviation of IL-8 levels, as well as the frequency distribution to determine the degree of AV. While the bivariate analysis was to determine the difference in the mean of IL-8 levels in AV patients. Results: The mean of IL-8 levels in AV patients was 38.53. Most of the AV patients are in a severe category. Further analysis found no difference in the mean of IL-8 levels between moderate and severe AV degrees. Conclusion: There was no difference in the mean of IL-8 levels in moderate and severe AV patients, but the IL-8 levels at severe AV degrees were higher than moderate AV degrees.","R1, RT, RZ",Indian Journal of Forensic Medicine & Toxicology,2021-09-01,
FK1,Hang-out and health risk behavior in adolescents: A qualitative study,"Introduction: Hang-out can trigger health risk behavior in adolescents. This qualitative study 
aimed to explore hang-out related to health risk behavior in adolescents. 
Methods: Five focus groups were carried out with 44 adolescents aged 12–25 in Surabaya, 
Indonesia. Participants were purposively selected and had all experienced hang-out activities. 
A thematic analysis approach was used for analysis and data collection was completed at the 
point of data saturation.
Results: Hang-out activities can encourage health risk behaviors such as smoking, alcohol
consumption, drugs use, sweet beverages and fast food consumption. They interpret hang-out
as interaction, socialization, entertainment and leisure time.
Conclusions: Adolescents who have free time will use it with hang-out as a form of self�expression. This has led to the culture of hang-out activity that can trigger health risk behavior.
They spend time in places that they feel comfortable, the availability of the facilities they need 
and can show social classes among them. The government can formulate strategies to prevent 
health risk behavior in adolescents such as providing health promotion on prevention of health 
risk behavior.","R1, RT, RZ","Indian Journal of Public Health Research & Development,",2019-01-01,
,Health Belief Model and Hypertension Prevention,"Background: Hypertension is a cardiovascular disease that contributes to morbidity and mortality. Hypertension is the number one cause of death in the world every year. The prevalence of hypertension in the world in 2015 was 1.13 billion. The number of people with hypertension is increasing every year. By 2025 it is estimated that there will be 1.5 billion people affected by hypertension. Aim : This review summarizes the HBM used as an approach in the prevention of hypertension. Materials and Method : The article uses a questionnaire with a number of respondents between 18-403 with a total of 2,160. Results : Respondents are students, residents, nurses, police from Iran, London, USA, South Africa, and China. The HBM model is still relevant and feasible to be used in predicting hypertension prevention behavior. Conclusion : HBM is still relevant and feasible to use in predicting hypertension prevention behavior.","R1, RT, RZ",Health Belief Model and Hypertension Prevention,2021-09-01,
FK1,Hubungan Faktor Sosial Ekonomi dan Ketahanan Pangan terhadap Kejadian Stunting pada Balita,"Indonesia menempati urutan ketiga negara dengan prevalensi stunting tertinggi di Asia Tenggara pada tahun 2017. Bandar Lampung, merupakan salah satu kota dengan prevalensi stunting tinggi; dan Kecamatan Teluk Betung Selatan merupakan wilayah dengan prevalensi stunting tertinggi di Bandar Lampung. Penelitian ini bertujuan menganalisis hubungan faktor sosial ekonomi dan ketahanan pangan terhadap kejadian stunting pada balita. Penelitian ini merupakan penelitian case control, dengan sampel kasus adalah 50 keluarga yang mempunyai balita stunting dan sampel kontrol adalah 50 keluarga yang mempunyai balita normal. Variabel penelitian mencakup faktor sosial�ekonomi (pendidikan dan pendapatan), faktor ketahanan pangan (kerawanan pangan keluarga dan keragaman makanan) serta kejadian stunting, yang kemudian dianalisis dengan Chi Square. Hasil penelitian menunjukkan terdapat hubungan antara faktor sosial�ekonomi dan kerawanan pangan keluarga terhadap kejadian stunting. Oleh karena itu, program pengendalian stunting perlu melibatkan kedua faktor tersebut dalam intervensi penurunan stunting pada balita.","R1, RT, RZ",Jurnal Kesehatan,2020-09-17,
FK1,"Hubungan Keberadaan Kontak Serumah dan Perilaku Ibu 
terhadap Kejadian Tuberkulosis Anak","alah satu faktor yang meningkatkan risiko penularan pada anak adalah terdapatnya kontak serumah dan kurangnya pengetahuan ibu, akan tetapi belum banyak penelitian yang mengkaji hubungan variabel-variabel tersebut terhadap penularan kepada anak di Bandar Lampung. Bandar Lampung memiliki angka kejadian TB yang meningkat dari tahun ke tahun dan berpotensi menjadi sumber penularan kepada anak. Penelitian ini bertujuan untuk menganalisis hubungan keberadaan kontak serumah dan perilaku ibu terhadap kejadian TB anak di lima puskesmas di Bandar Lampung yang terdapat kasus TB anak. Penelitian ini adalah penelitian case control dengan sampel kasus sebanyak 66 anak penderita TB dan sampel kontrol sebanyak 66 anak yang tidak menderita TB. Variabel pada penelitian mencakup kontak serumah (keberadaan kontak, intensitas kontak dan kedekatan hubungan) serta perilaku ibu (pengetahuan ibu dan imunisasi BCG). Data dikumpulkan melalui wawancara dengan alat bantu kuesioner yang dilanjutkan dengan analisis Chi Square. Hasil penelitian menunjukkan bahwa terdapat hubungan keberadaan kontak, intensitas kontak, kedekatan hubungan, pengetahuan serta imunisasi BCG","R1, RT, RZ",Hubungan Keberadaan Kontak Serumah dan Perilaku Ibu  terhadap Kejadian Tuberkulosis Anak,2020-09-22,
FK1,"Hubungan Profil Lipid Terhadap Kontrol Glikemik DM Tipe 2 Peserta 
Program Pengelolaan Penyakit Kronis (Prolanis) di fasilitas Kesehatan 
Provinsi Lampung Tahun 2021","Diabetes Melitus (DM) masih menjadi permasalahan dunia. International Diabetes Federation (IDF) memperkirakan ada peningkatan prevalensi DM di tahun 2030 sebanyak 576 juta orang, dan meningkat menjadi 700 juta pada tahun 2045. Menurut Organisasi Kesehatan Dunia (WHO) DM dapat menyebabkan kecacatan dan kematian secara dini. Faktor resiko pada DM diantaranya adalah karteristik dan profil lipid. Tujuan penelitian untuk mengetahui korelasi karketeristik dan kadar lipemik dengan penyakit Diabetes Melitus peserta prolanis. Rancangan penelitian adalah analitik dengan pendekatan crosssectional. Sampel adalah pasien DM dengan pemeriksaan HbA1C dan profil Lipid pada priode bulan Februari sampai Maret tahun 2021. Analisa univariat untuk melihat distribusi frekuensi karakteristik, status kontrol Diabetes Melitus, status kadar kholesterol, Trigliserida, HDL dan LDL. Uji penelitian didapatkan rata-rata responden berumur 51-60 tahun, perempuan, dari perkotaan. Rata-rata kadar HbA1C 8,67, Kholesterol 210,82, trigliserida 178,19, HDL 94 dan LDL 125,55. Dari uji bivariat menunjukan terdapat hubungan yang bermakna antara kontrol glikemik dengan kadar trigliserida dengan p value=0,000, namun tidak bermakna dengan profil lipid yang lain. Peningkatan trigliserida erat kaitannya dengan kebisaaan pola makanan. gaya hidup sehat dapat mengurangi terjadinya DM","R1, RT, RZ",Jurnal Analis Kesehatan,2021-06,
FK1,Kajian Status Gizi Balita Berdasarkan Pola Asuh dan Dukungan Keluarga,"Menurut World Health Organization, lebih dari 50% kematian bayi dan anak terkait dengan gizi kurang dan gizi buruk. Penelitian ini bertujuan mengetahui hubungan pola asuh dan dukungan keluarga dengan status gizi balita. Penelitian ini merupakan penelitian analitik dengan pendekatan cross-sectionale. Penelitian ini dilakukan di TK Bintang Ceria Kecamatan Jati Agung Lampung Selatan pada bulan Oktober�November 2019. Populasi dalam penelitian ini adalah semua balita beserta ibunya. Kriteria inklusi penelitian ini adalah balita dan ibu yang bersedia menjadi responden, sedangkan kriteria ekslusinya adalah balita yang datang bersama pengasuh (bukan ibu). Teknik pengambilan sampel yaitu total sampel dengan jumlah 85 balita. Instrumen yang digunakan pada penelitian ini, yaitu kuesioner pola asuh dan dukungan keluarga serta pengukuran status gizi menggunakan timbangan dan stadiometer dengan patokan berat badan menurut tinggi badan (BB/TB). Pengumpulan data dilakukan dengan menimbang berat badan dan mengukur tinggi badan balita, kemudian dihitung z-score, serta membagikan kuesioner yang berisi pertanyaan pola asuh dan dukungan keluarga kepada ibu balita. Analisis data menggunakan analisis univariat berupa persentase dan analisis bivariat menggunakan uji korelasi Spearman. Penelitian mendapatkan bahwa ada hubungan antara pola asuh dan dukungan keluarga dengan status gizi balita. Keluarga perlu memperhatikan dan melakukan pemenuhan kebutuhan asupan gizi seimbang pada anak balita dengan memberikan dukungan dan perhatian lebih kepada balitanya.","R1, RT, RZ",Jurnal Kesehatan,2019-11-01,
,MODEL REGRESI ORDINAL UNTUK MEMPREDIKSI KEJADIAN HIPERTENSI PADA LANSIA,"Perubahan pada lansia dapat berdampak pada semua aspek kehidupan, termasuk kesehatannya. Penelitian ini dilakukan karena banyaknya lansia yang mempunyai tekanan darah tinggi dengan latar belakang sosiodemografi yang bervariasi. Penelitian ini bertujuan untuk memprediksi kejadian hipertensi pada lansia dengan menggunakan model regresi ordinal. Jenis penelitian ini adalah analitik observasional dengan pendekatan cross-sectional. Penelitian dilakukan di Kapek, Kabupaten Gunungsari, Lombok Barat pada 98 lansia. Variabel bebas meliputi usia, jenis kelamin, pendidikan, pekerjaan, lama menderita, dan riwayat merokok. Variabel terikat dalam penelitian ini adalah kejadian hipertensi. Pengumpulan data dilakukan dengan mengukur tekanan darah menggunakan tensimeter dan menyebarkan kuesioner untuk mengukur faktor-faktor yang mempengaruhi hipertensi. Analisis menggunakan model regresi ordinal. Penelitian ini menemukan bahwa variabel umur (p = 0,000), jenis kelamin (p = 0,002), pendidikan (p = 0,000), pekerjaan (p = 0,013), lamanya menderita (p = 0,000) dan riwayat merokok (p = 0,001) berhubungan dengan kejadian hipertensi. Analisis multivariat dengan regresi ordinal didapatkan variabel yang berhubungan dengan kejadian hipertensi adalah jenis kelamin (p = 0,014), pendidikan (p = 0,000), dan riwayat merokok (p = 0,001). Variabel yang berhubungan dengan kejadian hipertensi adalah jenis kelamin, pendidikan, dan riwayat merokok.","R1, RT, RZ",Jurnal Keperawatan,2021-06-01,
FK1,Nurses’ Performance in Public Healthcare (PERKESMAS) Program,"Abstract: Nowadays, health issues facing Indonesian society are getting more complicated. 
Geographic, accessibility of the healthcare services, and workload are factors that influence 
nurses’ performance for the public healthcare program. Furthermore, the coverage of high�risk family and some diseases are low. The study aimed to investigate the nurses’ 
performance for the public healthcare (PERKESMAS) program at community health centers 
in Central Lombok Region. This was a descriptive study using a cross-sectional approach.
The participants were nurses-in-charge of the community health center, which were selected 
using probability sampling. The data gathered using a questionnaire developed by the 
author. The data were analyzed in distribution frequency and percentage. Twenty nurses 
participated in this study. The results show that the knowledge of the majority of the 
participants was categorized as good (50%), the workplace was reachable (65%), the career 
opportunity was available (60%), 60% of the participants stated that they had the financial 
resource, 65% had become participants at public health care training program, and 55% of 
the participants stated that they had been supervised in public health care activities. The 
implementation of the public health care program needs to be supported by an excellent 
nursing performance to actualize public health and welfare","R1, RT, RZ",Nurses’ Performance in Public Healthcare (PERKESMAS) Program,2020-08-20,
