division,title,abstract,subjects,publication,date,keywords
FK1,"Perbandingan Tingkat Stres pada Mahasiswa Tingkat I, II dan III Fakultas Kedokteran Universitas Lampung","Stres merupakan kondisi ketidakmampuan fisik, emosional, mental dan spiritual dalam mengatasi ancaman yang ada dan yang dapat mempengaruhi kesehatan fisik manusia tersebut. Mahasiswa merupakan individu yang dipersiapkan untuk menjadi sumber daya manusia dalam menghadapi persaingan global. Penelitian ini bertujuanuntuk mengetahui perbedaan tingkat stres pada mahasiswa tingkat I, II, dan III Fakultas Kedokteran Universitas Lampung. Penelitian ini adalah penelitian deskriptif dengan menggunakan desaincross sectional. Pengambilan sampel dilakukan menggunakan metode proportionate stratified random sampling denganalat ukur berupa kuesioner. Analisis data dilakukan dengan uji One-way ANOVA. Penelitian dilakukan terhadap 312 responden dengan jumlah tingkat I sebanyak 102 orang, tingkat II sebanyak 100 orang, dan tingkat III sebanyak 98 orang.Pada tingkat I didapatkan stressedang sebesar 76,5% dan stres berat 23,5%, tingkat II didapatkan stres sedang sebesar 82% dan stres berat 18%, dan tingkat III didapatkan stres sedang sebesar 65.3% dan stres berat 34.7%. Perbandingan tingkat stres dan tingkat pendidikan di uji denganOne-way ANOVA dan didapatkan nilai p yaitu 0,001. Yang berarti terdapat perbedaan bermakna pada tingkat stres mahasiswa tingkat I, II, dan III Fakultas Kedokteran Universitas Lampung. Penelitian ini memiliki pebedaan bermakna antara tingkat stres mahasiswa tingkat I, II, dan III Fakultas Kedokteran Universitas Lampung.",RZ,Majority,2020-12,
FK1,"Persepsi Mahasiswa terhadap Peer-Assisted Learning dalam Proses
Pembelajaran di Fakultas Kedokteran Universitas Lampung:
Sebuah Studi Kualitatif","Peer assisted learning (PAL) merupakan salah satu metode pembelajaran yang digunakan di Fakultas kedokteran
Universitas Lampung. PAL merupakan pembelajaran yang dilakukan oleh sesama mahasiswa dan tidak melibatkan dosen
profesional dalam prosesnya. Penelitian ini bertujuan untuk mengeksplorasi secara mendalam persepsi mahasiswa
terhadap PAL dalam proses pembelajaran di Fakultas Kedokteran Universitas Lampung. Penelitian ini merupakan penelitian
kualitatif dengan pendekatan fenomenologi dan teknik pengambilan partisipan penelitian ini dengan maximal variation
sampling. Partisipan utama dalam penelitian ini adalah mahasiswa dari angkatan 2016 dan 2015 yang berjumlah 24 orang
yang terdiri dari pria dan wanita yang merupakan peer tutor, dan peer tutees. Pengambilan data utama melalui diskusi
kelompok terfokus sebanyak 3 kali, sedangkan sebagai triangulasi data peneliti menggunakan teknik wawancara mendalam
dengan dosen mata kuliah yang menyelenggarakan PAL dan observasi pada kegiatan PAL. Terdapat berbagai persepsi
mahasiswa mengenai definisi dan manfaat PAL, serta faktor yang mempengaruhi PAL yaitu mencakup faktor yang
mendukung seperti komunikasi yang baik dari peer tutor dan materi yang diberikan oleh peer tutor sudah sesuai dengan
tujuan pembelajaran. Faktor yang menghambat proses pelaksanaan PAL antara lain kesiapan pelaksanaan, kesiapan peer
tutor, dan kesiapan peer tutees. Selain itu, juga terdapat persepsi mahasiswa terkait harapan untuk pelaksanaan PAL yaitu
penerapan PAL dalam CSL, pemanfaatan teknologi, dan evaluasi dalam pelaksanaannya. Persepsi mahasiswa mengenai PAL
yaitu peer tutor dan peer tutees satu sama lain saling mempengaruhi dalam pelaksanaannya.",RZ,Majority,2020-07,
FK1,Video Penerapan Team Based Learning (TBL) dalam Pembelajaran Interprofesional Education (IPE) di Poltekkes Tanjung Karang,,RZ,,2020,
FK1,Pengaruh Terapi Bermain terhadap Kecemasan Anak Usia Prasekolah selama Masa Hospitalisasi,"Hospitalisasi merupakan suatu proses yang menyebabkan seorang anak dirawat di rumah sakit, baik secara terencana
ataupun akibat kegawatan ataupun trauma, dimana kondisi tersebut membuat anak mengalami stres. Hospitalisasi
merupakan salah satu pengalaman buruk yang dialami seorang anak, termasuk anak usia prasekolah. Pada usia tersebut
anak rentan untuk mengalami ketakutan dan kecemasan jika terpisah dari orang tua dan anak merasa cemas akan setiap
tindakan yang dilakukan oleh tenaga kesehatan terhadap dirinya. Hal tersebut akan menimbulkan suatu repson maladaptif berupa sulit tidur, tidak mau makan dan minum, rewel, dan menangis terus menerus yang mengakibatkan anak tidak kooperatif selama masa pengobatan ataupun pemulihan. Jika hal tersebut tidak ditangani dengan baik maka akan
memperburuk kondisi anak dan masa pemulihan akan semakin lama. Intervensi yang dapat dilakukan adalah pemberian
terapi bermain. Beberapa tekhnik terapi bermain yang dapat diberikan pada anak usia prasekolah yang menjalani
hospitalisasi adalah menggambar, bercerita, mendengarkan musik ataupun rekaman suara orang-orang terdekat,
permainan wayang, dan permainan drama.Dari beberapa penelitian mengenai pengaruh terapi bermain terhadap tingakt
kecemasan anak didapatkan bahwa terjadi penuruanan tingkat kecemasan setelah diberikan intervennsi terapi bermain.
Kesimpulannya adalah terapi bermain berpengaruh terhadap penurunan tingkat kecemasan anak usia prasekolah yang
menjalani hospitalisasi.",RZ,Medical Journal of Lampung University,2018-03,
FK1,"Morbus	Hansen	Tipe	Multibasiler	dengan	Reaksi	Kusta	Tipe	1	dan	Kecacatan	
Tingkat	2","Penyakit	 kusta	 merupakan	 penyakit	 granulomatosa	 kronis	 yang	 disebabkan	 oleh	 Mycobacterium	leprae	 yang	 menyerang	
saraf	 tepi,	 selanjutnya	 dapat	 menyerang	 kulit,	 mukosa,	 saluran	 pernapasan	 bagian	 atas,	 sistem	 retikuloendotelial,	 mata,	
otot,	 tulang,	 dan	testis.	 Reaksi	 kusta	 tipe	 1	 merupakan	reaksi	 hipersensitivitas	 tipe	 lambat	 yang	 ditandai	 dengan	lesi	 yang	
telah	 ada	 menjadi	 memerah	 dan	 bengkak.	 Pasien	 wanita,	 usia	 27	 tahun,	 datang	 ke	 Rumah	 Sakit	 Provinsi	 dr.	 H.	 Abdul	
Moeloek	 dengan	 keluhan	 muncul	 bercak	 kemerahan	 yang	 timbul	 hampir	 di	 seluruh	 tubuh	 sejak	 18	 hari	 sebelum	 masuk	
rumah	sakit.	Tangan	terasa	kesemutan	selama	beberapa	menit	dan	setelahnya	mati	rasa	hingga	pasien	sulit	menggenggam,	
jari	 kelingking	 pasien	 juga	 tampak	 sulit	 diluruskan.	 Pada	 regio	 fasialis,	 abdomen,	 lumbal,	 ekstremitas	 superior,	 dan	
ekstremitas	inferior	terdapat	plak	eritema	multipel	bentuk	irregular	ukuran	numular	hingga	plakat	sirkumskrip	dengan	tepi	
lebih	 aktif	 daripada	 bagian	 tengahnya	 dan	 skuama	 selapis	 sedang	 kecoklatan	 tidak	 berminyak.	 Pada	 pemeriksaan	 fisik	
didapatkan	kesadaran	composmentis	dan	tampak	sakit	sedang,	tekanan	darah	100/80	mmHg,	nadi	80	x/menit,	pernafasan	
20	 x/menit,	 dan	 suhu	 tubuh	 36,7	 ᵒC.	 Pasien	 dalam	 kasus	 ini	 diberikan	 terapi	 kortikosteroid	 dengan	 methyl	 prednisolone	
intravena	 dengan	 dosis	 32	 mg	 per	 hari.	 Pada	 pasien	 juga	 diberikan	 terapi	 Multi	 Drug	 Therapy-Multibacilllary	 (MDT-MB)	
selama	12-18	bulan,	serta	diberikan	obat	topikal	berupa	urea	10%	cream.	
	
Kata	kunci:	kecacatan,	kusta,	mycobacterium	leprae,	reaksi	kusta	tipe	1",RZ,medical profession journal of lampung university,,
FK1,PERBANDINGAN MEAN ARTERIAL PRESSURE (MAP) ANTARA OBESITAS GENERAL DENGAN OBESITAS SENTRAL PADA PEGAWAI LAKI – LAKI DEWASA DI LINGKUNGAN UNIVERSITAS LAMPUNG,"Obesitas merupakan kondisi ketidaknormalan akibat kelebihan akumulasi lemak dalam jaringan adiposa. Peningkatan prevalensi obesitas berdampak pada munculnya berbagai penyakit kardiovaskuler. Resiko yang sering ditemukan kardiovaskuler adalah peningkatan tekanan darah. Tujuan penelitian ini adalah mengetahui perbandingan mean arterial pressure antara obesitas general dengan obesitas sentral pada pegawai laki – laki dewasa dengan obesitas di lingkungan Universitas Lampung. Penelitian ini menggunakan metode analitik komparatif dengan pendekatan cross sectional. Penelitian dilakukan pada bulan September-Desember 2016. Populasi dalam penelitian adalah pegawai laki-laki dewasa di lingkungan Universitas Lampung sebanyak 60 responden. Sampel diambil dengan teknik consecutive sampling. Hasil penelitian menunjukan responden rata – rata berumur pada kelompok usia 40 – 49 tahun (51,7%). Rerata nilai mean arterial pressure pada penderita obesitas sentral sebesar 108,22 mmHg dan pada penderita obesitas general sebesar 95,56 mmHg dengan selisih MAP sebesar 12,67 mmHg. Hasil uji T perbandingan MAP pada obesitas general dengan obesitas sentral dengan nilai p = 0,001. Terdapat perbedaan mean arterial pressure antara obesitas general dengan obesitas sentral pada pegawai laki-laki dewasa di lingkungan Universitas Lampung.

Kata Kunci : mean arterial pressure, obesitas general, obesitas sentral.","QP, RZ",Jurnal Kelitbangan Provinsi,2017-04-01,
FK1,Korelasi Aktifitas Fisik dan Jumlah Gigi Berfungsi dengan Kadar Gula Darah Sewaktu pada Pasien Poliklinik Universitas Lampung,"Faktor risiko penyakit degeneratif di antaranya hipertensi, diabetes melitus, dan kanker sangat berkaitan dengan pola hidup yang dijalani seseorang. Asupan makan inadekuat, aktifitas fisik yang kurang, stres emosial, dan status gizi berlebih merupakan contoh faktor risiko penyakit degeneratif. Asupan makan inadekuat juga bisa dipengaruhi dengan adanya gangguan pengunyahan akibat masalah gigi mulut. Tujuan penelitian ini untuk mengetahui korelasi aktifitas fisik dan jumlah gigi berfungsi dengan kadar gula darah sewaktu. Penelitian ini merupakan penelitian observasional analitik dengan pendekatan cross sectional pada 89 orang pasien yang datang ke poliklinik Unila pada bulan Juni sampai Oktober 2015, berusia lebih dari 18 tahun dan tidak menderita penyakit infeksi kronis serta keganasan. Sampel diambil secara consecutive sampling. Aktifitas fisik didapatkan dengan hasil kuesioner 24 h recall of physical activity. Jumlah gigi berfungsi dinilai dengan pemeriksaan gigi dan mulut menggunakan indeks DMF-T. Kadar glukosa darah sewaktu didapatkan dari hasil pemeriksaan laboratorium. Hasil penelitian menunjukkan bahwa responden rata-rata subyek penelitian memiliki aktifitas fisik ringan (1,62), jumlah gigi berfungsi baik (29,2) dan kadar glukosa darah sewaktu dalam batas normal (163,3 mg/dl). Terdapat korelasi negatif yang bermakna antara aktifitas fisik dengan kadar glukosa darah sewaktu (r=-0,28; p<0,05) dan korelasi yang tidak bermakna antara jumlah gigi berfungsi dengan kadar glukosa darah sewaktu (r=0,058; p>0,05). Simpulan: aktifitas fisik berkorelasi negatif dengan kadar glukosa darah sewaktu dan jumlah gigi berfungsi tidak berkorelasi.",RZ,JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,2016-10,
FK1,Kemampuan Akademik Penderita Attention Deficit – Hyperactivity Disorder (ADHD) pada Tingkat Perguruan Tinggi,"Attention Deficit Hyperactivity Disorder (ADHD) adalah kondisi neurobiologikal yang dicirikan dengan gejala dari kurangnya perhatian, hiperaktivitas, dan tindakan yang impulsif. ADHD merupakan sindrom kronik yang secara negatif dapat mempengaruhi kehidupan sehari-hari, termasuk kegiatan di rumah, hubungan interpersonal, dan pembelajaran di sekolah. DSM-IV membagi ADHD kedalam 3 tipe, yaitu lalai (inattentive), hiperaktif-impulsif, dan gabungan keduanya. Terdapat beberapa faktor yang dipercaya merupakan etiologi dari ADHD, yaitu faktor biologi, faktor psikologi, dan faktor genetik. Dari beberapa faktor tersebut, dipercaya bahwa faktor genetik memberikan peran yang paling besar terhadap terjadinya ADHD. Individu dengan ADHD cenderung berkinerja buruk selama di sekolah dan sulit untuk mencapai tingkat pendidikan yang lebih tinggi dibandingkan dengan individu sebayanya. Namun, belakangan ini terdapat peningkatan jumlah individu dengan ADHD yang menyelesaikan Sekolah Menegah Atas (SMA) dan melanjutkan ke jenjang perguruan tinggi. Mereka
dipercaya memiliki kemampuan kognitif, catatan keberhasilan akademis yang baik, serta kemampuan kompensasi yang
lebih adatif. Walaupun begitu, individu dengan ADHD di tingkat perguruan tinggi mengakui mengalami kesulitan dalam
akademik dan fungsi sosial di lingkungan perguruan tinggi. Fungsi psikologis, atensi, dan fungsi kognitif mempengaruhi
sedikit banyaknya prestasi akademik individu dengan ADHD. Gejala ADHD dan fungsi kognitif yang buruk secara tidak
langsung memprediksi kinerja sekolah dan prestasi akademik yang buruk juga.",RZ,MAJORITY,2017-11,
FK1,"Perbandingan Daya Hambat Ekstrak Daun Jarak Pagar (Jatropha curcas Linn) terhadap Pertumbuhan Bakteri Staphylococcus aureus dan
Escherichia coli secara In Vitro","PenyakitinfeksidiIndonesiamasihcukuptinggidanmengkhawatirkan. Staphylococcus aureus dan Escherichia coli merupakanbakteripatogenterpentingdanberbahaya.Bakteriiniseringresisten terhadap berbagai jenis antibiotik, sehinggamempersulitpemilihanantimikrobayangsesuaiuntukterapi.Salahsatubahanobatterapi tradisionaladalah tanamanjarakpagaryangmengandungzataktifdenganefekantibakteri,yaitu saponin,flavanoid, fenol, alkaloid, dan saponin.Penelitianinibertujuanuntukmengetahuipotensidayahambatyangdihasilkan ekstrak daun jarak terhadap pertumbuhanbakteriStaphylococcusaureusdanEscherichiacoli. Penelitianiniadalaheksperimenlaboratoriumdengan metode Kirby Bauer. Sampel penelitian adalah bakteri Staphylococcus aureus dan Escherichia coli. Kadar ekstrak daun jarak yaitu20%,40%,60%,80%dan100%.Dayahambatdiperolehberdasarkanpengukuran zona hambat yang terbentuk disekitarkertascakrammenggunakanjangkasorong.Zonahambatberdasarkantingkatkonsentrasi20%;40%; 60%; 80%; dan 100% pada bakteri Staphylococcus aureus adalah 13,5mm, 14,25mm, 18,5mm, 19,5mm, dan 20,75 dan bakteri Escherichiacoliadalah18,12mm,18,3mm,18,37mm,18,55mm,dan18,67mm.Perbandinganzona hambat lebih tinggi terhadap bakteri Escherichia coli.
KataKunci: Daunjarakpagar(JatrophacurcasLinn), Escherichiacoli,Staphylococcus aureus.",RZ,AGROMEDICINE UNILA,2018-12,
FK1,Hubungan Tingkat Kecemasan terhadap Hasil Ujian OSCE pada Mahasiswa Tingkat Pertama di Fakultas Kedokteran Universitas Lampung,"Kecemasan adalah perasaan takut yang disertai dengan meningkatnya ketegangan fisiologis. Memasuki perguruan tinggi, mahasiswa harus mempunyai kesadaran penuh dalam kegiatan pembelajaran. Pada mahasiswa kedokteran, hal lain yang dapat menjadi pemicu kecemasan adalah ujian, salah satunya OSCE (Objective Structured Clinical Examination). Kecemasan itu sendiri dapat mempengaruhi performa mahasiswa saat ujian OSCE, yang berdampak pada hasil atau nilai. Penelitian ini bertujuan untuk mengetahui hubungan tingkat kecemasan terhadap hasil ujian OSCE pada mahasiswa tingkat pertama di Fakultas Kedokteran Universitas Lampung. Penelitian yang digunakan adalah deskriptif analitik dengan pendekatan cross sectional. Penelitian ini menggunakan total sampling sebanyak 240 mahasiswa semester awal. Data didapatkan melalui pengisian kuesioner HAM-A (Hamilton Rating Scale for Anxiety) dan data hasil ujian OSCE. Didapatkan hasil bahwa dari 240 mahasiswa tingkat awal terdapat 145 mahasiswa (60,4%) mengalami kecemasan ringan, 51 mahasiswa (21,3%) mengalami kecemasan sedang, 20 mahasiswa (8,3%) mengalami kecemasan berat, dan mahasiswa 24 mahasiswa (10%) mengalami kecemasan sangat berat dan didapatkan 48 sampel tidak lulus dengan presentase 20%, dan lulus sebanyak 192 sampel dengan presentase 80% lalu, dilakukan pendekatan dengan uji Mann-Whitney dan didapatkan hasil p Value 0,000 atau <0,05. Sehingga terdapat hubungan antara tingkat kecemasan terhadap hasil ujian OSCE.",RZ,"MEDULA, medicalprofession journal of lampung university",2019-07,
